reward,numerosity,fitness
0,330,0.0
0,475,0.0
0,48,0.0
0,48,0.0
0,96,0.0
0,72,0.0
0,142,0.0
0,404,0.0
0,303,0.0
0,303,0.0
0,303,0.0
0,12,0.0
0,72,0.0
0,54,0.0
0,36,0.0
0,54,0.0
0,126,0.0
0,186,0.0
0,62,0.0
0,93,0.0
0,155,0.0
0,62,0.0
0,124,0.0
0,155,0.0
0,537,0.0
0,778,0.0
0,12,0.0
0,159,0.0
0,108,0.0
0,120,0.0
0,90,0.0
0,356,0.0
0,42,0.0
0,324,0.0
0,36,0.0
0,360,0.0
0,123,0.0
0,82,0.0
0,24,0.0
0,286,0.0
0,164,0.0
0,36,0.0
0,216,0.0
0,216,0.0
0,288,0.0
0,357,0.0
0,576,0.0
0,168,0.0
0,1048,0.0
0,321,0.0
0,34,0.0
0,144,0.0
0,48,0.0
0,96,0.0
0,108,0.0
0,72,0.0
0,216,0.0
0,82,0.0
0,60,0.0
0,236,0.0
0,92,0.0
0,46,0.0
0,108,0.0
0,72,0.0
0,144,0.0
0,168,0.0
0,180,0.0
0,140,0.0
0,192,0.0
0,18,0.0
0,84,0.0
0,60,0.0
0,90,0.0
0,532,0.0
0,399,0.0
0,300,0.0
0,12,0.0
0,24,0.0
0,595,0.0
0,94,0.0
0,12,0.0
0,356,0.0
0,84,0.0
0,120,0.0
0,270,0.0
0,90,0.0
0,150,0.0
0,92,0.0
0,18,0.0
0,18,0.0
0,12,0.0
0,18,0.0
0,12,0.0
0,182,0.0
0,118,0.0
0,118,0.0
0,390,0.0
0,24,0.0
0,72,0.0
0,48,0.0
0,48,0.0
0,72,0.0
0,540,0.0
0,2,0.0
0,2,0.0
0,60,0.0
0,1260,0.0
0,900,0.0
0,348,0.0
0,334,0.0
0,334,0.0
0,1295,0.0
0,339,0.0
0,226,0.0
0,242,0.0
0,339,0.0
0,226,0.0
0,226,0.0
0,36,0.0
0,264,0.0
0,177,0.0
0,118,0.0
0,118,0.0
0,141,0.0
0,12,0.0
0,54,0.0
0,324,0.0
0,12,0.0
0,18,0.0
0,240,0.0
0,36,0.0
0,36,0.0
0,558,0.0
0,458,0.0
0,39,0.0
0,18,0.0
0,18,0.0
0,12,0.0
0,267,0.0
0,178,0.0
0,6,0.0
0,36,0.0
0,24,0.0
0,18,0.0
0,12,0.0
0,1152,0.0
0,24,0.0
0,357,0.0
0,82,0.0
0,164,0.0
0,82,0.0
0,82,0.0
0,24,0.0
0,108,0.0
0,60,0.0
0,48,0.0
0,36,0.0
0,455,0.0
0,162,0.0
0,108,0.0
0,72,0.0
0,72,0.0
0,288,0.0
0,105,0.0
0,90,0.0
0,282,0.0
0,24,0.0
0,321,0.0
0,69,0.0
0,12,0.0
0,124,0.0
0,155,0.0
0,48,0.0
0,1635,0.0
0,30,0.0
0,18,0.0
0,126,0.0
0,24,0.0
0,18,0.0
0,372,0.0
0,156,0.0
0,234,0.0
0,156,0.0
0,18,0.0
0,50,0.0
0,75,0.0
0,200,0.0
0,150,0.0
0,50,0.0
0,84,0.0
0,1344,0.0
0,24,0.0
0,24,0.0
0,36,0.0
0,358,0.0
0,172,0.0
0,768,0.0
0,144,0.0
0,36,0.0
0,72,0.0
0,90,0.0
0,20,0.0
-66,198,0.0
0,142,0.0
0,84,0.0
0,10,0.0
0,10,0.0
-5,10,0.0
0,36,0.0
0,24,0.0
0,12,0.0
0,18,0.0
0,18,0.0
0,18,0.0
0,274,0.0
0,48,0.0
0,12,0.0
0,216,0.0
0,216,0.0
0,1152,0.0
0,84,0.0
0,728,0.0
0,273,0.0
0,273,0.0
0,273,0.0
0,149,0.0
0,72,0.0
0,24,0.0
0,264,0.0
0,816,0.0
0,332,0.0
0,166,0.0
0,192,0.0
0,192,0.0
0,558,0.0
0,86,0.0
0,26,0.0
0,310,0.0
0,108,0.0
0,24,0.0
0,105,0.0
0,250,0.0
0,625,0.0
0,263,0.0
0,72,0.0
0,218,0.0
0,32,0.0
0,60,0.0
0,348,0.0
0,348,0.0
0,48,0.0
0,72,0.0
0,12,0.0
0,228,0.0
0,228,0.0
0,228,0.0
0,46,0.0
0,46,0.0
0,310,0.0
0,144,0.0
0,216,0.0
0,329,0.0
0,56,0.0
0,126,0.0
0,70,0.0
0,70,0.0
0,22,0.0
0,22,0.0
0,274,0.0
0,93,0.0
0,93,0.0
0,217,0.0
0,93,0.0
0,42,0.0
0,24,0.0
-6,18,-14.4
0,653,0.0
0,452,0.0
0,339,0.0
0,24,0.0
0,24,0.0
0,24,0.0
0,24,0.0
0,72,0.0
0,963,0.0
0,214,0.0
0,960,0.0
0,262,0.0
0,240,0.0
0,12,0.0
0,822,0.0
0,24,0.0
0,388,0.0
0,356,0.0
0,130,0.0
0,36,0.0
0,34,0.0
0,51,0.0
0,33,0.0
0,77,0.0
0,190,0.0
0,69,0.0
0,242,0.0
0,726,0.0
0,605,0.0
0,484,0.0
0,365,0.0
0,24,0.0
0,24,0.0
0,36,0.0
0,72,0.0
0,36,0.0
0,202,0.0
0,354,0.0
0,177,0.0
0,12,0.0
0,12,0.0
0,14,0.0
0,54,0.0
0,539,0.0
0,54,0.0
0,12,0.0
0,174,0.0
0,240,0.0
0,18,0.0
0,822,0.0
0,168,0.0
0,216,0.0
0,84,0.0
0,84,0.0
0,228,0.0
0,48,0.0
0,336,0.0
0,6,0.0
0,260,0.0
0,90,0.0
0,476,0.0
0,238,0.0
0,357,0.0
0,468,0.0
0,14,0.0
0,216,0.0
0,504,0.0
0,144,0.0
0,870,0.0
0,50,0.0
0,1344,0.0
0,90,0.0
0,36,0.0
0,126,0.0
0,15,0.0
0,505,0.0
0,21,0.0
0,70,0.0
0,18,0.0
0,24,0.0
0,21,0.0
0,28,0.0
0,576,0.0
0,69,0.0
0,96,0.0
0,96,0.0
0,60,0.0
0,24,0.0
0,312,0.0
0,432,0.0
0,24,0.0
0,36,0.0
0,12,0.0
0,312,0.0
0,933,0.0
0,32,0.0
0,24,0.0
0,18,0.0
0,12,0.0
0,12,0.0
0,110,0.0
0,165,0.0
0,220,0.0
0,110,0.0
0,72,0.0
0,254,0.0
0,24,0.0
0,72,0.0
0,24,0.0
0,6,0.0
0,3,0.0
0,6,0.0
0,3,0.0
0,5,0.0
0,2,0.0
0,2,0.0
0,36,0.0
-6,24,-10.8
0,24,0.0
0,24,0.0
0,24,0.0
0,72,0.0
0,108,0.0
0,984,0.0
0,576,0.0
0,417,0.0
0,34,0.0
0,22,0.0
0,105,0.0
0,468,0.0
0,468,0.0
0,763,0.0
0,34,0.0
0,18,0.0
0,54,0.0
0,18,0.0
0,24,0.0
0,18,0.0
0,334,0.0
0,36,0.0
0,24,0.0
0,22,0.0
0,284,0.0
0,768,0.0
0,1152,0.0
0,72,0.0
0,210,0.0
0,36,0.0
0,46,0.0
0,48,0.0
0,72,0.0
0,48,0.0
0,240,0.0
0,144,0.0
0,60,0.0
0,60,0.0
0,144,0.0
0,12,0.0
0,12,0.0
0,48,0.0
0,12,0.0
0,34,0.0
0,24,0.0
0,432,0.0
0,288,0.0
0,180,0.0
0,24,0.0
0,287,0.0
0,571,0.0
0,348,0.0
0,348,0.0
0,298,0.0
0,1185,0.0
0,147,0.0
0,98,0.0
0,537,0.0
0,24,0.0
0,36,0.0
0,74,0.0
0,14,0.0
-137,411,-246.6000000000006
0,72,0.0
-137,274,0.0
0,213,0.0
0,159,0.0
0,106,0.0
0,265,0.0
0,36,0.0
0,240,0.0
0,72,0.0
0,48,0.0
0,48,0.0
0,145,0.0
0,576,0.0
0,204,0.0
0,408,0.0
0,306,0.0
0,72,0.0
0,46,0.0
0,54,0.0
0,375,0.0
0,500,0.0
0,930,0.0
0,70,0.0
0,96,0.0
0,22,0.0
0,282,0.0
0,188,0.0
0,94,0.0
0,715,0.0
0,276,0.0
0,552,0.0
0,27,0.0
0,48,0.0
0,212,0.0
0,250,0.0
0,48,0.0
0,72,0.0
0,711,0.0
0,332,0.0
0,500,0.0
0,36,0.0
0,2,0.0
0,36,0.0
0,120,0.0
0,72,0.0
0,288,0.0
0,288,0.0
0,339,0.0
0,130,0.0
0,130,0.0
0,190,0.0
0,504,0.0
0,10,0.0
0,15,0.0
0,10,0.0
0,10,0.0
0,36,0.0
0,96,0.0
0,14,0.0
0,14,0.0
0,56,0.0
0,21,0.0
0,24,0.0
0,72,0.0
0,768,0.0
0,182,0.0
