      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline  -3.5365    0.0 -3.8752 -3.1978   True
     average  egalitarian  -3.6982    0.0 -4.0369 -3.3596   True
     average majoritarian  -2.3905    0.0 -2.7292 -2.0518   True
     average      maximin  -2.3972    0.0 -2.7359 -2.0586   True
     average     optimist  -2.1628    0.0 -2.5014 -1.8241   True
     average  utilitarian   -2.236    0.0 -2.5747 -1.8973   True
     average         veto  -0.0775 0.9972 -0.4162  0.2612  False
    baseline  egalitarian  -0.1618 0.8349 -0.5004  0.1769  False
    baseline majoritarian    1.146    0.0  0.8073  1.4847   True
    baseline      maximin   1.1393    0.0  0.8006  1.4779   True
    baseline     optimist   1.3738    0.0  1.0351  1.7124   True
    baseline  utilitarian   1.3005    0.0  0.9618  1.6392   True
    baseline         veto    3.459    0.0  3.1203  3.7977   True
 egalitarian majoritarian   1.3078    0.0  0.9691  1.6464   True
 egalitarian      maximin    1.301    0.0  0.9623  1.6397   True
 egalitarian     optimist   1.5355    0.0  1.1968  1.8742   True
 egalitarian  utilitarian   1.4622    0.0  1.1236  1.8009   True
 egalitarian         veto   3.6208    0.0  3.2821  3.9594   True
majoritarian      maximin  -0.0067    1.0 -0.3454  0.3319  False
majoritarian     optimist   0.2278 0.4557 -0.1109  0.5664  False
majoritarian  utilitarian   0.1545 0.8654 -0.1842  0.4932  False
majoritarian         veto    2.313    0.0  1.9743  2.6517   True
     maximin     optimist   0.2345 0.4156 -0.1042  0.5732  False
     maximin  utilitarian   0.1612 0.8371 -0.1774  0.4999  False
     maximin         veto   2.3198    0.0  1.9811  2.6584   True
    optimist  utilitarian  -0.0733  0.998 -0.4119  0.2654  False
    optimist         veto   2.0852    0.0  1.7466  2.4239   True
 utilitarian         veto   2.1585    0.0  1.8198  2.4972   True
----------------------------------------------------------------
