       Multiple Comparison of Means - Tukey HSD, FWER=0.05       
=================================================================
   group1       group2    meandiff p-adj   lower    upper  reject
-----------------------------------------------------------------
     average     baseline  -2.6137    0.0  -4.2244 -1.0031   True
     average  egalitarian    4.065    0.0   2.4543  5.6757   True
     average majoritarian  -5.7602    0.0  -7.3709 -4.1496   True
     average      maximin   1.9163 0.0075   0.3056  3.5269   True
     average     optimist   1.3785 0.1579  -0.2322  2.9892  False
     average  utilitarian  -7.2175    0.0  -8.8282 -5.6068   True
     average         veto  -0.5775 0.9597  -2.1882  1.0332  False
    baseline  egalitarian   6.6788    0.0   5.0681  8.2894   True
    baseline majoritarian  -3.1465    0.0  -4.7572 -1.5358   True
    baseline      maximin     4.53    0.0   2.9193  6.1407   True
    baseline     optimist   3.9923    0.0   2.3816  5.6029   True
    baseline  utilitarian  -4.6038    0.0  -6.2144 -2.9931   True
    baseline         veto   2.0363 0.0032   0.4256  3.6469   True
 egalitarian majoritarian  -9.8252    0.0 -11.4359 -8.2146   True
 egalitarian      maximin  -2.1487 0.0014  -3.7594 -0.5381   True
 egalitarian     optimist  -2.6865    0.0  -4.2972 -1.0758   True
 egalitarian  utilitarian -11.2825    0.0 -12.8932 -9.6718   True
 egalitarian         veto  -4.6425    0.0  -6.2532 -3.0318   True
majoritarian      maximin   7.6765    0.0   6.0658  9.2872   True
majoritarian     optimist   7.1388    0.0   5.5281  8.7494   True
majoritarian  utilitarian  -1.4573 0.1101  -3.0679  0.1534  False
majoritarian         veto   5.1828    0.0   3.5721  6.7934   True
     maximin     optimist  -0.5377 0.9728  -2.1484  1.0729  False
     maximin  utilitarian  -9.1338    0.0 -10.7444 -7.5231   True
     maximin         veto  -2.4937 0.0001  -4.1044 -0.8831   True
    optimist  utilitarian   -8.596    0.0 -10.2067 -6.9853   True
    optimist         veto   -1.956 0.0057  -3.5667 -0.3453   True
 utilitarian         veto     6.64    0.0   5.0293  8.2507   True
-----------------------------------------------------------------
