      Multiple Comparison of Means - Tukey HSD, FWER=0.01       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline   0.0584    0.0  0.0367  0.0802   True
     average  egalitarian   0.1046    0.0  0.0829  0.1263   True
     average majoritarian   0.1025    0.0  0.0807  0.1242   True
     average      maximin   0.0453    0.0  0.0235   0.067   True
     average     optimist   0.1166    0.0  0.0949  0.1383   True
     average  utilitarian   0.0001    1.0 -0.0217  0.0218  False
     average         veto   0.0551    0.0  0.0334  0.0768   True
    baseline  egalitarian   0.0462    0.0  0.0245  0.0679   True
    baseline majoritarian    0.044    0.0  0.0223  0.0657   True
    baseline      maximin  -0.0132 0.3882 -0.0349  0.0085  False
    baseline     optimist   0.0582    0.0  0.0364  0.0799   True
    baseline  utilitarian  -0.0584    0.0 -0.0801 -0.0367   True
    baseline         veto  -0.0034 0.9994 -0.0251  0.0184  False
 egalitarian majoritarian  -0.0022    1.0 -0.0239  0.0195  False
 egalitarian      maximin  -0.0594    0.0 -0.0811 -0.0376   True
 egalitarian     optimist    0.012 0.5195 -0.0097  0.0337  False
 egalitarian  utilitarian  -0.1046    0.0 -0.1263 -0.0828   True
 egalitarian         veto  -0.0495    0.0 -0.0713 -0.0278   True
majoritarian      maximin  -0.0572    0.0 -0.0789 -0.0355   True
majoritarian     optimist   0.0141 0.2947 -0.0076  0.0359  False
majoritarian  utilitarian  -0.1024    0.0 -0.1241 -0.0807   True
majoritarian         veto  -0.0474    0.0 -0.0691 -0.0256   True
     maximin     optimist   0.0713    0.0  0.0496  0.0931   True
     maximin  utilitarian  -0.0452    0.0 -0.0669 -0.0235   True
     maximin         veto   0.0098 0.7534 -0.0119  0.0315  False
    optimist  utilitarian  -0.1165    0.0 -0.1383 -0.0948   True
    optimist         veto  -0.0615    0.0 -0.0832 -0.0398   True
 utilitarian         veto    0.055    0.0  0.0333  0.0767   True
----------------------------------------------------------------
