agent_id,agent_type,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
0,majoritarian,1,22,0,2,1,0.0,0.0,120.0,1,-1.1,12,2
1,majoritarian,1,16,0,1,0,0.0,0.0,87.0,4,-1.1,7,1
2,baseline,1,10,0,0,0,0.0,0.0,36.0,1,-1.2,6,0
3,baseline,1,200,0,39,0,4.30000000000001,43.00000000000009,5814.0,0,1.0,21,39
0,majoritarian,2,9,0,0,0,0.0,0.0,36.0,1,-1.1,5,0
1,majoritarian,2,9,2,0,1,0.0,11.0,59.0,0,-0.1999999999999999,4,2
2,baseline,2,15,0,1,0,0.0,0.0,69.0,1,-1.2,9,1
3,baseline,2,200,0,41,0,5.400000000000031,54.00000000000031,8808.0,0,1.0,13,41
0,majoritarian,3,51,0,7,3,0.0,0.0,333.0,1,-1.1,23,7
1,majoritarian,3,69,0,10,1,0.0,0.0,522.0,3,-1.1,26,10
2,baseline,3,200,12,36,0,2.399999999999988,95.99999999999989,7584.0,0,2.0,32,48
3,baseline,3,56,1,8,2,0.0,5.999999999999997,462.0,0,-1.0,22,9
0,majoritarian,4,200,1,49,0,10.200000000000037,108.00000000000034,11964.0,0,1.8,8,50
1,majoritarian,4,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
2,baseline,4,9,1,0,1,0.0,5.000000000000001,47.0,0,0.0,5,1
3,baseline,4,15,2,1,0,0.0,11.0,104.0,0,0.0,9,3
0,majoritarian,5,15,1,1,1,0.0,5.000000000000002,92.0,0,-1.0,10,2
1,majoritarian,5,51,0,7,1,0.0,0.0,423.0,3,-1.1,23,7
2,baseline,5,200,21,38,0,3.599999999999986,161.99999999999983,17406.0,0,2.0,22,59
3,baseline,5,33,2,4,3,0.0,11.0,263.0,0,0.0,17,6
0,majoritarian,6,33,0,4,0,0.0,0.0,204.0,1,-1.1,18,4
1,majoritarian,6,33,1,4,1,0.0,5.000000000000005,227.0,0,-0.1999999999999999,17,5
2,baseline,6,33,0,4,0,0.0,0.0,222.0,1,-1.2,17,4
3,baseline,6,200,1,33,0,0.6000000000000153,12.000000000000153,6300.0,1,2.0,26,34
0,majoritarian,7,200,0,44,3,7.200000000000012,72.00000000000011,7392.0,0,1.0,32,44
1,majoritarian,7,104,1,16,7,0.0,5.99999999999994,2004.0,0,-0.1999999999999999,30,17
2,baseline,7,33,0,4,3,0.0,0.0,246.0,3,-1.2,17,4
