episode,end_day,epsilon,mean_reward,mean_loss,max_berries,mean_berries,max_berries_consumed,mean_berries_consumed,gini_berries_consumed,mean_berries_thrown,max_health,mean_health,median_health,variance_health,deceased,num_emerged_norms
1,200,0,38.524999999999984,0,0.0,0.0,0.0,0.0,0.375,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2350953574390842e-32,2,5
2,200,0,39.67499999999999,0,0.0,0.0,0.0,0.0,0.53125,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2355581335530422e-32,3,9
3,200,0,42.775,0,0.0,0.0,0.0,0.0,0.49712643678160917,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2353901647806377e-32,2,7
4,200,0,50.77499999999996,0,0.0,0.0,0.0,0.0,0.25,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,1,3
5,200,0,41.99999999999997,0,0.0,0.0,0.0,0.0,0.47580645161290325,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2353526479971103e-32,2,6
6,200,0,51.49999999999997,0,0.0,0.0,0.0,0.0,0.2585470085470085,0.0,0.7000000000000001,0.7000000000000002,0.7000000000000001,1.2345454732122737e-32,1,6
7,200,0,31.775,0,0.0,0.0,0.0,0.0,0.4916666666666667,0.0,0.7000000000000001,0.7000000000000002,0.7000000000000001,1.2360478119271806e-32,3,9
8,98,0,5.350000000000007,0,0.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.7000000000000002,0.7000000000000001,1.2412754120445058e-32,4,2
9,200,0,43.54999999999998,0,0.0,0.0,0.0,0.0,0.34090909090909094,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,2,10
10,200,0,39.27499999999999,0,0.0,0.0,0.0,0.0,0.3205882352941176,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2349746917522477e-32,3,8
11,200,0,35.699999999999974,0,0.0,0.0,0.0,0.0,0.4783950617283951,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2353965170542123e-32,2,7
12,200,0,37.79999999999998,0,0.0,0.0,0.0,0.0,0.49404761904761907,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2354287165099178e-32,2,7
13,200,0,47.550000000000004,0,1.0,1.0,0.0,0.0,0.5489690721649485,0.0,0.7000000000000001,0.6999999999999998,0.7000000000000001,4.942036403866858e-32,2,4
14,200,0,31.02499999999996,0,0.0,0.0,0.0,0.0,0.48417721518987344,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2354683466092478e-32,2,2
15,200,0,27.499999999999964,0,0.0,0.0,0.0,0.0,0.5378787878787878,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,6
16,200,0,37.39999999999998,0,0.0,0.0,0.0,0.0,0.35,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2349746917522477e-32,2,8
17,200,0,42.04999999999997,0,0.0,0.0,0.0,0.0,0.49468085106382975,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2354683466092478e-32,2,6
18,200,0,20.624999999999964,0,0.0,0.0,0.0,0.0,0.74,0.0,0.7000000000000001,0.6999999999999998,0.7000000000000001,4.951632298396976e-32,3,1
19,200,0,36.949999999999946,0,0.0,0.0,0.0,0.0,0.5053191489361702,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2354287165099178e-32,2,3
20,200,0,37.24999999999994,0,1.0,1.0,0.0,0.0,0.4710526315789474,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2353901647806377e-32,2,3
21,50,0,7.075000000000001,0,0.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,4,3
22,200,0,49.325,0,0.0,0.0,0.0,0.0,0.4738095238095238,0.0,0.7000000000000001,0.7,0.7000000000000001,1.235179221356275e-32,2,5
23,200,0,40.94999999999996,0,0.0,0.0,0.0,0.0,0.4836956521739131,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2353901647806377e-32,2,7
24,200,0,42.49999999999997,0,0.0,0.0,0.0,0.0,0.44680851063829785,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2352121392791852e-32,2,6
25,200,0,46.49999999999997,0,0.0,0.0,0.0,0.0,0.3214285714285714,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,2,9
26,200,0,41.574999999999974,0,0.0,0.0,0.0,0.0,0.46739130434782605,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2352864202253152e-32,2,9
27,200,0,25.674999999999965,0,0.0,0.0,0.0,0.0,0.623015873015873,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,8
28,15,0,1.4,0,0.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,4,0
29,200,0,41.875,0,0.0,0.0,0.0,0.0,0.5323529411764706,0.0,0.7000000000000001,0.6999999999999998,0.7000000000000001,4.942036403866858e-32,2,3
30,200,0,27.49999999999997,0,0.0,0.0,0.0,0.0,0.5078125,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,2
31,200,0,42.29999999999998,0,0.0,0.0,0.0,0.0,0.36734693877551017,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2349474452559376e-32,2,10
32,200,0,45.025000000000006,0,0.0,0.0,0.0,0.0,0.46808510638297873,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2352177073108264e-32,2,4
33,200,0,40.999999999999986,0,1.0,1.0,0.0,0.0,0.4587912087912088,0.0,0.7000000000000001,0.6999999999999998,0.7000000000000001,4.941264500142651e-32,2,9
34,200,0,24.024999999999963,0,0.0,0.0,0.0,0.0,0.55,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,4
35,200,0,45.75,0,0.0,0.0,0.0,0.0,0.5434782608695652,0.0,0.7000000000000001,0.6999999999999998,0.7000000000000001,4.942036403866858e-32,2,4
