         Multiple Comparison of Means - Tukey HSD, FWER=0.05         
=====================================================================
   group1       group2     meandiff p-adj    lower     upper   reject
---------------------------------------------------------------------
     average     baseline 1027.8093    0.0   841.555 1214.0635   True
     average  egalitarian  747.2102    0.0   560.956  933.4645   True
     average majoritarian   515.312    0.0  329.0578  701.5662   True
     average      maximin  587.3652    0.0   401.111  773.6195   True
     average     optimist   594.515    0.0  408.2608  780.7692   True
     average  utilitarian   438.436    0.0  252.1818  624.6902   True
     average         veto  447.9412    0.0   261.687  634.1955   True
    baseline  egalitarian  -280.599 0.0001 -466.8532  -94.3448   True
    baseline majoritarian -512.4973    0.0 -698.7515  -326.243   True
    baseline      maximin  -440.444    0.0 -626.6982 -254.1898   True
    baseline     optimist -433.2943    0.0 -619.5485   -247.04   True
    baseline  utilitarian -589.3733    0.0 -775.6275  -403.119   True
    baseline         veto  -579.868    0.0 -766.1222 -393.6138   True
 egalitarian majoritarian -231.8982  0.004 -418.1525   -45.644   True
 egalitarian      maximin  -159.845 0.1552 -346.0992   26.4092  False
 egalitarian     optimist -152.6952 0.2017 -338.9495    33.559  False
 egalitarian  utilitarian -308.7742    0.0 -495.0285   -122.52   True
 egalitarian         veto  -299.269    0.0 -485.5232 -113.0148   True
majoritarian      maximin   72.0532 0.9397  -114.201  258.3075  False
majoritarian     optimist    79.203 0.9031 -107.0512  265.4572  False
majoritarian  utilitarian   -76.876 0.9163 -263.1302  109.3782  False
majoritarian         veto  -67.3708 0.9577  -253.625  118.8835  False
     maximin     optimist    7.1498    1.0 -179.1045   193.404  False
     maximin  utilitarian -148.9293 0.2296 -335.1835    37.325  False
     maximin         veto  -139.424 0.3107 -325.6782   46.8302  False
    optimist  utilitarian  -156.079 0.1786 -342.3332   30.1752  False
    optimist         veto -146.5738 0.2483  -332.828   39.6805  False
 utilitarian         veto    9.5053    1.0  -176.749  195.7595  False
---------------------------------------------------------------------
