        Multiple Comparison of Means - Tukey HSD, FWER=0.05        
===================================================================
   group1       group2    meandiff p-adj    lower    upper   reject
-------------------------------------------------------------------
     average     baseline   69.111    0.0   52.8127  85.4093   True
     average  egalitarian   58.654    0.0   42.3557  74.9523   True
     average majoritarian   25.969    0.0    9.6707  42.2673   True
     average      maximin   44.971    0.0   28.6727  61.2693   True
     average     optimist   60.594    0.0   44.2957  76.8923   True
     average  utilitarian  -35.265    0.0  -51.5633 -18.9667   True
     average         veto   80.209    0.0   63.9107  96.5073   True
    baseline  egalitarian  -10.457 0.5196  -26.7553   5.8413  False
    baseline majoritarian  -43.142    0.0  -59.4403 -26.8437   True
    baseline      maximin   -24.14 0.0002  -40.4383  -7.8417   True
    baseline     optimist   -8.517   0.76  -24.8153   7.7813  False
    baseline  utilitarian -104.376    0.0 -120.6743 -88.0777   True
    baseline         veto   11.098 0.4384   -5.2003  27.3963  False
 egalitarian majoritarian  -32.685    0.0  -48.9833 -16.3867   True
 egalitarian      maximin  -13.683 0.1767  -29.9813   2.6153  False
 egalitarian     optimist     1.94    1.0  -14.3583  18.2383  False
 egalitarian  utilitarian  -93.919    0.0 -110.2173 -77.6207   True
 egalitarian         veto   21.555 0.0016    5.2567  37.8533   True
majoritarian      maximin   19.002 0.0098    2.7037  35.3003   True
majoritarian     optimist   34.625    0.0   18.3267  50.9233   True
majoritarian  utilitarian  -61.234    0.0  -77.5323 -44.9357   True
majoritarian         veto    54.24    0.0   37.9417  70.5383   True
     maximin     optimist   15.623 0.0715   -0.6753  31.9213  False
     maximin  utilitarian  -80.236    0.0  -96.5343 -63.9377   True
     maximin         veto   35.238    0.0   18.9397  51.5363   True
    optimist  utilitarian  -95.859    0.0 -112.1573 -79.5607   True
    optimist         veto   19.615 0.0065    3.3167  35.9133   True
 utilitarian         veto  115.474    0.0   99.1757 131.7723   True
-------------------------------------------------------------------
