Metric,Test Name,Value,Type
gini_days_mean,veto,0.3635382302686659,Minimum
gini_days_median,veto,0.3759926239799121,Minimum
gini_days_stdev,average,0.09341345379679977,Minimum
gini_berries_mean,veto,0.42635691061986797,Minimum
gini_berries_median,veto,0.4375,Minimum
gini_berries_stdev,average,0.09048455900946101,Minimum
min_days_mean,veto,22.26,Maximum
min_days_median,baseline,15.0,Maximum
min_days_stdev,utilitarian,9.574594710162089,Minimum
min_berries_mean,veto,2.649,Maximum
min_berries_median,baseline,2.0,Maximum
min_berries_stdev,utilitarian,1.7207024195998613,Minimum
max_days_mean,baseline,199.044,Maximum
max_days_median,baseline,200.0,Maximum
max_days_stdev,baseline,12.475644500614216,Minimum
max_berries_mean,utilitarian,50.996,Maximum
max_berries_median,utilitarian,53.0,Maximum
max_berries_stdev,baseline,5.574089564626179,Minimum
total_days_mean,veto,452.14,Maximum
total_days_median,veto,448.0,Maximum
total_days_stdev,utilitarian,96.94300960415408,Minimum
total_berries_mean,baseline,91.993,Maximum
total_berries_median,baseline,95.0,Maximum
total_berries_stdev,utilitarian,18.20231576748682,Minimum
episode_length_mean,veto,113.035,Maximum
episode_length_median,veto,105.0,Maximum
episode_length_stdev,average,79.66692244319717,Minimum
most_common,veto,10.0,
