episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,107.0,9630.0,2715.75,10863.0,0.6766777133388566,3,49,17.5,70,0.5285714285714286,22,200,81.5,326,0.44631901840490795
2,93.0,7896.0,3596.25,14385.0,0.5146506777893639,1,38,19.75,79,0.46518987341772156,15,200,109.0,436,0.42087155963302747
3,176.0,17040.0,4476.25,17905.0,0.7095922926556828,4,57,18.5,74,0.5540540540540541,27,200,79.25,317,0.4376971608832808
4,36.0,7650.0,2177.75,8711.0,0.6776202502582941,0,48,15.75,63,0.6150793650793651,9,200,77.5,310,0.5193548387096775
5,131.0,7698.0,2599.0,10396.0,0.6010484801846864,3,44,19.5,78,0.47435897435897434,21,200,104.5,418,0.4138755980861244
6,269.0,16836.0,4436.0,17744.0,0.7003775924256087,4,54,17.5,70,0.5428571428571428,32,200,79.0,316,0.4129746835443038
7,63.0,12984.0,3331.25,13325.0,0.7281988742964353,1,53,15.25,61,0.6516393442622951,15,200,65.75,263,0.5332699619771863
8,128.0,10122.0,2645.75,10583.0,0.7088963431919115,3,49,14.75,59,0.5889830508474576,15,200,68.75,275,0.51
9,131.0,8442.0,3755.75,15023.0,0.5154596285695268,3,41,22.25,89,0.4241573033707865,21,200,113.5,454,0.3876651982378855
10,47.0,11970.0,3068.75,12275.0,0.7314256619144602,1,50,13.75,55,0.6772727272727272,9,200,62.5,250,0.584
11,282.0,14718.0,6523.25,26093.0,0.5144579005863642,6,48,26.5,106,0.3867924528301887,45,200,122.5,490,0.3163265306122449
12,96.0,11046.0,6741.0,26964.0,0.3219848687138407,2,49,33.75,135,0.2870370370370371,21,200,155.25,621,0.21618357487922713
13,36.0,21252.0,5790.0,23160.0,0.6963730569948187,0,64,21.5,86,0.5755813953488372,9,200,89.5,358,0.4245810055865922
14,41.0,8910.0,4104.5,16418.0,0.5054208795224754,1,45,23.25,93,0.44892473118279574,9,200,111.75,447,0.4110738255033557
15,320.0,15486.0,4189.25,16757.0,0.6814316405084442,5,56,18.75,75,0.5166666666666667,38,200,83.25,333,0.3776276276276276
16,228.0,9618.0,3988.25,15953.0,0.5275966902776907,6,44,24.5,98,0.37244897959183676,45,200,122.5,490,0.3163265306122449
17,63.0,8946.0,4224.75,16899.0,0.5070566305698562,1,48,23.25,93,0.48655913978494625,15,200,109.0,436,0.42087155963302747
18,81.0,9816.0,4268.75,17075.0,0.5282430453879942,1,46,23.25,93,0.47043010752688175,15,200,107.5,430,0.43023255813953487
19,36.0,15864.0,4250.25,17001.0,0.713208046585495,0,56,16.5,66,0.6742424242424242,9,200,70.0,280,0.5589285714285714
20,75.0,11982.0,5761.25,23045.0,0.49729876328921674,1,49,26.0,104,0.4375,15,200,116.5,466,0.37768240343347637
21,108.0,8994.0,4566.0,18264.0,0.47996057818659654,2,47,25.5,102,0.42156862745098034,21,200,119.5,478,0.35564853556485354
22,402.0,11142.0,3861.75,15447.0,0.567246067197514,8,47,24.75,99,0.36111111111111116,57,200,130.0,520,0.27211538461538465
23,87.0,7590.0,3835.5,15342.0,0.4808369182635901,1,43,23.5,94,0.4308510638297872,15,200,116.5,466,0.37768240343347637
24,143.0,6654.0,3149.0,12596.0,0.4926563988567799,4,42,23.5,94,0.3936170212765957,21,200,118.0,472,0.3633474576271186
25,63.0,8262.0,3195.5,12782.0,0.5603191988734157,1,45,21.75,87,0.4798850574712644,15,200,109.0,436,0.42087155963302747
26,92.0,9786.0,4656.5,18626.0,0.43833888113389885,2,47,29.0,116,0.3232758620689655,15,200,144.75,579,0.2551813471502591
