episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,95.0,5946.0,2725.25,10901.0,0.5082331896156316,2,41,20.75,83,0.46084337349397586,10,200,108.0,432,0.43287037037037035
2,59.0,15564.0,3957.0,15828.0,0.7355003790750568,1,57,15.5,62,0.6854838709677419,9,200,58.25,233,0.621244635193133
3,240.0,14496.0,5007.75,20031.0,0.5812116219859218,4,58,28.0,112,0.4196428571428571,33,200,126.75,507,0.30917159763313606
4,42.0,8742.0,4053.75,16215.0,0.5092969472710454,0,46,23.75,95,0.4710526315789474,9,200,108.75,435,0.42931034482758623
5,81.0,19590.0,5207.25,20829.0,0.7062148926976811,1,61,18.5,74,0.6148648648648649,15,200,75.75,303,0.4678217821782178
6,87.0,15420.0,3946.25,15785.0,0.729980994615141,1,53,14.75,59,0.673728813559322,15,200,62.75,251,0.5587649402390438
7,42.0,17868.0,4799.25,19197.0,0.711400218784185,0,58,17.5,70,0.6571428571428571,9,200,73.0,292,0.535958904109589
8,36.0,14190.0,3614.0,14456.0,0.7353002213613724,0,52,14.0,56,0.7053571428571429,9,200,61.25,245,0.5908163265306122
9,41.0,2511.0,674.5,2698.0,0.6873610081541883,1,19,5.5,22,0.6136363636363636,9,122,38.75,155,0.5564516129032258
10,132.0,10116.0,4487.25,17949.0,0.5160036770850743,2,42,21.75,87,0.45114942528735635,21,200,111.75,447,0.3976510067114094
11,162.0,7740.0,2523.75,10095.0,0.5988855869242199,2,48,19.5,78,0.4935897435897436,20,200,96.5,386,0.40025906735751293
12,63.0,5904.0,3499.5,13998.0,0.3544792113159023,1,42,26.75,107,0.3107476635514018,15,200,146.25,585,0.25
13,561.0,6690.0,4152.75,16611.0,0.30833483836012276,7,42,31.25,125,0.21399999999999997,50,200,162.5,650,0.17307692307692313
14,47.0,8442.0,2894.0,11576.0,0.5658690393918452,1,46,19.75,79,0.44620253164556967,9,200,102.75,411,0.3667883211678832
15,155.0,16968.0,4430.75,17723.0,0.7119138971957344,3,55,17.25,69,0.5760869565217391,21,200,74.5,298,0.4714765100671141
16,47.0,11442.0,3245.0,12980.0,0.6851694915254237,1,50,16.75,67,0.6007462686567164,9,200,76.0,304,0.524671052631579
17,125.0,7584.0,3745.25,14981.0,0.4777551565316067,3,44,24.0,96,0.40625,21,200,119.25,477,0.35691823899371067
18,36.0,14694.0,3783.75,15135.0,0.7300792864222002,0,55,16.0,64,0.6640625,9,200,70.25,281,0.5364768683274022
19,93.0,6282.0,1743.5,6974.0,0.6733581875537712,1,42,13.75,55,0.5772727272727273,15,200,73.25,293,0.5042662116040956
20,75.0,1767.0,539.75,2159.0,0.6008568781843446,1,11,4.5,18,0.4444444444444444,15,74,32.75,131,0.3377862595419847
21,81.0,11754.0,3015.0,12060.0,0.7272388059701492,1,50,13.5,54,0.6851851851851852,15,200,62.75,251,0.5587649402390438
22,42.0,18972.0,4785.25,19141.0,0.7421634188391412,0,59,15.5,62,0.717741935483871,9,200,58.25,233,0.621244635193133
23,77.0,3906.0,1756.25,7025.0,0.5108540925266903,1,38,17.25,69,0.5036231884057971,9,200,98.5,394,0.46192893401015234
24,75.0,13980.0,5909.0,23636.0,0.540552546962261,1,48,23.5,94,0.48404255319148937,9,200,106.0,424,0.44693396226415094
25,36.0,10314.0,3821.75,15287.0,0.5756034539150913,0,48,22.5,90,0.48888888888888893,9,200,110.5,442,0.418552036199095
26,77.0,8964.0,4394.75,17579.0,0.43197849707036806,1,47,28.75,115,0.341304347826087,9,200,140.25,561,0.2767379679144385
27,69.0,10920.0,2853.5,11414.0,0.7166637462765025,1,50,15.25,61,0.6188524590163934,15,200,67.25,269,0.5157992565055762
28,405.0,7968.0,3567.75,14271.0,0.4568530586504099,6,42,26.0,104,0.3125,38,200,135.5,542,0.268450184501845
29,104.0,12438.0,5553.5,22214.0,0.4975916088952913,2,50,27.5,110,0.3954545454545455,15,200,126.75,507,0.32692307692307687
30,42.0,20940.0,5343.75,21375.0,0.7335087719298246,0,59,16.0,64,0.6953125,9,200,64.0,256,0.564453125
31,42.0,19008.0,5183.25,20733.0,0.6863333815656201,0,57,19.5,78,0.5512820512820513,9,200,84.75,339,0.42699115044247793
32,168.0,8094.0,3626.25,14505.0,0.4920889348500517,2,40,23.0,92,0.38586956521739135,21,200,123.75,495,0.33484848484848484
33,321.0,9888.0,4410.75,17643.0,0.4972368644788301,7,48,26.75,107,0.3761682242990654,44,200,123.75,495,0.31161616161616157
34,227.0,11916.0,3161.5,12646.0,0.6932626917602404,4,54,17.0,68,0.5514705882352942,33,200,74.75,299,0.4188963210702341
35,192.0,12810.0,5764.5,23058.0,0.5142466822794691,4,46,24.25,97,0.42525773195876293,33,200,116.5,466,0.3583690987124464
36,99.0,17700.0,4809.75,19239.0,0.7002572898799314,1,57,18.0,72,0.6111111111111112,15,200,79.0,316,0.4762658227848101
37,131.0,14100.0,3652.0,14608.0,0.7188526834611172,3,53,16.0,64,0.5859375,21,200,68.5,274,0.49087591240875916
38,444.0,11214.0,4376.0,17504.0,0.5236517367458866,8,44,26.0,104,0.3173076923076923,57,200,133.0,532,0.26033834586466165
39,105.0,11646.0,5864.25,23457.0,0.46614017137741404,1,49,26.75,107,0.41355140186915884,15,200,123.75,495,0.34090909090909094
40,86.0,9132.0,2366.25,9465.0,0.716877971473851,2,47,13.5,54,0.6296296296296297,15,200,62.75,251,0.5587649402390438
41,77.0,4302.0,2604.5,10418.0,0.34123632175081586,1,40,27.25,109,0.29128440366972475,9,200,147.75,591,0.25
42,132.0,8508.0,3885.75,15543.0,0.4967670333912372,2,43,23.5,94,0.42021276595744683,21,200,117.75,471,0.3646496815286624
43,47.0,13134.0,5643.5,22574.0,0.5371666519004165,1,49,24.5,98,0.48469387755102045,9,200,106.0,424,0.44693396226415094
44,111.0,6684.0,1868.25,7473.0,0.6636892814130871,3,45,15.0,60,0.55,26,200,79.0,316,0.44145569620253167
45,42.0,8556.0,3799.25,15197.0,0.5269954596301901,0,45,22.5,90,0.49444444444444446,9,200,104.5,418,0.4569377990430622
46,93.0,7752.0,2350.5,9402.0,0.637364390555201,1,46,16.75,67,0.5335820895522388,15,200,83.5,334,0.437125748502994
47,93.0,8796.0,6101.25,24405.0,0.2740934234787953,1,41,29.75,119,0.2542016806722689,15,200,153.75,615,0.22560975609756095
48,69.0,20382.0,5373.75,21495.0,0.7102930914166086,1,61,19.75,79,0.5727848101265823,15,200,81.75,327,0.42431192660550454
49,36.0,9654.0,3459.5,13838.0,0.5915956063014887,0,43,20.25,81,0.5030864197530864,9,200,106.0,424,0.44693396226415094
50,426.0,9252.0,3522.0,14088.0,0.5323679727427598,7,47,25.0,100,0.37,44,200,122.0,488,0.319672131147541
51,87.0,11532.0,4598.75,18395.0,0.554919815167165,1,45,22.0,88,0.4829545454545454,15,200,107.5,430,0.43023255813953487
52,81.0,13254.0,3975.75,15903.0,0.6286078098471987,1,51,20.5,82,0.45731707317073167,15,200,96.75,387,0.36627906976744184
53,522.0,8952.0,4428.75,17715.0,0.39369178662150717,7,46,30.75,123,0.2703252032520326,44,200,153.5,614,0.2027687296416938
54,306.0,7386.0,3873.0,15492.0,0.4345468628969791,5,44,25.75,103,0.34708737864077666,32,200,131.0,524,0.2919847328244275
55,224.0,11022.0,5372.0,21488.0,0.4205137751303053,4,45,29.5,118,0.2966101694915254,27,200,147.75,591,0.23477157360406098
56,108.0,13158.0,5804.25,23217.0,0.5175410259723479,2,44,23.75,95,0.4184210526315789,21,200,114.75,459,0.380718954248366
57,63.0,6684.0,1737.5,6950.0,0.7151079136690648,1,42,12.0,48,0.6458333333333334,15,200,61.25,245,0.5663265306122449
58,251.0,11496.0,3721.25,14885.0,0.5800974135035271,7,49,24.25,97,0.33247422680412375,45,200,125.25,501,0.2380239520958083
59,75.0,17784.0,4532.5,18130.0,0.7337837837837838,1,55,15.75,63,0.6468253968253969,15,200,62.75,251,0.5587649402390438
60,57.0,10026.0,2996.25,11985.0,0.6516270337922403,1,50,18.5,74,0.5405405405405406,15,200,84.75,339,0.46238938053097345
61,143.0,13956.0,5426.75,21707.0,0.5581033767908969,4,49,25.25,101,0.42821782178217827,21,200,113.25,453,0.38907284768211925
62,68.0,8430.0,2749.75,10999.0,0.6175334121283753,2,47,19.75,79,0.490506329113924,15,200,94.0,376,0.4481382978723404
63,224.0,15672.0,4245.5,16982.0,0.6852549758567895,5,55,19.0,76,0.5,27,200,85.0,340,0.3897058823529411
64,179.0,17880.0,4642.75,18571.0,0.7152415055732055,4,59,18.0,72,0.5763888888888888,21,200,70.0,280,0.4839285714285714
65,83.0,1986.0,598.75,2395.0,0.6024008350730689,2,34,10.75,43,0.5755813953488372,9,200,64.25,257,0.5632295719844358
