episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,102.0,16716.0,4281.0,17124.0,0.7276629292221444,2,58,16.5,66,0.6363636363636364,22,200,69.5,278,0.4802158273381295
2,68.0,4740.0,1974.5,7898.0,0.5334894910103823,2,37,18.25,73,0.46232876712328763,15,200,106.0,424,0.4257075471698113
3,371.0,11556.0,4836.25,19345.0,0.5154949599379685,8,45,26.5,106,0.339622641509434,45,200,127.0,508,0.29625984251968507
4,65.0,4278.0,1215.25,4861.0,0.6557807035589385,1,34,11.25,45,0.55,9,200,70.25,281,0.5151245551601423
5,42.0,15432.0,5919.0,23676.0,0.5732387227572225,0,56,25.5,102,0.5245098039215687,9,200,104.5,418,0.4569377990430622
6,41.0,710.0,239.25,957.0,0.5248171368861024,1,12,4.25,17,0.4852941176470589,9,51,24.0,96,0.34375
7,47.0,10722.0,5128.25,20513.0,0.4786354994393799,1,49,26.0,104,0.4278846153846154,9,200,119.25,477,0.3694968553459119
8,59.0,16176.0,4096.0,16384.0,0.737945556640625,1,53,14.25,57,0.6885964912280702,9,200,59.75,239,0.5993723849372385
9,36.0,786.0,419.0,1676.0,0.4406324582338902,0,17,7.0,28,0.5357142857142857,9,81,43.25,173,0.388728323699422
10,42.0,15882.0,5115.5,20462.0,0.633491349819177,0,59,22.5,90,0.5666666666666667,9,200,100.0,400,0.45875
11,77.0,629.0,294.0,1176.0,0.40093537414965985,1,12,5.25,21,0.44047619047619047,9,57,31.5,126,0.3214285714285714
12,36.0,14130.0,3809.0,15236.0,0.707436334996062,0,54,16.75,67,0.6305970149253731,9,200,70.0,280,0.5589285714285714
13,87.0,9462.0,4072.25,16289.0,0.5322763828350421,1,46,23.0,92,0.4782608695652174,15,200,107.5,430,0.43023255813953487
14,182.0,10668.0,4412.0,17648.0,0.5353014505893019,4,47,24.0,96,0.43229166666666663,27,200,115.0,460,0.37282608695652175
15,77.0,11688.0,4021.25,16085.0,0.5982747901771837,1,49,23.25,93,0.47043010752688175,9,200,113.5,454,0.4008810572687225
16,36.0,12984.0,5095.5,20382.0,0.5193553135119223,0,52,30.5,122,0.3319672131147541,9,200,152.25,609,0.2352216748768472
17,71.0,401.0,162.75,651.0,0.3821044546850998,1,7,2.75,11,0.43181818181818177,9,45,21.0,84,0.3214285714285714
18,42.0,4824.0,2341.5,9366.0,0.49439461883408076,0,40,20.25,81,0.48456790123456794,9,200,107.5,430,0.4372093023255814
19,588.0,14274.0,4186.5,16746.0,0.6189537800071659,8,55,20.75,83,0.4307228915662651,56,200,95.0,380,0.28421052631578947
20,86.0,6804.0,1826.5,7306.0,0.6944292362441828,2,36,11.75,47,0.5691489361702128,15,200,68.75,275,0.5209090909090909
21,116.0,9036.0,3595.25,14381.0,0.47526249913079754,2,45,25.0,100,0.32499999999999996,15,200,137.25,549,0.25546448087431695
22,36.0,7764.0,4630.5,18522.0,0.33228053126012314,0,40,28.25,113,0.2676991150442478,9,200,152.25,609,0.2352216748768472
23,42.0,4014.0,1713.0,6852.0,0.5172942206654991,0,36,18.25,73,0.46232876712328763,9,200,110.5,442,0.4117647058823529
24,36.0,6954.0,3030.0,12120.0,0.49084158415841583,0,47,25.0,100,0.405,9,200,128.25,513,0.32602339181286555
25,552.0,9840.0,3779.75,15119.0,0.5192969111713738,8,44,25.25,101,0.3391089108910891,56,200,128.25,513,0.280214424951267
26,42.0,11190.0,2861.75,11447.0,0.733052328120905,0,50,13.25,53,0.7122641509433962,9,200,59.5,238,0.6134453781512605
27,612.0,11412.0,5415.0,21660.0,0.46523545706371194,10,44,26.5,106,0.30660377358490565,68,200,137.25,549,0.23451730418943528
28,83.0,837.0,338.75,1355.0,0.44003690036900367,2,11,5.5,22,0.31818181818181823,9,50,32.75,131,0.24618320610687028
29,216.0,8988.0,4355.25,17421.0,0.4822197348028242,4,46,26.25,105,0.37857142857142856,33,200,127.0,508,0.3080708661417323
30,75.0,12498.0,4540.5,18162.0,0.5858936240502147,1,48,23.0,92,0.4836956521739131,15,200,110.5,442,0.4117647058823529
31,531.0,18426.0,6205.5,24822.0,0.5890742083635485,9,51,27.0,108,0.35185185185185186,63,200,134.5,538,0.24907063197026025
32,81.0,9876.0,3596.25,14385.0,0.5834723670490094,1,44,20.5,82,0.49390243902439024,15,200,109.0,436,0.42087155963302747
33,47.0,13440.0,3571.75,14287.0,0.7101735843774061,1,51,16.5,66,0.5833333333333334,9,200,70.0,280,0.5160714285714286
34,71.0,9150.0,2778.25,11113.0,0.6518266894627913,1,48,16.75,67,0.585820895522388,9,200,79.0,316,0.5237341772151899
35,167.0,11916.0,7504.25,30017.0,0.3029033547656328,3,49,35.0,140,0.24642857142857144,21,200,155.25,621,0.21618357487922713
36,177.0,10488.0,4611.5,18446.0,0.5177274205789874,3,46,24.25,97,0.43041237113402064,27,200,115.0,460,0.37282608695652175
37,69.0,9450.0,4689.75,18759.0,0.3852950583719814,1,40,29.25,117,0.25,15,200,153.75,615,0.22560975609756095
38,83.0,11574.0,4189.25,16757.0,0.5694485886495196,2,48,25.0,100,0.42000000000000004,9,200,119.25,477,0.3694968553459119
39,249.0,11232.0,4251.0,17004.0,0.5537226534932957,5,44,24.75,99,0.3762626262626263,39,200,125.5,502,0.3087649402390438
40,53.0,17214.0,4358.5,17434.0,0.7386715613169669,1,58,15.75,63,0.6785714285714286,9,200,59.75,239,0.5993723849372385
41,65.0,8682.0,3213.25,12853.0,0.5784058196529993,1,48,22.25,89,0.4915730337078652,9,200,106.0,424,0.44693396226415094
42,278.0,6906.0,2132.5,8530.0,0.5848182883939038,8,48,19.75,79,0.38291139240506333,51,200,98.5,394,0.28807106598984766
