episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,131.0,17040.0,4390.75,17563.0,0.7228121619313329,3,58,17.25,69,0.5978260869565217,22,200,71.0,284,0.47535211267605637
2,42.0,7626.0,3901.5,15606.0,0.4447327950788158,0,40,22.75,91,0.38186813186813184,9,200,128.25,513,0.32602339181286555
3,77.0,8355.0,2174.25,8697.0,0.7151604001379787,1,34,10.25,41,0.6158536585365854,9,170,53.75,215,0.5686046511627907
4,144.0,11640.0,6105.0,24420.0,0.45515970515970516,2,50,27.75,111,0.37612612612612617,21,200,131.25,525,0.3014285714285714
5,63.0,15024.0,3889.25,15557.0,0.7266021726553963,1,54,15.5,62,0.6612903225806451,15,200,65.75,263,0.5446768060836502
6,170.0,8628.0,2541.5,10166.0,0.6263525477080464,4,48,18.5,74,0.45270270270270274,27,200,91.0,364,0.3571428571428571
7,77.0,16458.0,4261.75,17047.0,0.7244529829295477,1,59,17.25,69,0.6413043478260869,9,200,67.25,269,0.5604089219330854
8,42.0,6690.0,1863.25,7453.0,0.6880115389775929,0,40,12.5,50,0.63,9,200,64.25,257,0.5865758754863813
9,104.0,21318.0,6696.5,26786.0,0.6411931606062868,2,64,24.75,99,0.5378787878787878,15,200,106.0,424,0.4186320754716981
10,41.0,13116.0,3331.0,13324.0,0.7365280696487542,1,55,14.75,59,0.690677966101695,9,200,59.75,239,0.5993723849372385
11,42.0,15438.0,3979.75,15919.0,0.7304007789434009,0,56,15.75,63,0.6865079365079365,9,200,64.25,257,0.5865758754863813
12,294.0,14286.0,4818.5,19274.0,0.5972034865622081,5,56,26.25,105,0.44047619047619047,32,200,117.75,471,0.3529723991507431
13,180.0,13980.0,5281.5,21126.0,0.562695257029253,2,47,24.0,96,0.43229166666666663,20,200,119.25,477,0.35796645702306085
14,69.0,12294.0,3790.5,15162.0,0.6277206173328057,1,54,22.5,90,0.4722222222222222,15,200,110.5,442,0.3506787330316742
15,135.0,15720.0,4115.75,16463.0,0.7111249468505133,3,54,17.25,69,0.5615942028985508,27,200,74.75,299,0.4389632107023411
16,53.0,12438.0,3291.75,13167.0,0.706140350877193,1,50,15.75,63,0.5833333333333334,9,200,68.75,275,0.5318181818181819
17,75.0,11640.0,3042.5,12170.0,0.7136811832374692,1,51,15.0,60,0.625,15,200,67.25,269,0.5269516728624535
18,87.0,18372.0,4766.0,19064.0,0.7217268149391524,1,58,17.25,69,0.6268115942028986,15,200,67.0,268,0.5186567164179104
19,71.0,11892.0,3103.5,12414.0,0.7165297245045916,1,52,16.0,64,0.609375,9,200,67.25,269,0.5492565055762082
20,108.0,5556.0,1489.75,5959.0,0.6860630978352072,2,42,13.0,52,0.5769230769230769,21,200,67.25,269,0.5046468401486989
21,36.0,7908.0,2045.75,8183.0,0.7221984602224123,0,45,12.5,50,0.68,9,200,62.75,251,0.5707171314741036
22,36.0,16512.0,4220.25,16881.0,0.7356939754753865,0,57,15.5,62,0.7096774193548387,9,200,64.25,257,0.5865758754863813
23,41.0,6714.0,3602.75,14411.0,0.4145270973561862,1,40,25.0,100,0.31499999999999995,9,200,140.25,561,0.2767379679144385
24,114.0,12906.0,4283.0,17132.0,0.6077807611487275,2,51,22.75,91,0.4697802197802198,21,200,115.0,460,0.37282608695652175
25,140.0,12426.0,3242.5,12970.0,0.7122590593677718,3,44,13.75,55,0.5590909090909091,21,200,68.5,274,0.49087591240875916
26,77.0,11574.0,3046.75,12187.0,0.7084393205875112,2,49,15.25,61,0.5860655737704918,9,200,67.25,269,0.5381040892193308
27,227.0,13014.0,3488.0,13952.0,0.6919438073394495,4,54,18.25,73,0.523972602739726,33,200,82.25,329,0.4034954407294833
28,170.0,13038.0,3743.0,14972.0,0.6628372962864013,4,44,17.25,69,0.4746376811594203,27,200,84.75,339,0.418141592920354
29,36.0,6702.0,2802.0,11208.0,0.5441648822269807,0,39,19.0,76,0.506578947368421,9,200,104.5,418,0.4569377990430622
30,69.0,13164.0,3401.75,13607.0,0.7229550966414345,1,53,15.25,61,0.6434426229508197,15,200,65.5,262,0.5343511450381679
31,191.0,17070.0,5073.5,20294.0,0.6479254952202621,3,59,23.25,93,0.48655913978494625,21,200,105.75,423,0.3634751773049646
32,99.0,14916.0,3807.5,15230.0,0.7297439264609323,1,56,15.0,60,0.6916666666666667,15,200,61.25,245,0.5663265306122449
33,87.0,13362.0,3532.25,14129.0,0.7095158893056833,1,53,16.25,65,0.6115384615384616,15,200,71.75,287,0.509581881533101
34,41.0,5820.0,2923.75,11695.0,0.4911286874732792,1,42,19.0,76,0.5,9,200,100.0,400,0.45875
35,65.0,10926.0,5176.25,20705.0,0.4597078000482975,1,45,29.25,117,0.3141025641025641,9,200,146.25,585,0.2551282051282051
36,158.0,12798.0,3367.75,13471.0,0.7047546581545542,4,52,16.25,65,0.5576923076923077,27,200,73.25,293,0.45307167235494883
37,93.0,7932.0,3045.5,12182.0,0.5490067312428173,1,52,25.25,101,0.443069306930693,15,200,121.0,484,0.35433884297520657
38,86.0,7344.0,3340.0,13360.0,0.5129491017964072,2,41,21.5,86,0.4534883720930233,15,200,107.5,430,0.43023255813953487
39,162.0,16800.0,4340.0,17360.0,0.7197004608294931,2,57,16.5,66,0.6363636363636364,20,200,67.0,268,0.5093283582089553
40,87.0,6678.0,2392.25,9569.0,0.5847267217055073,1,47,21.75,87,0.49712643678160917,15,200,107.5,430,0.43023255813953487
41,87.0,5952.0,1796.0,7184.0,0.6457405345211581,1,41,15.25,61,0.5532786885245902,15,200,85.25,341,0.4772727272727273
42,36.0,14430.0,3647.0,14588.0,0.7406772689882095,0,53,13.75,55,0.7318181818181818,9,200,58.25,233,0.621244635193133
43,74.0,9444.0,2806.5,11226.0,0.659139497594869,2,44,15.5,62,0.5564516129032258,15,200,76.25,305,0.5040983606557377
