         Multiple Comparison of Means - Tukey HSD, FWER=0.05         
=====================================================================
   group1       group2     meandiff p-adj    lower     upper   reject
---------------------------------------------------------------------
     average     baseline   1064.59    0.0  878.2761 1250.9039   True
     average  egalitarian  865.2387    0.0  678.9248 1051.5527   True
     average majoritarian  527.1655    0.0  340.8516  713.4794   True
     average      maximin  646.8443    0.0  460.5303  833.1582   True
     average     optimist  604.6397    0.0  418.3258  790.9537   True
     average  utilitarian  588.7827    0.0  402.4688  775.0967   True
     average         veto  516.5577    0.0  330.2438  702.8717   True
    baseline  egalitarian -199.3513 0.0261 -385.6652  -13.0373   True
    baseline majoritarian -537.4245    0.0 -723.7384 -351.1106   True
    baseline      maximin -417.7458    0.0 -604.0597 -231.4318   True
    baseline     optimist -459.9503    0.0 -646.2642 -273.6363   True
    baseline  utilitarian -475.8073    0.0 -662.1212 -289.4933   True
    baseline         veto -548.0323    0.0 -734.3462 -361.7183   True
 egalitarian majoritarian -338.0732    0.0 -524.3872 -151.7593   True
 egalitarian      maximin -218.3945 0.0091 -404.7084  -32.0806   True
 egalitarian     optimist  -260.599 0.0006 -446.9129  -74.2851   True
 egalitarian  utilitarian  -276.456 0.0002 -462.7699  -90.1421   True
 egalitarian         veto  -348.681    0.0 -534.9949 -162.3671   True
majoritarian      maximin  119.6788  0.518  -66.6352  305.9927  False
majoritarian     optimist   77.4742 0.9132 -108.8397  263.7882  False
majoritarian  utilitarian   61.6172 0.9742 -124.6967  247.9312  False
majoritarian         veto  -10.6078    1.0 -196.9217  175.7062  False
     maximin     optimist  -42.2045 0.9974 -228.5184  144.1094  False
     maximin  utilitarian  -58.0615 0.9816 -244.3754  128.2524  False
     maximin         veto -130.2865 0.4019 -316.6004   56.0274  False
    optimist  utilitarian   -15.857    1.0 -202.1709  170.4569  False
    optimist         veto   -88.082 0.8419 -274.3959   98.2319  False
 utilitarian         veto   -72.225 0.9391 -258.5389  114.0889  False
---------------------------------------------------------------------
