episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,36.0,5400.0,1506.0,6024.0,0.6860059760956175,0,42,12.5,50,0.66,10,200,69.5,278,0.5449640287769785
2,41.0,282.0,158.5,634.0,0.31388012618296535,1,6,3.5,14,0.2857142857142857,9,45,27.0,108,0.2777777777777778
3,93.0,9822.0,3603.5,14414.0,0.5792979048147634,1,48,22.25,89,0.4915730337078652,15,200,109.0,436,0.42087155963302747
4,36.0,366.0,134.0,536.0,0.480410447761194,0,6,2.0,8,0.5625,9,20,13.25,53,0.1839622641509433
5,36.0,9198.0,2530.25,10121.0,0.6925946052761585,0,41,14.0,56,0.5714285714285714,9,200,77.5,310,0.4903225806451613
6,68.0,287.0,181.25,725.0,0.296896551724138,2,9,5.25,21,0.29761904761904767,15,57,31.5,126,0.27380952380952384
7,57.0,4266.0,2006.75,8027.0,0.501214650554379,1,37,17.25,69,0.4818840579710145,15,200,98.5,394,0.4390862944162437
8,74.0,4884.0,1601.0,6404.0,0.6017332916926921,2,39,15.25,61,0.49590163934426235,15,200,88.25,353,0.43555240793201133
9,42.0,4878.0,2401.5,9606.0,0.4892254840724547,0,36,16.75,67,0.48880597014925375,9,200,98.5,394,0.4390862944162437
10,261.0,10740.0,4052.25,16209.0,0.5531649083842309,5,50,24.5,98,0.423469387755102,39,200,120.75,483,0.3307453416149069
11,42.0,2283.0,768.0,3072.0,0.59326171875,0,29,10.0,40,0.5875,9,182,68.5,274,0.5109489051094891
12,216.0,2277.0,806.25,3225.0,0.5006976744186047,4,15,7.25,29,0.3017241379310345,33,98,52.0,208,0.24759615384615374
13,36.0,9996.0,2543.0,10172.0,0.7347129374754228,0,47,12.5,50,0.71,9,200,58.25,233,0.621244635193133
14,36.0,509.0,177.25,709.0,0.5208039492242595,0,9,2.75,11,0.6136363636363636,9,21,13.5,54,0.19444444444444442
15,36.0,7536.0,2744.25,10977.0,0.5819212899699372,0,45,21.0,84,0.5,9,200,109.0,436,0.4277522935779816
16,110.0,2802.0,894.25,3577.0,0.5837992731339111,2,36,13.25,53,0.4952830188679245,15,200,73.0,292,0.476027397260274
17,47.0,11196.0,3240.25,12961.0,0.6718038731579353,1,48,17.25,69,0.5688405797101449,9,200,85.25,341,0.48607038123167157
