episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,75.0,4758.0,2135.0,8540.0,0.5043911007025761,1,39,20.25,81,0.44753086419753085,16,200,112.5,450,0.39888888888888885
2,36.0,4716.0,1522.25,6089.0,0.6015355559205124,0,42,15.75,63,0.5436507936507936,9,200,86.5,346,0.45809248554913296
3,36.0,5034.0,1916.0,7664.0,0.5706550104384134,0,38,17.0,68,0.5220588235294118,9,200,100.0,400,0.46625000000000005
4,41.0,7404.0,2115.5,8462.0,0.6666863625620421,1,42,16.0,64,0.53125,9,200,88.0,352,0.46306818181818177
5,36.0,6402.0,1682.75,6731.0,0.7129326994503046,0,42,12.25,49,0.6581632653061225,9,200,65.75,263,0.5674904942965779
6,36.0,5346.0,2274.75,9099.0,0.5353610286844708,0,38,18.75,75,0.4966666666666667,9,200,106.0,424,0.44693396226415094
7,36.0,5964.0,2847.0,11388.0,0.4686512118018967,0,40,23.25,93,0.3897849462365591,9,200,125.25,501,0.33982035928143717
8,81.0,7986.0,3286.25,13145.0,0.543419551160137,1,41,21.0,84,0.4642857142857143,15,200,107.5,430,0.43023255813953487
9,42.0,4722.0,2318.0,9272.0,0.4909404659188956,0,38,20.0,80,0.45625000000000004,9,200,109.0,436,0.4277522935779816
10,41.0,2658.0,931.0,3724.0,0.5855263157894737,1,36,13.5,54,0.5555555555555556,9,200,80.5,322,0.5186335403726708
11,36.0,4218.0,1137.0,4548.0,0.6975593667546174,0,41,11.75,47,0.675531914893617,9,200,65.75,263,0.5674904942965779
12,87.0,5496.0,1621.25,6485.0,0.6530069390902081,1,42,14.25,57,0.5745614035087719,15,200,77.5,310,0.4903225806451613
13,36.0,6258.0,2894.75,11579.0,0.5127601692719579,0,41,20.25,81,0.48456790123456794,9,200,107.5,430,0.4372093023255814
14,87.0,7404.0,3222.0,12888.0,0.5219972067039106,1,42,22.25,89,0.4466292134831461,15,200,113.5,454,0.3942731277533039
15,36.0,7326.0,3430.5,13722.0,0.5055749890686488,0,42,22.0,88,0.46590909090909094,9,200,110.5,442,0.418552036199095
16,69.0,3348.0,1002.0,4008.0,0.6369760479041916,1,38,12.0,48,0.6041666666666666,15,200,71.5,286,0.5104895104895105
17,279.0,9312.0,2627.75,10511.0,0.6448720388164779,5,45,17.0,68,0.4411764705882353,39,200,89.5,358,0.34078212290502796
18,36.0,6774.0,1749.5,6998.0,0.723492426407545,0,42,11.5,46,0.6956521739130435,9,200,61.25,245,0.5908163265306122
19,75.0,9450.0,3863.75,15455.0,0.5378032999029441,1,45,23.25,93,0.43817204301075274,15,200,116.5,466,0.37768240343347637
20,89.0,1758.0,901.75,3607.0,0.4541863044080954,2,19,10.5,42,0.3928571428571429,9,122,67.0,268,0.4048507462686567
21,92.0,7218.0,4487.0,17948.0,0.3127367951860932,2,42,31.0,124,0.25,15,200,153.75,615,0.22560975609756095
22,36.0,3930.0,1969.25,7877.0,0.4896216833819982,0,36,18.25,73,0.48287671232876717,9,200,104.5,418,0.4569377990430622
23,53.0,6558.0,1704.5,6818.0,0.7172191258433558,1,41,11.5,46,0.6521739130434783,9,200,61.25,245,0.5908163265306122
24,47.0,4386.0,1220.5,4882.0,0.683531339614912,1,38,11.5,46,0.6304347826086957,9,200,65.5,262,0.5801526717557252
25,36.0,7770.0,1975.25,7901.0,0.7348753322364258,0,42,10.75,43,0.7383720930232558,9,200,56.75,227,0.6310572687224669
26,69.0,6828.0,2895.75,11583.0,0.48724423724423727,1,43,24.0,96,0.38020833333333337,15,200,129.75,519,0.31358381502890176
27,75.0,8988.0,2347.25,9389.0,0.7139471722228139,1,46,13.25,53,0.6462264150943396,15,200,65.75,263,0.5332699619771863
28,36.0,324.0,183.5,734.0,0.33855585831062673,0,6,3.75,15,0.35,9,45,28.25,113,0.30309734513274333
29,59.0,6426.0,1712.75,6851.0,0.7038023646183039,1,41,12.25,49,0.6275510204081632,9,200,65.5,262,0.5572519083969466
30,80.0,8322.0,2463.25,9853.0,0.656627423119862,2,45,17.25,69,0.5253623188405797,15,200,88.0,352,0.4616477272727273
31,36.0,312.0,128.75,515.0,0.4257281553398058,0,6,2.5,10,0.44999999999999996,9,45,21.0,84,0.3571428571428571
32,104.0,3390.0,1309.25,5237.0,0.5417700973839985,2,39,15.75,63,0.503968253968254,15,200,89.5,358,0.45810055865921784
33,62.0,6456.0,1675.25,6701.0,0.7159752275779734,1,42,11.75,47,0.6542553191489362,15,200,62.75,251,0.5587649402390438
34,36.0,7056.0,3119.25,12477.0,0.5263885549410916,0,41,20.0,80,0.5,9,200,106.0,424,0.44693396226415094
35,65.0,8046.0,2422.25,9689.0,0.6540148622148828,1,46,15.75,63,0.5912698412698413,9,200,80.5,322,0.5093167701863354
36,41.0,9336.0,2446.5,9786.0,0.7124463519313304,1,47,14.5,58,0.603448275862069,9,200,67.25,269,0.5492565055762082
37,36.0,3294.0,1237.5,4950.0,0.4972727272727273,0,35,14.0,56,0.4732142857142857,9,200,86.25,345,0.41521739130434787
38,80.0,6300.0,1707.5,6830.0,0.6871888726207906,2,43,13.75,55,0.5681818181818182,15,200,73.25,293,0.4837883959044369
39,36.0,7920.0,2114.75,8459.0,0.7034223903534697,0,44,13.25,53,0.6367924528301887,9,200,68.75,275,0.5318181818181819
40,90.0,7134.0,2027.5,8110.0,0.6700986436498151,2,44,16.5,66,0.5378787878787878,15,200,86.75,347,0.46469740634005763
41,42.0,6402.0,3218.75,12875.0,0.4935339805825243,0,42,20.75,83,0.4969879518072289,9,200,104.5,418,0.4569377990430622
42,36.0,8190.0,3590.25,14361.0,0.5030812617505744,0,45,24.5,98,0.40816326530612246,9,200,123.75,495,0.34696969696969693
43,42.0,9720.0,2492.75,9971.0,0.7288887774546184,0,48,13.25,53,0.6839622641509434,9,200,62.75,251,0.5826693227091634
44,59.0,5706.0,2458.25,9833.0,0.5283484185904607,1,37,18.25,73,0.476027397260274,9,200,107.5,430,0.4372093023255814
45,108.0,11124.0,2899.25,11597.0,0.714861602138484,2,51,15.0,60,0.625,21,200,68.75,275,0.49909090909090914
46,36.0,3546.0,1618.5,6474.0,0.5113531047265987,0,36,18.25,73,0.48287671232876717,9,200,107.5,430,0.4372093023255814
47,36.0,6996.0,1816.25,7265.0,0.7206125258086717,0,46,12.75,51,0.6813725490196079,9,200,62.75,251,0.5826693227091634
48,75.0,9954.0,2567.75,10271.0,0.7220085678122871,1,47,13.0,52,0.6634615384615384,15,200,62.75,251,0.5587649402390438
49,81.0,5298.0,3047.25,12189.0,0.35041841004184104,1,38,27.75,111,0.25,15,200,153.75,615,0.22560975609756095
50,36.0,8178.0,2108.0,8432.0,0.7261029411764706,0,46,12.5,50,0.7,9,200,61.25,245,0.6030612244897959
51,69.0,7884.0,2093.75,8375.0,0.7069552238805971,1,48,14.25,57,0.6359649122807017,15,200,68.75,275,0.5318181818181819
52,104.0,7896.0,3341.5,13366.0,0.5271958701182103,2,44,22.5,90,0.4388888888888889,15,200,113.5,454,0.3942731277533039
53,222.0,12852.0,3561.5,14246.0,0.6668889512845712,4,50,19.0,76,0.45394736842105265,33,200,91.0,364,0.3475274725274725
54,59.0,4878.0,2035.25,8141.0,0.5335032551283626,1,37,19.0,76,0.45394736842105265,9,200,110.5,442,0.418552036199095
55,36.0,4830.0,1332.0,5328.0,0.6931306306306306,0,42,12.5,50,0.67,9,200,68.75,275,0.5645454545454546
56,42.0,5430.0,1654.25,6617.0,0.6342375698957231,0,42,15.0,60,0.5583333333333333,9,200,80.5,322,0.47360248447204967
57,36.0,5796.0,1529.0,6116.0,0.7116579463701765,0,43,11.75,47,0.6968085106382979,9,200,61.25,245,0.6030612244897959
58,41.0,9978.0,2606.0,10424.0,0.7150326170376056,1,48,14.0,56,0.6339285714285714,9,200,67.0,268,0.5410447761194029
59,36.0,4194.0,2109.0,8436.0,0.49217638691322907,0,36,17.75,71,0.5035211267605634,9,200,104.5,418,0.4569377990430622
60,119.0,3414.0,1648.25,6593.0,0.4803958744122554,2,38,19.25,77,0.4512987012987013,21,200,110.5,442,0.40497737556561086
