episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,128.0,1980.0,927.5,3710.0,0.3909703504043127,2,30,15.75,63,0.34523809523809523,16,189,101.0,404,0.32797029702970293
2,135.0,10866.0,2836.25,11345.0,0.7106434552666373,2,46,13.75,55,0.6045454545454545,21,200,68.75,275,0.48818181818181816
3,167.0,3954.0,1720.25,6881.0,0.4753306205493387,4,36,19.75,79,0.3575949367088608,21,200,116.5,466,0.3390557939914163
4,41.0,7728.0,1984.75,7939.0,0.728523743544527,0,44,12.25,49,0.6887755102040817,9,200,61.25,245,0.6030612244897959
5,216.0,8820.0,4511.25,18045.0,0.3993765586034913,4,41,27.0,108,0.29166666666666663,33,200,144.75,579,0.23963730569948183
6,42.0,7530.0,1933.25,7733.0,0.7277576619681883,0,44,11.75,47,0.7074468085106383,9,200,59.75,239,0.5993723849372385
7,36.0,762.0,254.25,1017.0,0.549410029498525,0,10,3.25,13,0.5961538461538461,9,68,28.25,113,0.40486725663716816
8,47.0,738.0,248.5,994.0,0.5331991951710262,1,10,3.5,14,0.5,9,68,26.75,107,0.41355140186915884
9,41.0,822.0,246.75,987.0,0.601063829787234,1,18,5.25,21,0.6071428571428571,9,117,36.0,144,0.5625
10,41.0,4896.0,2442.5,9770.0,0.4823950870010235,1,41,21.5,86,0.4476744186046512,9,200,112.0,448,0.4095982142857143
11,42.0,7884.0,2970.5,11882.0,0.5652667901026763,0,45,22.0,88,0.46590909090909094,9,200,112.0,448,0.4095982142857143
12,59.0,3636.0,1360.0,5440.0,0.5662683823529412,1,35,16.25,65,0.49615384615384617,9,200,98.5,394,0.46954314720812185
13,183.0,3624.0,1063.5,4254.0,0.607898448519041,3,33,10.75,43,0.5290697674418605,27,200,71.75,287,0.45731707317073167
14,86.0,6384.0,2344.0,9376.0,0.5640465017064846,2,40,19.0,76,0.4407894736842105,15,200,104.5,418,0.3995215311004785
15,177.0,7338.0,3126.0,12504.0,0.5221928982725528,3,42,21.5,86,0.4418604651162791,27,200,113.5,454,0.3810572687224669
16,59.0,2589.0,1216.25,4865.0,0.49563206577595065,1,30,14.75,59,0.4703389830508474,9,182,92.5,370,0.4513513513513514
17,98.0,5826.0,2338.0,9352.0,0.5371043627031651,2,40,21.0,84,0.4285714285714286,15,200,113.5,454,0.3942731277533039
18,42.0,14700.0,3845.0,15380.0,0.7175877763328998,0,51,15.5,62,0.6209677419354839,9,200,70.0,280,0.5160714285714286
19,165.0,13338.0,3597.5,14390.0,0.6881514940931203,3,51,17.75,71,0.5105633802816901,27,200,85.0,340,0.3897058823529411
20,80.0,6264.0,2735.0,10940.0,0.5160877513711152,2,41,22.0,88,0.42613636363636365,15,200,115.0,460,0.38586956521739135
21,87.0,5274.0,2051.0,8204.0,0.5535714285714286,1,44,20.0,80,0.49375,15,200,106.0,424,0.4257075471698113
22,36.0,7554.0,1983.25,7933.0,0.7150195386360771,0,44,13.0,52,0.6442307692307693,9,200,64.25,257,0.5749027237354085
23,114.0,8130.0,2344.25,9377.0,0.6558867441612456,2,45,16.0,64,0.5078125,21,200,83.5,334,0.41017964071856283
24,42.0,11388.0,2902.25,11609.0,0.7341502282711689,0,49,13.0,52,0.7115384615384616,9,200,59.75,239,0.5993723849372385
25,36.0,9258.0,2373.25,9493.0,0.7293005372379648,0,47,13.0,52,0.6826923076923077,9,200,61.25,245,0.5908163265306122
26,120.0,9060.0,2599.25,10397.0,0.6577618543810715,2,45,18.0,72,0.47916666666666663,21,200,92.5,370,0.4027027027027027
