      Multiple Comparison of Means - Tukey HSD, FWER=0.05      
===============================================================
   group1       group2    meandiff p-adj   lower  upper  reject
---------------------------------------------------------------
     average     baseline   0.0663    1.0 -1.8845  2.017  False
     average  egalitarian   3.2335    0.0  1.2827 5.1843   True
     average majoritarian   2.9845 0.0001  1.0337 4.9353   True
     average      maximin   5.0935    0.0  3.1427 7.0443   True
     average     optimist   3.3863    0.0  1.4355  5.337   True
     average  utilitarian   4.5165    0.0  2.5657 6.4673   True
     average         veto   1.6248  0.185  -0.326 3.5755  False
    baseline  egalitarian   3.1673    0.0  1.2165  5.118   True
    baseline majoritarian   2.9183 0.0002  0.9675  4.869   True
    baseline      maximin   5.0273    0.0  3.0765  6.978   True
    baseline     optimist     3.32    0.0  1.3692 5.2708   True
    baseline  utilitarian   4.4503    0.0  2.4995  6.401   True
    baseline         veto   1.5585 0.2307 -0.3923 3.5093  False
 egalitarian majoritarian   -0.249 0.9999 -2.1998 1.7018  False
 egalitarian      maximin     1.86 0.0746 -0.0908 3.8108  False
 egalitarian     optimist   0.1527    1.0  -1.798 2.1035  False
 egalitarian  utilitarian    1.283 0.4862 -0.6678 3.2338  False
 egalitarian         veto  -1.6088 0.1954 -3.5595  0.342  False
majoritarian      maximin    2.109 0.0234  0.1582 4.0598   True
majoritarian     optimist   0.4017 0.9986  -1.549 2.3525  False
majoritarian  utilitarian    1.532 0.2509 -0.4188 3.4828  False
majoritarian         veto  -1.3597 0.4065 -3.3105  0.591  False
     maximin     optimist  -1.7073 0.1375  -3.658 0.2435  False
     maximin  utilitarian   -0.577 0.9865 -2.5278 1.3738  False
     maximin         veto  -3.4688    0.0 -5.4195 -1.518   True
    optimist  utilitarian   1.1303   0.65 -0.8205  3.081  False
    optimist         veto  -1.7615 0.1117 -3.7123 0.1893  False
 utilitarian         veto  -2.8917 0.0002 -4.8425 -0.941   True
---------------------------------------------------------------
