      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline   0.5037    0.0  0.3659  0.6416   True
     average  egalitarian   0.6206    0.0  0.4827  0.7584   True
     average majoritarian   0.2536    0.0  0.1158  0.3915   True
     average      maximin   0.5015    0.0  0.3636  0.6393   True
     average     optimist   0.4904    0.0  0.3525  0.6282   True
     average  utilitarian  -0.1878  0.001 -0.3256   -0.05   True
     average         veto   0.4571    0.0  0.3192  0.5949   True
    baseline  egalitarian   0.1169 0.1671  -0.021  0.2547  False
    baseline majoritarian  -0.2501    0.0 -0.3879 -0.1123   True
    baseline      maximin  -0.0023    1.0 -0.1401  0.1356  False
    baseline     optimist  -0.0134    1.0 -0.1512  0.1245  False
    baseline  utilitarian  -0.6915    0.0 -0.8294 -0.5537   True
    baseline         veto  -0.0467 0.9707 -0.1845  0.0912  False
 egalitarian majoritarian  -0.3669    0.0 -0.5048 -0.2291   True
 egalitarian      maximin  -0.1191 0.1487  -0.257  0.0187  False
 egalitarian     optimist  -0.1302 0.0801 -0.2681  0.0076  False
 egalitarian  utilitarian  -0.8084    0.0 -0.9462 -0.6705   True
 egalitarian         veto  -0.1635 0.0078 -0.3013 -0.0257   True
majoritarian      maximin   0.2478    0.0    0.11  0.3857   True
majoritarian     optimist   0.2367    0.0  0.0989  0.3746   True
majoritarian  utilitarian  -0.4414    0.0 -0.5793 -0.3036   True
majoritarian         veto   0.2034 0.0002  0.0656  0.3413   True
     maximin     optimist  -0.0111    1.0 -0.1489  0.1267  False
     maximin  utilitarian  -0.6893    0.0 -0.8271 -0.5514   True
     maximin         veto  -0.0444 0.9779 -0.1822  0.0935  False
    optimist  utilitarian  -0.6782    0.0  -0.816 -0.5403   True
    optimist         veto  -0.0333 0.9961 -0.1711  0.1046  False
 utilitarian         veto   0.6449    0.0   0.507  0.7827   True
----------------------------------------------------------------
