      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline   2.5997    0.0  1.7465   3.453   True
     average  egalitarian   2.1285    0.0  1.2752  2.9818   True
     average majoritarian   0.8413 0.0566  -0.012  1.6945  False
     average      maximin   2.3075    0.0  1.4542  3.1608   True
     average     optimist   2.6212    0.0   1.768  3.4745   True
     average  utilitarian  -1.2745 0.0002 -2.1278 -0.4212   True
     average         veto   1.7262    0.0   0.873  2.5795   True
    baseline  egalitarian  -0.4712  0.704 -1.3245   0.382  False
    baseline majoritarian  -1.7585    0.0 -2.6118 -0.9052   True
    baseline      maximin  -0.2922 0.9686 -1.1455   0.561  False
    baseline     optimist   0.0215    1.0 -0.8318  0.8748  False
    baseline  utilitarian  -3.8742    0.0 -4.7275  -3.021   True
    baseline         veto  -0.8735 0.0404 -1.7268 -0.0202   True
 egalitarian majoritarian  -1.2873 0.0001 -2.1405  -0.434   True
 egalitarian      maximin    0.179 0.9984 -0.6743  1.0323  False
 egalitarian     optimist   0.4927 0.6536 -0.3605   1.346  False
 egalitarian  utilitarian   -3.403    0.0 -4.2563 -2.5497   True
 egalitarian         veto  -0.4023 0.8439 -1.2555   0.451  False
majoritarian      maximin   1.4662    0.0   0.613  2.3195   True
majoritarian     optimist     1.78    0.0  0.9267  2.6333   True
majoritarian  utilitarian  -2.1158    0.0  -2.969 -1.2625   True
majoritarian         veto    0.885 0.0357  0.0317  1.7383   True
     maximin     optimist   0.3137 0.9538 -0.5395   1.167  False
     maximin  utilitarian   -3.582    0.0 -4.4353 -2.7287   True
     maximin         veto  -0.5813 0.4378 -1.4345   0.272  False
    optimist  utilitarian  -3.8957    0.0  -4.749 -3.0425   True
    optimist         veto   -0.895 0.0319 -1.7483 -0.0417   True
 utilitarian         veto   3.0007    0.0  2.1475   3.854   True
----------------------------------------------------------------
