agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
0,1,16,0,1,0,0.0,0.0,75.0,2,-1.1,8,1
1,1,200,0,37,0,3.100000000000013,31.000000000000128,6312.0,0,1.0,26,37
2,1,16,0,1,0,0.0,0.0,69.0,3,-1.1,9,1
3,1,200,4,34,5,1.299999999999991,36.99999999999991,5388.0,0,1.0,33,38
0,2,147,0,23,5,0.0,0.0,1749.0,2,-1.1,36,23
1,2,86,0,13,1,0.0,0.0,1005.0,0,-1.0,28,13
2,2,200,0,49,0,10.200000000000024,102.00000000000024,10578.0,0,1.0,29,49
3,2,9,2,0,0,0.0,11.0,71.0,0,-0.1999999999999999,6,2
0,3,51,0,7,1,0.0,0.0,309.0,4,-1.1,22,7
1,3,51,0,7,0,0.0,0.0,273.0,2,-1.1,18,7
2,3,200,0,40,0,4.799999999999995,47.99999999999995,6660.0,0,1.0,16,40
3,3,200,0,38,1,3.599999999999988,35.99999999999988,4308.0,0,1.0,25,38
0,4,27,0,3,3,0.0,0.0,183.0,0,-1.0,14,3
1,4,200,0,36,1,2.399999999999988,23.99999999999988,4272.0,0,1.0,37,36
2,4,200,0,42,0,6.000000000000009,60.000000000000085,7866.0,1,1.8,24,42
3,4,74,0,11,3,0.0,0.0,819.0,0,-1.0,20,11
0,5,200,0,33,27,0.5999999999999966,5.999999999999966,2166.0,4,1.2333333333333334,37,33
1,5,69,0,10,3,0.0,0.0,456.0,2,-1.1,22,10
2,5,200,0,35,1,1.799999999999986,17.999999999999858,4866.0,0,1.0,35,35
3,5,200,0,38,21,3.600000000000005,36.00000000000005,6348.0,4,1.6333333333333333,24,38
0,6,200,3,39,24,4.1999999999999975,59.99999999999997,4716.0,0,1.8,34,42
1,6,51,0,7,3,0.0,0.0,375.0,2,-1.1,23,7
2,6,200,0,44,2,7.200000000000027,72.00000000000027,9660.0,0,1.0,26,44
3,6,200,1,38,26,3.600000000000013,42.00000000000012,7926.0,3,0.9,36,39
0,7,92,0,14,13,0.0,0.0,900.0,4,-1.1,23,14
1,7,9,0,0,1,0.0,0.0,42.0,2,-1.1,6,0
2,7,200,0,41,0,5.400000000000025,54.00000000000025,8622.0,0,1.0,25,41
3,7,200,0,42,9,6.000000000000019,60.000000000000185,8172.0,0,1.0,23,42
0,8,200,2,46,23,8.400000000000016,96.00000000000016,7578.0,0,1.0,37,48
1,8,9,0,0,1,0.0,0.0,42.0,0,-1.0,5,0
2,8,200,0,45,3,7.800000000000033,78.00000000000033,11436.0,0,1.0,32,45
3,8,200,0,35,23,1.7999999999999905,17.999999999999904,6054.0,1,0.9,31,35
0,9,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,6,1
1,9,200,0,39,0,4.199999999999991,41.99999999999991,6438.0,1,1.8,21,39
2,9,15,0,1,0,0.0,0.0,87.0,0,-1.0,7,1
3,9,200,1,35,8,1.7999999999999925,23.99999999999992,5586.0,1,1.8,29,36
0,10,45,0,6,3,0.0,0.0,264.0,1,-1.1,17,6
1,10,27,0,3,0,0.0,0.0,141.0,0,-1.0,8,3
2,10,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
3,10,200,1,43,1,6.600000000000019,72.00000000000018,8496.0,0,1.0,18,44
0,11,51,0,7,1,0.0,0.0,303.0,2,-1.1,16,7
1,11,200,0,37,0,2.9999999999999885,29.999999999999883,4080.0,0,1.0,22,37
2,11,200,1,48,0,9.600000000000035,102.00000000000034,11634.0,0,1.8,21,49
3,11,33,0,4,1,0.0,0.0,156.0,0,-1.0,7,4
0,12,9,0,0,0,0.0,0.0,36.0,1,-1.1,5,0
1,12,200,0,40,0,4.800000000000006,48.00000000000006,5802.0,1,0.9,29,40
2,12,38,1,5,0,0.0,5.99999999999998,465.0,0,-0.1999999999999999,15,6
3,12,200,3,35,5,1.799999999999995,35.99999999999994,4506.0,0,1.0,35,38
0,13,200,3,44,5,7.200000000000011,90.0000000000001,8376.0,0,1.0,28,47
1,13,51,0,7,4,0.0,0.0,321.0,3,-1.1,20,7
2,13,200,4,41,3,5.400000000000041,78.00000000000041,9996.0,0,1.8,29,45
3,13,21,0,2,4,0.0,0.0,156.0,0,-1.0,10,2
0,14,117,2,18,6,0.0,11.000000000000018,953.0,0,-0.1999999999999999,36,20
1,14,117,0,18,4,0.0,0.0,690.0,2,-1.1,35,18
2,14,200,0,44,0,7.200000000000024,72.00000000000024,8310.0,0,1.0,30,44
3,14,200,0,38,8,3.599999999999996,35.99999999999996,2610.0,0,1.0,33,38
0,15,200,2,35,33,1.7999999999999927,29.99999999999993,3240.0,0,1.0,44,37
1,15,45,0,6,1,0.0,0.0,300.0,2,-1.1,25,6
2,15,200,1,38,4,3.5999999999999868,41.999999999999865,5526.0,1,1.8,38,39
3,15,200,0,42,25,6.000000000000021,60.00000000000021,7296.0,0,1.0,36,42
0,16,200,1,39,22,4.199999999999999,47.99999999999999,5946.0,0,1.0,40,40
1,16,39,0,5,2,0.0,0.0,219.0,3,-1.1,25,5
2,16,200,1,43,0,6.600000000000042,72.00000000000041,10524.0,0,1.8,31,44
3,16,200,0,38,25,3.599999999999989,35.99999999999989,5670.0,0,1.0,28,38
0,17,200,2,43,3,6.600000000000022,78.00000000000021,9696.0,1,1.8,29,45
1,17,45,0,6,2,0.0,0.0,300.0,2,-1.1,17,6
2,17,200,3,42,3,6.000000000000045,78.00000000000044,10074.0,0,1.8,22,45
3,17,15,0,1,2,0.0,0.0,69.0,4,-1.1,7,1
0,18,27,0,3,0,0.0,0.0,177.0,0,-1.0,14,3
1,18,21,1,2,1,0.0,5.000000000000003,131.0,0,-0.1999999999999999,11,3
2,18,170,0,27,0,0.0,0.0,2985.0,0,-1.0,26,27
3,18,200,1,36,1,2.3999999999999906,29.999999999999904,3006.0,0,1.8,29,37
0,19,200,1,37,20,2.9999999999999942,35.99999999999994,3420.0,0,1.0,45,38
1,19,33,1,4,2,0.0,5.000000000000002,239.0,0,-0.1999999999999999,16,5
2,19,200,1,37,3,3.000000000000015,36.00000000000015,7758.0,0,1.0,33,38
3,19,200,0,40,15,4.800000000000005,48.00000000000005,5118.0,0,1.0,35,40
0,20,21,0,2,3,0.0,0.0,156.0,0,-1.0,11,2
1,20,15,0,1,1,0.0,0.0,81.0,1,-1.1,10,1
2,20,200,0,36,0,2.399999999999986,23.99999999999986,3600.0,0,1.0,17,36
3,20,200,0,35,2,1.799999999999994,17.99999999999994,2250.0,0,1.0,20,35
0,21,62,0,9,10,0.0,0.0,711.0,1,-1.1,17,9
1,21,27,1,3,3,0.0,5.000000000000003,176.0,2,-1.1,10,4
2,21,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
3,21,200,1,49,3,10.200000000000042,108.0000000000004,12858.0,0,1.0,20,50
0,22,21,5,2,0,0.0,29.000000000000004,359.0,0,-1.0,8,7
1,22,15,0,1,1,0.0,0.0,87.0,4,-1.1,6,1
2,22,15,0,1,0,0.0,0.0,63.0,0,-1.0,9,1
3,22,21,0,2,0,0.0,0.0,114.0,1,-1.1,10,2
0,23,200,2,36,28,2.3999999999999955,35.99999999999995,2520.0,0,1.0,48,38
1,23,57,0,8,2,0.0,0.0,360.0,2,-1.1,25,8
2,23,200,1,38,2,3.5999999999999863,41.99999999999986,5880.0,0,1.0,39,39
3,23,200,0,43,24,6.600000000000014,66.00000000000013,6522.0,1,1.8,46,43
0,24,200,0,34,34,1.1999999999999955,11.999999999999956,2208.0,4,1.2333333333333334,22,34
1,24,21,1,2,1,0.0,5.000000000000002,137.0,0,-0.1999999999999999,7,3
2,24,200,2,36,3,2.3999999999999857,35.99999999999985,5472.0,0,1.8,28,38
3,24,200,0,41,27,5.400000000000022,54.00000000000021,7908.0,0,1.0,25,41
0,25,33,0,4,1,0.0,0.0,198.0,3,-1.1,13,4
1,25,200,1,36,0,2.3999999999999906,29.999999999999904,3966.0,0,1.8,27,37
2,25,200,0,45,0,7.80000000000002,78.0000000000002,9594.0,0,1.0,24,45
3,25,51,0,7,1,0.0,0.0,345.0,0,-1.0,16,7
0,26,15,0,1,0,0.0,0.0,75.0,4,-1.1,7,1
1,26,200,1,36,0,2.3999999999999857,29.999999999999854,5064.0,0,1.8,24,37
2,26,200,0,47,0,9.000000000000021,90.00000000000021,9522.0,1,1.8,16,47
3,26,27,0,3,1,0.0,0.0,123.0,4,-1.1,10,3
0,27,104,12,16,0,0.0,71.99999999999993,4440.0,0,-1.0,26,28
1,27,51,0,7,4,0.0,0.0,357.0,3,-1.1,21,7
2,27,21,0,2,0,0.0,0.0,108.0,2,-1.1,8,2
3,27,15,0,1,0,0.0,0.0,63.0,4,-1.1,7,1
0,28,200,1,34,28,1.1999999999999966,17.999999999999964,1932.0,0,1.8,30,35
1,28,33,0,4,2,0.0,0.0,222.0,0,-1.0,20,4
2,28,200,0,35,0,1.799999999999986,17.999999999999858,4710.0,0,1.0,35,35
3,28,200,1,40,26,4.799999999999996,53.99999999999996,6300.0,0,1.8,28,41
0,29,21,0,2,0,0.0,0.0,90.0,3,-1.1,11,2
1,29,27,1,3,0,0.0,5.000000000000003,176.0,0,-0.1999999999999999,10,4
2,29,200,0,42,0,6.000000000000008,60.00000000000008,6378.0,0,1.0,12,42
3,29,9,1,0,1,0.0,5.000000000000001,47.0,0,-0.1999999999999999,4,1
0,30,9,0,0,1,0.0,0.0,42.0,4,-1.1,5,0
1,30,200,0,37,0,2.999999999999986,29.999999999999854,4350.0,2,0.9,32,37
2,30,21,1,2,0,0.0,5.000000000000001,149.0,0,-0.1999999999999999,10,3
3,30,92,7,14,1,0.0,41.99999999999999,1740.0,3,-1.1,27,21
0,31,200,3,34,28,1.199999999999994,29.999999999999936,2568.0,0,1.0,27,37
1,31,39,0,5,1,0.0,0.0,201.0,0,-1.0,11,5
2,31,200,1,38,3,3.599999999999985,41.99999999999985,5430.0,0,1.0,35,39
3,31,200,1,42,20,6.000000000000002,66.00000000000001,5892.0,0,1.8,29,43
0,32,200,0,33,31,0.5999999999999949,5.9999999999999485,2310.0,0,1.0,35,33
1,32,21,0,2,1,0.0,0.0,138.0,2,-1.1,12,2
2,32,200,0,36,2,2.3999999999999857,23.99999999999985,5274.0,0,1.0,33,36
3,32,200,0,40,21,4.800000000000006,48.00000000000006,5964.0,0,1.0,30,40
0,33,57,0,8,4,0.0,0.0,378.0,1,-1.1,25,8
1,33,21,1,2,1,0.0,5.000000000000002,125.0,0,-0.1999999999999999,13,3
