day,baseline,utilitarian,maximin,egalitarian,average,majoritarian,veto,optimist
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.31,0.20700000000000002,0.30500000000000005,0.265,0.313,0.22799999999999998,0.256,0.282
3.0,1.175,0.9709999999999999,1.161,1.089,1.175,0.986,1.041,1.181
4.0,1.6070000000000002,1.626,1.6480000000000001,1.7909999999999997,1.653,1.529,1.593,1.7839999999999998
5.0,2.048,2.238,2.17,2.495,2.442,2.194,2.319,2.354
6.0,2.6510000000000002,3.152,2.8,3.4730000000000003,3.541,2.9379999999999997,3.012,2.912
7.0,3.583,3.968,3.635,4.228,4.271,3.823,3.93,3.6710000000000003
8.0,4.585,4.739,4.689,5.045,5.03,4.586,4.6850000000000005,4.555
9.0,5.298,5.526,5.412999999999999,5.723999999999999,5.8389999999999995,5.343,5.416,5.311
10.0,6.315641813357822,6.452423657959204,6.329879296076792,6.737002412777419,6.646621499516733,6.414974110517997,6.438091988253791,6.624871964844379
11.0,6.941848127237065,7.159151886754456,6.945395801029015,7.47240863013508,7.42407354293969,7.068008946337691,7.0922431862384965,7.346255032719261
12.0,7.729480232711905,7.9814042554272575,7.742850605520017,8.271800229910411,8.44177226848921,7.799968345715039,7.833488370050432,8.120683956326905
13.0,8.572081379723867,8.752535445332754,8.66117658204163,9.06670910886376,9.193717405675391,8.587143623279859,8.70453764904026,8.937758553020076
14.0,9.416914816653602,9.552016065994621,9.484584118486357,9.882965479763495,9.877070617684677,9.312576284423638,9.456308730510214,9.711979559463261
15.0,10.169036431272295,10.290466188791477,10.242950461606881,10.623217901517366,10.587682274633528,9.971002987351266,10.197436247608021,10.425801061887524
16.0,11.324728977974111,11.422011595517125,11.315684212080246,11.775187282624728,11.550990214667136,11.290139634987794,11.343513019313049,11.726486689122599
17.0,12.007130477434936,12.14054916209399,11.982735364741014,12.503796177508411,12.293926616296137,11.974648600511976,12.015080656548909,12.472545424317905
18.0,12.786220894118685,12.958079079400616,12.847236246369064,13.257280308142853,13.189648686102682,12.697082545108984,12.790068795178431,13.224200287490046
19.0,13.609917699262873,13.763662878474722,13.667381861457198,14.056812802578445,13.98459407314916,13.451640847067443,13.63743114387575,14.023448843633327
20.0,14.390789865546449,14.504305500075052,14.512804221778797,14.880372843793051,14.686004162467684,14.172102873846296,14.43533300273628,14.845688255759146
21.0,15.205359139787813,15.29574804199877,15.241117436455571,15.611585754292957,15.418772597542379,14.831795992881093,15.182820558886709,15.618847852629534
22.0,16.42736163556676,16.447048746756007,16.342631147572824,16.819058705018634,16.420552540698118,16.131078181572175,16.278838851203574,16.787461398278687
23.0,17.14698351074105,17.21013755839255,17.131019601404216,17.58168569423055,17.142041861717544,16.81626120134131,17.008396304308334,17.51065222706915
24.0,17.908694491305507,17.970931974958603,17.97355165698331,18.37624453101427,18.018134742375292,17.53933778208144,17.805233662297375,18.300363159006977
25.0,18.667001256931137,18.756229185632016,18.798521172613846,19.236700261864737,18.781033183065276,18.2896366176473,18.62237141194847,19.099110343687865
26.0,19.41323989117294,19.49420315190804,19.51908797428935,19.96163753874579,19.47104618069881,18.998700709615264,19.43105944135105,19.933944205850988
27.0,20.18789911485034,20.301163433777724,20.306608176621367,20.781237424810936,20.25506547403566,19.644278871705353,20.238262007172427,20.716739789066473
28.0,21.32406960064577,21.444625981185094,21.434920692301677,21.854796575439263,21.201308701457222,21.020249427151132,21.25399859114333,21.760797929736363
29.0,22.020811178144683,22.220239241304235,22.187094447184165,22.63725146794834,21.90247492727092,21.730736489060156,21.99117840366776,22.45706120829047
30.0,22.78274603519786,22.97595289861857,22.977115356828733,23.470314832713925,22.79200427043215,22.42407060627035,22.797352138488986,23.291479146620972
31.0,23.604106487817692,23.75196427419614,23.77406702271814,24.24659268291257,23.56454268542125,23.151673173306076,23.542069041949407,24.074209350298972
