,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,num_norms,count
0,1.0,0.0,0.1091091091091091,0.0,0.0,0.7000000000000001,7.654654654654655,15.654654654654655,1.0,999
1,1.0,1.0,0.0960960960960961,0.0,0.0,0.7000000000000001,7.576576576576577,15.576576576576576,1.0,999
2,1.0,2.0,0.057057057057057055,0.0,0.0,0.7000000000000001,7.342342342342342,15.342342342342342,1.0,999
3,1.0,3.0,0.06006006006006006,0.0,0.0,0.7000000000000001,7.36036036036036,15.36036036036036,1.0,999
4,2.0,0.0,0.28,0.124,0.008,0.6745000000000001,8.425,23.976,1.448,1000
5,2.0,1.0,0.304,0.114,0.035,0.6685000000000001,8.509000000000002,23.922,1.454,1000
6,2.0,2.0,0.179,0.07,0.01,0.6421000000000001,7.495000000000001,22.746,1.629,1000
7,2.0,3.0,0.178,0.009,0.06,0.6055000000000001,7.123000000000001,22.464,1.591,1000
8,3.0,0.0,0.291,0.497,0.022,0.7983000000000001,9.729,33.333,2.17,1000
9,3.0,1.0,0.288,0.457,0.124,0.7743000000000001,9.471,32.991,2.163,1000
10,3.0,2.0,0.272,0.235,0.054,0.6411000000000001,8.043,30.609,2.319,1000
11,3.0,3.0,0.253,0.031,0.234,0.5187000000000002,6.705000000000001,29.169,2.278,1000
12,4.0,0.0,0.203,0.775,0.022,0.8651,9.869,43.202,3.081,1000
13,4.0,1.0,0.208,0.72,0.137,0.8321000000000001,9.569,42.56,3.056,1000
14,4.0,2.0,0.333,0.404,0.054,0.6425,8.423,38.978,3.268,1000
15,4.0,3.0,0.452,0.052,0.234,0.43130000000000007,7.025,36.194,3.275,1000
16,5.0,0.0,0.205,0.972,0.022,0.8833000000000001,10.063,53.259,3.622,1000
17,5.0,1.0,0.19,0.913,0.152,0.8479,9.619,52.173,3.648,1000
18,5.0,2.0,0.371,0.544,0.059,0.6265,8.491,47.457,3.908,1000
19,5.0,3.0,0.465,0.217,0.236,0.43030000000000007,7.093000000000001,43.281,3.986,1000
20,6.0,0.0,0.233,1.181,0.022,0.9087000000000001,10.485,63.702,3.929,1000
21,6.0,1.0,0.221,1.091,0.169,0.8547,9.873,62.022,3.955,1000
22,6.0,2.0,0.396,0.686,0.06,0.6117,8.493,55.926,4.459,1000
23,6.0,3.0,0.213,0.615,0.246,0.5691000000000002,6.969000000000001,50.238,4.656,1000
24,7.0,0.0,0.249,1.427,0.025,0.9562999999999999,11.057,74.681,4.257,1000
25,7.0,1.0,0.184,1.294,0.198,0.8765,9.869,71.849,4.289,1000
26,7.0,2.0,0.342,0.887,0.07,0.6323000000000001,8.375,64.259,4.879,1000
27,7.0,3.0,0.161,0.787,0.259,0.5723000000000001,6.689000000000001,56.909,5.1,1000
28,8.0,0.0,0.207,1.71,0.029,1.0261,11.502999999999998,86.094,4.608,1000
29,8.0,1.0,0.182,1.491,0.228,0.8946999999999999,10.039,81.75,4.615,1000
30,8.0,2.0,0.197,1.166,0.098,0.6997000000000001,8.179,72.396,5.375,1000
31,8.0,3.0,0.193,0.881,0.31,0.5287000000000002,6.445000000000002,63.348,5.517,1000
32,9.0,0.0,0.221,1.974,0.035,1.0857999999999999,12.180999999999997,98.065,5.128,1000
33,9.0,1.0,0.221,1.712,0.254,0.9362999999999999,10.674999999999999,92.25,5.064,1000
34,9.0,2.0,0.245,1.292,0.124,0.6848000000000001,8.271,80.619,5.903,1000
35,9.0,3.0,0.258,0.949,0.41,0.47680000000000017,6.290000000000001,69.632,6.028,1000
36,10.0,0.0,0.22796352583586627,2.2117527862208712,0.0364741641337386,1.1271529888551164,12.63931104356636,111.47619047619048,5.756838905775076,987
37,10.0,1.0,0.22527472527472528,2.078021978021978,0.26153846153846155,1.0469230769230768,11.82087912087912,109.32087912087913,5.664835164835165,910
38,10.0,2.0,0.2839779005524862,1.5756906077348067,0.11933701657458563,0.7455248618784531,9.159116022099447,93.63867403314917,6.688397790055249,905
39,10.0,3.0,0.418554476806904,1.0593311758360302,0.41316073354908306,0.4357065803667747,6.86839266450917,78.82740021574973,6.859762675296656,927
40,11.0,0.0,0.25227963525835867,2.4285714285714284,0.0364741641337386,1.1572441742654507,13.086119554204659,124.53799392097264,6.156028368794326,987
41,11.0,1.0,0.22197802197802197,2.2846153846153845,0.2813186813186813,1.0708791208791208,12.040659340659339,121.34175824175824,6.127472527472528,910
42,11.0,2.0,0.3027624309392265,1.7480662983425415,0.12486187845303867,0.748950276243094,9.306077348066298,102.93149171270719,7.16353591160221,905
43,11.0,3.0,0.38295577130528585,1.2545846817691477,0.418554476806904,0.4528586839266453,6.826321467098168,85.6537216828479,7.368932038834951,927
44,12.0,0.0,0.2684903748733536,2.667679837892604,0.037487335359675786,1.200709219858156,13.61803444782168,138.1256332320162,6.452887537993921,987
45,12.0,1.0,0.17692307692307693,2.478021978021978,0.3076923076923077,1.0869230769230769,11.93076923076923,133.25934065934067,6.423076923076923,910
46,12.0,2.0,0.3281767955801105,1.9104972375690608,0.1281767955801105,0.7464088397790055,9.433149171270719,112.32486187845304,7.504972375690608,905
47,12.0,3.0,0.2740021574973031,1.5361380798274002,0.42179072276159657,0.5217907227615968,6.8619201725997865,92.50269687162891,7.760517799352751,927
48,13.0,0.0,0.23606889564336372,2.9290780141843973,0.03850050658561297,1.257548125633232,13.991894630192501,152.03242147922998,6.685916919959473,987
49,13.0,1.0,0.20659340659340658,2.654945054945055,0.3230769230769231,1.0930769230769228,12.170329670329668,145.36373626373626,6.6208791208791204,910
50,13.0,2.0,0.28950276243093925,2.116022099447514,0.13701657458563535,0.7697237569060774,9.43425414364641,121.71933701657458,7.792265193370166,905
51,13.0,3.0,0.25674217907227614,1.7011866235167206,0.45091693635382957,0.520819848975189,6.748651564185547,99.24487594390507,8.052858683926646,927
52,14.0,0.0,0.23910840932117527,3.1742654508611956,0.04154002026342452,1.3046605876393107,14.481256332320159,166.4224924012158,6.912867274569402,987
