agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
0,1,200,2,49,0,10.30000000000003,115.00000000000028,11664.0,0,1.8,13,51
1,1,22,0,2,0,0.0,0.0,108.0,0,-1.0,11,2
2,1,22,1,2,0,0.0,5.000000000000002,143.0,0,-1.0,11,3
3,1,16,0,1,0,0.0,0.0,81.0,0,-1.0,7,1
0,2,200,0,50,0,10.800000000000027,108.00000000000028,11022.0,0,1.0,21,50
1,2,200,0,52,1,12.00000000000002,120.0000000000002,10086.0,1,1.8,21,52
2,2,140,0,22,0,0.0,0.0,2256.0,0,-1.0,28,22
3,2,15,0,1,0,0.0,0.0,87.0,0,-1.0,9,1
0,3,158,0,25,4,0.0,0.0,2595.0,4,-1.1,32,25
1,3,200,1,41,28,5.400000000000024,60.00000000000024,8628.0,4,1.5,34,42
2,3,21,0,2,0,0.0,0.0,102.0,0,-1.0,8,2
3,3,200,3,43,24,6.599999999999995,83.99999999999994,5880.0,0,1.0,40,46
0,4,200,0,45,0,7.800000000000011,78.00000000000011,7638.0,0,1.0,22,45
1,4,200,1,41,0,5.399999999999992,59.99999999999992,5562.0,0,1.8,23,42
2,4,200,0,33,0,0.5999999999999927,5.999999999999926,2316.0,1,0.9,24,33
3,4,27,0,3,1,0.0,0.0,153.0,4,-1.1,13,3
0,5,200,2,52,0,12.000000000000028,132.00000000000026,12936.0,0,1.8,16,54
1,5,32,0,4,0,0.0,0.0,288.0,1,-1.1,13,4
2,5,15,1,1,0,0.0,5.000000000000001,74.0,0,-1.0,10,2
3,5,15,0,1,0,0.0,0.0,87.0,4,-1.1,8,1
0,6,200,1,48,0,9.600000000000035,102.00000000000036,13338.0,0,1.8,19,49
1,6,200,0,44,4,7.200000000000042,72.00000000000041,11508.0,0,1.0,20,44
2,6,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
3,6,117,0,18,4,0.0,0.0,1272.0,0,-1.0,23,18
0,7,200,0,46,0,8.40000000000003,84.0000000000003,11328.0,1,1.8,22,46
1,7,200,0,52,0,12.000000000000036,120.00000000000036,14496.0,0,1.0,21,52
2,7,122,1,19,0,0.0,5.999999999999964,1353.0,0,-0.1999999999999999,22,20
3,7,33,0,4,1,0.0,0.0,192.0,4,-1.1,14,4
0,8,200,0,48,0,9.600000000000016,96.00000000000016,9372.0,0,1.0,23,48
1,8,200,0,49,9,10.200000000000031,102.00000000000033,10380.0,0,1.0,25,49
2,8,27,0,3,0,0.0,0.0,183.0,0,-1.0,9,3
3,8,182,1,29,13,0.0,5.99999999999998,2223.0,0,-1.0,32,30
0,9,200,1,44,0,7.200000000000037,78.00000000000036,8862.0,0,1.8,13,45
1,9,200,1,48,0,9.60000000000004,102.00000000000038,11640.0,0,1.8,17,49
2,9,39,1,5,0,0.0,5.000000000000004,212.0,0,-0.1999999999999999,17,6
3,9,27,0,3,1,0.0,0.0,165.0,4,-1.1,12,3
0,10,200,0,42,0,6.000000000000019,60.000000000000185,7044.0,0,1.0,25,42
1,10,200,0,44,0,7.200000000000021,72.0000000000002,9168.0,0,1.0,20,44
2,10,200,0,38,0,3.599999999999989,35.99999999999989,3984.0,1,1.8,23,38
3,10,15,0,1,0,0.0,0.0,63.0,4,-1.1,8,1
