episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,846.0,17802.0,7408.5,29634.0,0.44538368090706626,10,56,37.5,150,0.23666666666666658,69,200,167.25,669,0.14686098654708513
2,75.0,5394.0,1424.75,5699.0,0.7020091244077908,1,40,11.5,46,0.6413043478260869,15,200,62.75,251,0.5587649402390438
3,108.0,8478.0,3768.0,15072.0,0.5203025477707006,2,47,23.75,95,0.46578947368421053,21,200,110.5,442,0.40497737556561086
4,143.0,5586.0,2792.0,11168.0,0.47479405444126077,3,41,22.5,90,0.40555555555555556,21,200,118.0,472,0.3633474576271186
5,131.0,8634.0,4292.75,17171.0,0.38161726166210475,3,47,30.5,122,0.2704918032786885,21,200,155.25,621,0.21618357487922713
6,108.0,11118.0,4603.5,18414.0,0.5269631801889867,2,51,26.5,106,0.410377358490566,21,200,125.25,501,0.32784431137724546
7,75.0,10998.0,2904.75,11619.0,0.7066227730441518,1,50,15.25,61,0.6024590163934426,15,200,73.0,292,0.476027397260274
8,69.0,13428.0,5354.25,21417.0,0.4679576971564645,1,54,32.25,129,0.31589147286821706,15,200,153.75,615,0.22560975609756095
9,77.0,9432.0,3975.25,15901.0,0.5388497578768631,1,49,23.5,94,0.4893617021276596,9,200,106.0,424,0.44693396226415094
10,251.0,4062.0,1270.75,5083.0,0.5724473735982687,6,36,14.25,57,0.4078947368421053,33,200,82.25,329,0.38525835866261393
11,207.0,14988.0,6009.75,24039.0,0.46178085610882313,3,55,34.0,136,0.2904411764705882,27,200,156.75,627,0.2069377990430623
12,53.0,10074.0,2614.75,10459.0,0.7205516779806865,1,49,14.5,58,0.6293103448275862,9,200,67.25,269,0.5492565055762082
13,36.0,7686.0,3046.5,12186.0,0.560930576070901,0,41,20.25,81,0.5030864197530864,9,200,104.5,418,0.4569377990430622
14,42.0,7944.0,4819.5,19278.0,0.31255835667600373,0,50,30.75,123,0.30691056910569103,9,200,152.25,609,0.2352216748768472
15,93.0,10938.0,5388.75,21555.0,0.38987473903966596,1,51,31.5,126,0.29761904761904767,15,200,153.75,615,0.22560975609756095
16,318.0,15384.0,5781.0,23124.0,0.4928645563051375,8,54,34.5,138,0.26086956521739135,57,200,164.25,657,0.16324200913242004
17,114.0,5442.0,1469.0,5876.0,0.6809904697072838,2,40,12.25,49,0.5867346938775511,21,200,67.25,269,0.5046468401486989
18,1224.0,14484.0,5616.0,22464.0,0.4464476495726496,12,54,34.75,139,0.22841726618705027,80,200,170.0,680,0.13235294117647056
19,336.0,11820.0,3848.25,15393.0,0.5985675306957708,6,45,23.25,93,0.3897849462365591,45,200,124.0,496,0.3094758064516129
20,342.0,17166.0,6111.0,24444.0,0.5781786941580757,6,53,26.5,106,0.41509433962264153,44,200,122.25,489,0.31850715746421265
21,144.0,12546.0,3633.0,14532.0,0.6639141205615194,2,52,19.0,76,0.5394736842105263,21,200,92.5,370,0.41891891891891897
22,206.0,7764.0,3497.0,13988.0,0.5046468401486989,4,47,24.25,97,0.43041237113402064,27,200,115.0,460,0.37282608695652175
23,57.0,8460.0,4082.25,16329.0,0.473773654234797,1,52,25.75,103,0.4247572815533981,15,200,126.75,507,0.32692307692307687
24,71.0,7242.0,3597.5,14390.0,0.4936761640027797,1,43,20.5,82,0.4878048780487805,9,200,106.0,424,0.44693396226415094
25,63.0,4488.0,1178.75,4715.0,0.7046129374337221,1,38,10.5,42,0.6666666666666666,9,200,59.75,239,0.5993723849372385
26,59.0,12420.0,3391.0,13564.0,0.7002727808905927,1,51,17.0,68,0.6029411764705882,9,200,74.75,299,0.5292642140468228
27,131.0,9786.0,2577.5,10310.0,0.7035887487875848,3,49,14.75,59,0.5889830508474576,21,200,70.25,281,0.48309608540925264
28,36.0,11178.0,2903.25,11613.0,0.7237793851717902,0,51,14.5,58,0.6724137931034483,9,200,67.0,268,0.5503731343283582
29,36.0,12036.0,4821.0,19284.0,0.470130678282514,0,53,31.25,125,0.32199999999999995,9,200,152.25,609,0.2352216748768472
30,47.0,9186.0,4114.0,16456.0,0.5224538162372387,1,50,23.5,94,0.4893617021276596,9,200,107.5,430,0.4372093023255814
31,81.0,6588.0,2733.0,10932.0,0.507821075740944,1,48,24.75,99,0.41161616161616166,15,200,125.25,501,0.3338323353293413
32,92.0,10176.0,4090.75,16363.0,0.55150339179857,2,48,23.5,94,0.46808510638297873,15,200,109.0,436,0.42087155963302747
33,96.0,11226.0,2980.5,11922.0,0.7050830397584298,2,51,15.25,61,0.610655737704918,21,200,71.5,286,0.47902097902097907
34,354.0,5334.0,3015.75,12063.0,0.38939318577468296,8,42,27.5,110,0.2772727272727272,57,200,144.75,579,0.21891191709844549
35,65.0,164.0,106.0,424.0,0.1875,1,4,2.0,8,0.3125,9,27,18.0,72,0.20833333333333326
36,108.0,7236.0,2913.75,11655.0,0.540990990990991,2,45,22.5,90,0.44999999999999996,21,200,115.0,460,0.3793478260869565
37,53.0,6504.0,3479.75,13919.0,0.43564552051153105,1,42,26.0,104,0.34615384615384615,9,200,131.25,525,0.31285714285714283
38,36.0,13104.0,3531.75,14127.0,0.7092270121044808,0,52,16.5,66,0.6363636363636364,9,200,73.0,292,0.535958904109589
39,165.0,10464.0,4526.25,18105.0,0.42663628831814415,3,47,31.0,124,0.2701612903225806,27,200,156.75,627,0.2069377990430623
40,95.0,17850.0,6833.0,27332.0,0.5030916142250842,3,56,33.0,132,0.321969696969697,21,200,153.75,615,0.22073170731707314
41,303.0,3732.0,1202.0,4808.0,0.5383735440931781,7,36,15.0,60,0.3666666666666667,51,200,91.25,365,0.3061643835616439
42,59.0,10350.0,4190.75,16763.0,0.4797619757799917,1,49,26.5,106,0.3443396226415094,9,200,140.25,561,0.26069518716577544
43,81.0,11700.0,4709.25,18837.0,0.46691352126134733,1,53,31.25,125,0.31399999999999995,15,200,153.75,615,0.22560975609756095
44,71.0,12024.0,3098.75,12395.0,0.7262807583703106,1,53,15.0,60,0.6666666666666666,9,200,65.75,263,0.5674904942965779
45,90.0,7458.0,4224.0,16896.0,0.36434659090909094,2,44,29.75,119,0.27521008403361347,21,200,155.25,621,0.21618357487922713
46,36.0,9876.0,4471.5,17886.0,0.433160013418316,0,50,30.25,121,0.3119834710743802,9,200,152.25,609,0.2352216748768472
47,294.0,9246.0,4041.5,16166.0,0.5065879005319807,6,45,26.0,104,0.3701923076923077,45,200,124.0,496,0.3094758064516129
48,312.0,8334.0,4821.0,19284.0,0.3865899191039204,4,46,31.0,124,0.29032258064516125,33,200,149.25,597,0.22487437185929648
49,216.0,10722.0,4465.5,17862.0,0.4449949613705072,4,51,31.25,125,0.28200000000000003,33,200,158.25,633,0.19786729857819907
50,42.0,7848.0,3435.5,13742.0,0.5092781254548101,0,39,22.0,88,0.4147727272727273,9,200,118.0,472,0.37605932203389836
51,36.0,12474.0,3177.75,12711.0,0.7344229407599717,0,52,13.75,55,0.7136363636363636,9,200,61.25,245,0.5908163265306122
52,221.0,7644.0,3004.25,12017.0,0.5154572688691021,5,46,26.0,104,0.35096153846153844,33,200,131.25,525,0.29000000000000004
53,108.0,7254.0,3014.0,12056.0,0.5111977438619775,2,44,24.5,98,0.38265306122448983,21,200,127.0,508,0.3198818897637795
54,264.0,13986.0,5443.5,21774.0,0.48408652521355744,6,52,33.25,133,0.2612781954887218,45,200,161.25,645,0.18023255813953498
55,108.0,16764.0,6600.0,26400.0,0.47863636363636364,2,54,33.75,135,0.2944444444444444,21,200,155.25,621,0.21618357487922713
56,42.0,14340.0,6991.5,27966.0,0.3863441321604806,0,55,33.5,134,0.31343283582089554,9,200,152.25,609,0.2352216748768472
57,126.0,2268.0,729.5,2918.0,0.5627141877998629,2,34,11.5,46,0.5217391304347826,21,200,73.0,292,0.464041095890411
58,209.0,9804.0,4139.0,16556.0,0.524673834259483,5,50,25.25,101,0.4232673267326733,33,200,118.0,472,0.350635593220339
59,330.0,10728.0,4435.25,17741.0,0.5229553012795221,4,45,24.5,98,0.3979591836734694,32,200,119.25,477,0.3453878406708596
60,41.0,4236.0,2473.25,9893.0,0.3525977964217123,1,35,26.0,104,0.2451923076923077,9,200,152.25,609,0.2352216748768472
61,42.0,11790.0,4679.0,18716.0,0.5599487069886728,0,51,23.5,94,0.5053191489361702,9,200,106.0,424,0.44693396226415094
62,189.0,8292.0,3288.75,13155.0,0.5428164196123147,3,47,22.75,91,0.45329670329670335,27,200,115.0,460,0.37282608695652175
63,36.0,11922.0,4333.5,17334.0,0.5907753547940464,0,46,21.75,87,0.514367816091954,9,200,104.5,418,0.4569377990430622
64,165.0,4578.0,3072.75,12291.0,0.29515499145716373,3,40,30.25,121,0.22933884297520657,27,200,156.75,627,0.2069377990430623
65,63.0,4290.0,2655.75,10623.0,0.32201355549279864,1,38,28.0,112,0.25,15,200,153.75,615,0.22560975609756095
66,36.0,8826.0,3393.0,13572.0,0.5711759504862953,0,48,21.0,84,0.5357142857142857,9,200,104.5,418,0.4569377990430622
67,77.0,4272.0,1165.0,4660.0,0.6774678111587983,1,38,11.25,45,0.6166666666666667,9,200,62.75,251,0.5826693227091634
68,104.0,7602.0,4742.0,18968.0,0.3052509489666807,2,48,31.0,124,0.282258064516129,15,200,153.75,615,0.22560975609756095
