      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline   0.1602    0.0  0.0812  0.2393   True
     average  egalitarian    0.075 0.0774  -0.004  0.1541  False
     average majoritarian  -0.0226 0.9888 -0.1017  0.0564  False
     average      maximin   0.2707    0.0  0.1916  0.3497   True
     average     optimist   0.1127 0.0004  0.0336  0.1917   True
     average  utilitarian   0.2497    0.0  0.1706  0.3287   True
     average         veto   0.3267    0.0  0.2476  0.4057   True
    baseline  egalitarian  -0.0852 0.0241 -0.1642 -0.0062   True
    baseline majoritarian  -0.1828    0.0 -0.2619 -0.1038   True
    baseline      maximin   0.1104 0.0006  0.0314  0.1895   True
    baseline     optimist  -0.0475 0.6046 -0.1266  0.0315  False
    baseline  utilitarian   0.0895  0.014  0.0104  0.1685   True
    baseline         veto   0.1664    0.0  0.0874  0.2455   True
 egalitarian majoritarian  -0.0977 0.0045 -0.1767 -0.0186   True
 egalitarian      maximin   0.1956    0.0  0.1166  0.2747   True
 egalitarian     optimist   0.0377 0.8363 -0.0414  0.1167  False
 egalitarian  utilitarian   0.1747    0.0  0.0956  0.2537   True
 egalitarian         veto   0.2516    0.0  0.1726  0.3307   True
majoritarian      maximin   0.2933    0.0  0.2143  0.3723   True
majoritarian     optimist   0.1353    0.0  0.0563  0.2144   True
majoritarian  utilitarian   0.2723    0.0  0.1933  0.3514   True
majoritarian         veto   0.3493    0.0  0.2703  0.4283   True
     maximin     optimist   -0.158    0.0  -0.237 -0.0789   True
     maximin  utilitarian   -0.021 0.9929    -0.1  0.0581  False
     maximin         veto    0.056 0.3842  -0.023   0.135  False
    optimist  utilitarian    0.137    0.0   0.058   0.216   True
    optimist         veto    0.214    0.0  0.1349   0.293   True
 utilitarian         veto    0.077 0.0628 -0.0021   0.156  False
----------------------------------------------------------------
