      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline    0.066    0.0  0.0487  0.0833   True
     average  egalitarian   -0.004 0.9972 -0.0213  0.0134  False
     average majoritarian   0.0473    0.0  0.0299  0.0646   True
     average      maximin   0.0054 0.9818 -0.0119  0.0227  False
     average     optimist   0.0115 0.4693 -0.0058  0.0289  False
     average  utilitarian   0.0107 0.5732 -0.0067   0.028  False
     average         veto   0.0012    1.0 -0.0161  0.0186  False
    baseline  egalitarian    -0.07    0.0 -0.0873 -0.0526   True
    baseline majoritarian  -0.0187 0.0235 -0.0361 -0.0014   True
    baseline      maximin  -0.0606    0.0 -0.0779 -0.0433   True
    baseline     optimist  -0.0545    0.0 -0.0718 -0.0371   True
    baseline  utilitarian  -0.0553    0.0 -0.0726  -0.038   True
    baseline         veto  -0.0647    0.0 -0.0821 -0.0474   True
 egalitarian majoritarian   0.0512    0.0  0.0339  0.0686   True
 egalitarian      maximin   0.0094 0.7274  -0.008  0.0267  False
 egalitarian     optimist   0.0155 0.1188 -0.0018  0.0328  False
 egalitarian  utilitarian   0.0146 0.1701 -0.0027   0.032  False
 egalitarian         veto   0.0052 0.9849 -0.0121  0.0225  False
majoritarian      maximin  -0.0419    0.0 -0.0592 -0.0245   True
majoritarian     optimist  -0.0357    0.0 -0.0531 -0.0184   True
majoritarian  utilitarian  -0.0366    0.0 -0.0539 -0.0193   True
majoritarian         veto   -0.046    0.0 -0.0633 -0.0287   True
     maximin     optimist   0.0061  0.962 -0.0112  0.0235  False
     maximin  utilitarian   0.0053 0.9838  -0.012  0.0226  False
     maximin         veto  -0.0041 0.9963 -0.0215  0.0132  False
    optimist  utilitarian  -0.0009    1.0 -0.0182  0.0165  False
    optimist         veto  -0.0103 0.6202 -0.0276   0.007  False
 utilitarian         veto  -0.0094   0.72 -0.0268  0.0079  False
----------------------------------------------------------------
