      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline  -2.3795    0.0 -3.4639 -1.2951   True
     average  egalitarian  -0.3745 0.9671 -1.4589  0.7099  False
     average majoritarian  -4.8747    0.0 -5.9591 -3.7904   True
     average      maximin   0.2185 0.9988 -0.8659  1.3029  False
     average     optimist  -2.1265    0.0 -3.2109 -1.0421   True
     average  utilitarian   -3.204    0.0 -4.2884 -2.1196   True
     average         veto   -0.736 0.4428 -1.8204  0.3484  False
    baseline  egalitarian    2.005    0.0  0.9206  3.0894   True
    baseline majoritarian  -2.4952    0.0 -3.5796 -1.4109   True
    baseline      maximin    2.598    0.0  1.5136  3.6824   True
    baseline     optimist    0.253 0.9968 -0.8314  1.3374  False
    baseline  utilitarian  -0.8245 0.2907 -1.9089  0.2599  False
    baseline         veto   1.6435 0.0001  0.5591  2.7279   True
 egalitarian majoritarian  -4.5003    0.0 -5.5846 -3.4159   True
 egalitarian      maximin    0.593 0.7146 -0.4914  1.6774  False
 egalitarian     optimist   -1.752    0.0 -2.8364 -0.6676   True
 egalitarian  utilitarian  -2.8295    0.0 -3.9139 -1.7451   True
 egalitarian         veto  -0.3615  0.973 -1.4459  0.7229  False
majoritarian      maximin   5.0933    0.0  4.0089  6.1776   True
majoritarian     optimist   2.7482    0.0  1.6639  3.8326   True
majoritarian  utilitarian   1.6707 0.0001  0.5864  2.7551   True
majoritarian         veto   4.1387    0.0  3.0544  5.2231   True
     maximin     optimist   -2.345    0.0 -3.4294 -1.2606   True
     maximin  utilitarian  -3.4225    0.0 -4.5069 -2.3381   True
     maximin         veto  -0.9545 0.1324 -2.0389  0.1299  False
    optimist  utilitarian  -1.0775 0.0529 -2.1619  0.0069  False
    optimist         veto   1.3905 0.0026  0.3061  2.4749   True
 utilitarian         veto    2.468    0.0  1.3836  3.5524   True
----------------------------------------------------------------
