agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
0,1,200,1,48,3,9.700000000000031,103.0000000000003,11148.0,0,1.8,15,49
1,1,10,0,0,0,0.0,0.0,36.0,3,-1.1,5,0
2,1,200,1,41,0,5.500000000000003,61.00000000000002,4974.0,0,1.0,19,42
3,1,10,0,0,0,0.0,0.0,36.0,2,-1.1,4,0
0,2,200,0,36,15,2.399999999999992,23.99999999999992,3282.0,2,1.1,44,36
1,2,200,0,59,0,16.20000000000003,162.0000000000003,14040.0,0,1.0,37,59
2,2,200,2,33,12,0.5999999999999907,17.999999999999904,3546.0,0,1.8,43,35
3,2,92,0,14,9,0.0,0.0,1422.0,4,-1.1,27,14
0,3,99,0,15,6,0.0,0.0,813.0,2,-1.1,23,15
1,3,200,2,49,0,10.20000000000004,114.00000000000038,12018.0,0,1.8,29,51
2,3,200,2,38,8,3.599999999999986,47.99999999999985,5088.0,0,1.0,35,40
3,3,104,1,16,6,0.0,5.999999999999966,1332.0,4,-1.1,28,17
0,4,27,0,3,1,0.0,0.0,165.0,2,-1.1,13,3
1,4,200,1,46,0,8.400000000000018,90.00000000000017,9354.0,1,1.8,24,47
2,4,200,3,37,5,2.99999999999999,47.9999999999999,4842.0,0,1.0,32,40
3,4,80,0,12,5,0.0,0.0,960.0,4,-1.1,21,12
0,5,200,1,42,3,6.000000000000016,66.00000000000016,6348.0,1,1.8,36,43
1,5,200,0,49,0,10.20000000000002,102.0000000000002,10134.0,1,1.8,30,49
2,5,56,1,8,3,0.0,5.999999999999998,594.0,0,-1.0,25,9
3,5,57,0,8,0,0.0,0.0,384.0,2,-1.1,23,8
0,6,200,8,41,2,5.400000000000008,102.00000000000009,11142.0,0,1.0,25,49
1,6,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
2,6,9,1,0,0,0.0,5.000000000000001,53.0,0,-1.0,6,1
3,6,200,3,40,0,4.800000000000006,66.00000000000006,6102.0,0,1.0,19,43
0,7,200,0,35,6,1.7999999999999887,17.999999999999886,3234.0,0,1.0,34,35
1,7,200,1,48,0,9.600000000000042,102.0000000000004,12270.0,0,1.8,26,49
2,7,200,2,36,7,2.399999999999993,35.99999999999993,3816.0,0,1.0,30,38
3,7,39,0,5,2,0.0,0.0,219.0,2,-1.1,20,5
