,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
633,0,1,200,3,41,34,5.500000000000023,73.00000000000023,9120.0,0,1.8,,44
153,1,1,40,0,5,3,0.0,0.0,273.0,2,-1.1,,5
634,2,1,200,0,47,5,9.100000000000026,91.00000000000026,11520.0,0,1.0,,47
635,3,1,200,0,40,28,4.900000000000037,49.00000000000036,9000.0,0,1.0,,40
692,0,2,15,0,1,1,0.0,0.0,63.0,3,-1.1,,1
1248,1,2,200,1,34,1,1.199999999999987,17.99999999999987,3600.0,0,1.0,,35
1249,2,2,200,1,44,1,7.200000000000031,78.0000000000003,9768.0,1,1.8,,45
1250,3,2,200,0,39,2,4.199999999999995,41.99999999999994,3594.0,0,1.0,,39
1344,0,3,27,0,3,2,0.0,0.0,177.0,3,-1.1,,3
1619,1,3,164,0,26,0,0.0,0.0,2592.0,2,-1.1,,26
1656,2,3,200,1,47,0,9.000000000000027,96.00000000000026,10326.0,0,1.8,,48
1310,3,3,15,0,1,1,0.0,0.0,93.0,0,-1.0,,1
2293,0,4,200,1,50,31,10.800000000000008,114.00000000000009,8082.0,0,1.8,,51
1810,1,4,39,0,5,0,0.0,0.0,285.0,2,-1.1,,5
2294,2,4,200,0,43,4,6.600000000000017,66.00000000000017,8862.0,0,1.0,,43
2295,3,4,200,0,40,24,4.8000000000000345,48.00000000000034,9888.0,2,1.1,,40
2376,0,5,21,0,2,1,0.0,0.0,90.0,3,-1.1,,2
2736,1,5,200,0,36,0,2.399999999999989,23.999999999999886,3786.0,0,1.0,,36
2737,2,5,200,0,44,0,7.200000000000019,72.00000000000018,9114.0,0,1.0,,44
2379,3,5,21,0,2,2,0.0,0.0,126.0,4,-1.1,,2
2842,0,6,27,0,3,2,0.0,0.0,141.0,3,-1.1,,3
3200,1,6,146,0,23,2,0.0,0.0,1587.0,2,-1.1,,23
3309,2,6,200,0,47,0,9.000000000000032,90.00000000000031,10710.0,0,1.0,,47
3310,3,6,200,0,44,3,7.200000000000013,72.00000000000013,7290.0,0,1.0,,44
3757,0,7,200,3,46,0,8.400000000000023,102.00000000000024,11388.0,0,1.0,,49
3435,1,7,39,0,5,0,0.0,0.0,219.0,3,-1.1,,5
3758,2,7,200,3,45,0,7.800000000000015,96.00000000000016,10152.0,0,1.0,,48
3346,3,7,9,1,0,1,0.0,5.000000000000001,47.0,0,-0.1999999999999999,,1
3918,0,8,45,3,6,3,0.0,17.0,407.0,3,-1.1,,9
3864,1,8,27,0,3,0,0.0,0.0,117.0,2,-1.1,,3
4229,2,8,200,0,50,0,10.800000000000049,108.00000000000048,14502.0,0,1.0,,50
4230,3,8,200,0,43,3,6.600000000000023,66.00000000000023,8394.0,0,1.0,,43
4855,0,9,200,4,40,32,4.800000000000022,72.00000000000021,8124.0,0,1.0,,44
4336,1,9,27,0,3,1,0.0,0.0,153.0,2,-1.1,,3
