episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,71.0,10278.0,4257.5,17030.0,0.5193188490898415,1,47,25.75,103,0.3956310679611651,10,200,127.5,510,0.32843137254901966
2,693.0,18906.0,6658.5,26634.0,0.5651047533228205,15,58,32.5,130,0.30000000000000004,99,200,149.5,598,0.1688963210702341
3,761.0,20436.0,7061.75,28247.0,0.5636616277834814,17,60,35.0,140,0.26428571428571423,105,200,161.25,645,0.13372093023255816
4,248.0,8772.0,2493.0,9972.0,0.6463598074608905,6,42,16.75,67,0.41417910447761197,39,200,85.25,341,0.3629032258064516
5,77.0,12786.0,5136.5,20546.0,0.5455076413900516,1,49,25.5,102,0.446078431372549,9,200,115.0,460,0.3923913043478261
6,437.0,23460.0,8159.5,32638.0,0.5830626876646854,10,63,34.0,136,0.3382352941176471,57,200,143.5,574,0.22299651567944245
7,128.0,12810.0,7238.0,28952.0,0.3450538822879249,3,53,36.25,145,0.2637931034482759,15,200,153.75,615,0.22560975609756095
8,519.0,16158.0,5849.0,23396.0,0.5508420242776543,11,57,33.0,132,0.2954545454545454,75,200,154.0,616,0.17613636363636354
9,504.0,14892.0,8655.0,34620.0,0.3859618717504333,10,52,37.5,150,0.2333333333333334,69,200,167.25,669,0.14686098654708513
10,665.0,22878.0,7833.5,31334.0,0.5769451713793323,15,64,35.5,142,0.295774647887324,93,200,157.0,628,0.1536624203821657
11,71.0,10332.0,4739.75,18959.0,0.456076269845456,1,49,31.5,126,0.29761904761904767,9,200,152.25,609,0.2352216748768472
12,1058.0,23964.0,8369.75,33479.0,0.5585068251739896,21,66,37.75,151,0.25993377483443714,123,200,164.25,657,0.11301369863013688
13,504.0,19734.0,6888.0,27552.0,0.5753484320557491,10,59,32.25,129,0.33139534883720934,69,200,146.5,586,0.20307167235494883
14,116.0,12540.0,4393.75,17575.0,0.5800426742532006,2,49,25.0,100,0.42000000000000004,15,200,121.0,484,0.35433884297520657
15,273.0,17094.0,6080.75,24323.0,0.5718764132713893,5,57,31.25,125,0.35,39,200,143.5,574,0.23867595818815324
16,77.0,11334.0,6875.75,27503.0,0.31559284441697266,2,51,35.75,143,0.2604895104895105,9,200,152.25,609,0.2352216748768472
17,158.0,12450.0,7668.5,30674.0,0.3299374062724131,4,50,36.25,145,0.2396551724137932,27,200,156.75,627,0.2069377990430623
18,413.0,19866.0,6992.0,27968.0,0.578428918764302,10,60,31.25,125,0.358,57,200,136.0,544,0.24908088235294112
19,83.0,9822.0,3986.5,15946.0,0.5364354697102721,2,46,24.5,98,0.41836734693877553,9,200,116.5,466,0.38412017167381973
20,306.0,14028.0,7803.0,31212.0,0.3861976163014226,5,52,36.5,146,0.26027397260273977,32,200,158.0,632,0.1993670886075949
21,59.0,15492.0,7171.25,28685.0,0.42636395328568943,1,53,35.25,141,0.28546099290780147,9,200,152.25,609,0.2352216748768472
22,188.0,8100.0,3575.0,14300.0,0.4791608391608392,4,45,27.25,109,0.32798165137614677,27,200,138.75,555,0.26621621621621616
23,344.0,20286.0,7344.25,29377.0,0.5772458045409674,8,61,31.0,124,0.3911290322580645,45,200,127.0,508,0.29625984251968507
24,575.0,21282.0,7426.75,29707.0,0.5789123775541118,12,60,31.75,127,0.34055118110236215,75,200,139.0,556,0.22212230215827344
25,329.0,16038.0,6281.75,25127.0,0.4957515819636248,6,53,34.75,139,0.2643884892086331,33,200,158.25,633,0.19786729857819907
26,236.0,20556.0,7212.25,28849.0,0.5833391105410933,6,59,31.25,125,0.37,39,200,136.0,544,0.265625
27,65.0,11436.0,6274.25,25097.0,0.38595250428338046,2,50,33.75,135,0.2796296296296297,9,200,152.25,609,0.2352216748768472
28,290.0,14370.0,7041.5,28166.0,0.41363700915998014,6,46,35.0,140,0.22142857142857153,39,200,159.75,639,0.18896713615023475
29,65.0,11844.0,6737.75,26951.0,0.3409799265333383,1,51,35.0,140,0.2785714285714286,9,200,152.25,609,0.2352216748768472
30,293.0,19620.0,6850.75,27403.0,0.5909115790241944,7,58,28.75,115,0.40652173913043477,45,200,124.0,496,0.3094758064516129
