episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,71.0,9504.0,2559.75,10239.0,0.691986522121301,2,47,15.75,63,0.5357142857142857,10,200,75.5,302,0.4718543046357616
2,264.0,15810.0,5613.75,22455.0,0.5657648630594523,6,54,29.25,117,0.3482905982905983,45,200,141.75,567,0.2394179894179893
3,75.0,5712.0,3236.25,12945.0,0.3364426419466976,1,41,28.5,114,0.26315789473684215,15,200,153.75,615,0.22560975609756095
4,63.0,10854.0,4260.5,17042.0,0.5610843797676329,1,49,24.0,96,0.47916666666666663,15,200,109.0,436,0.42087155963302747
5,165.0,5136.0,1943.0,7772.0,0.5457411219763253,3,38,20.25,81,0.41666666666666663,27,200,115.0,460,0.37282608695652175
6,117.0,10560.0,3578.0,14312.0,0.6032350475125768,3,45,22.5,90,0.4388888888888889,27,200,115.0,460,0.37282608695652175
7,501.0,11394.0,3292.25,13169.0,0.6229592224162807,11,48,20.75,83,0.34036144578313254,74,200,107.5,430,0.22325581395348837
8,42.0,9882.0,4735.5,18942.0,0.47046246436490335,0,50,27.75,111,0.38963963963963966,9,200,131.25,525,0.31285714285714283
9,65.0,8670.0,6193.25,24773.0,0.2645723166350462,1,44,32.5,130,0.25,9,200,152.25,609,0.2352216748768472
10,42.0,11406.0,5405.25,21621.0,0.5074580269182739,0,50,25.0,100,0.485,9,200,109.0,436,0.4277522935779816
11,47.0,13320.0,4995.5,19982.0,0.553998598738865,1,51,27.0,108,0.4027777777777778,9,200,126.75,507,0.3328402366863905
12,120.0,14820.0,5206.5,20826.0,0.5906799193316047,2,52,25.0,100,0.45499999999999996,21,200,116.25,465,0.3725806451612903
13,63.0,9042.0,5672.25,22689.0,0.2976001586671956,1,44,32.0,128,0.2578125,15,200,153.75,615,0.22560975609756095
14,273.0,15714.0,5274.0,21096.0,0.6003270762229806,7,51,25.75,103,0.3956310679611651,51,200,125.5,502,0.296812749003984
15,83.0,6546.0,4489.25,17957.0,0.27394609344545306,3,42,31.25,125,0.23399999999999999,21,200,155.25,621,0.21618357487922713
