episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,132.0,6186.0,2859.75,11439.0,0.45207185942827166,2,43,27.0,108,0.32407407407407407,22,200,142.25,569,0.257908611599297
2,42.0,15006.0,4760.25,19041.0,0.6384512368047897,0,55,23.75,95,0.5236842105263158,9,200,109.0,436,0.4277522935779816
3,171.0,6912.0,4352.25,17409.0,0.3170342926072721,3,43,31.25,125,0.242,27,200,156.75,627,0.2069377990430623
4,132.0,8664.0,4261.25,17045.0,0.4893957172191259,4,45,23.75,95,0.4184210526315789,33,200,116.5,466,0.3583690987124464
5,131.0,9774.0,2564.5,10258.0,0.7069116786898031,2,48,15.0,60,0.5916666666666667,21,200,71.75,287,0.48867595818815335
6,104.0,12282.0,5405.75,21623.0,0.5184410118854923,2,50,25.75,103,0.4393203883495146,15,200,116.5,466,0.37768240343347637
7,266.0,12450.0,6489.25,25957.0,0.44884809492622413,6,52,32.75,131,0.3110687022900763,39,200,145.0,580,0.23362068965517246
8,150.0,7326.0,3722.25,14889.0,0.44635301229095303,2,46,26.25,105,0.37857142857142856,21,200,129.75,519,0.30780346820809246
9,114.0,4674.0,2267.25,9069.0,0.4804002646377771,2,40,21.5,86,0.43023255813953487,21,200,115.0,460,0.3793478260869565
10,71.0,4170.0,2624.75,10499.0,0.33610343842270696,1,38,27.5,110,0.2545454545454545,9,200,152.25,609,0.2352216748768472
11,297.0,10770.0,5594.25,22377.0,0.42683335567770475,5,44,31.25,125,0.25,39,200,159.75,639,0.18896713615023475
12,402.0,10302.0,5878.5,23514.0,0.38817300331717275,8,44,31.75,127,0.22637795275590555,57,200,164.25,657,0.16324200913242004
13,234.0,8778.0,4750.5,19002.0,0.4291916640353647,4,41,26.5,106,0.3113207547169812,33,200,140.5,562,0.25444839857651247
14,395.0,8316.0,4337.75,17351.0,0.3918362054060285,9,43,31.5,126,0.21031746031746024,57,200,164.25,657,0.16324200913242004
15,41.0,11754.0,5830.25,23321.0,0.41302902962994725,1,48,31.0,124,0.3145161290322581,9,200,149.25,597,0.24497487437185939
16,69.0,6042.0,2084.75,8339.0,0.5882300035975536,1,43,16.5,66,0.5151515151515151,15,200,86.5,346,0.44797687861271673
17,227.0,6522.0,4067.75,16271.0,0.32362792698666343,5,42,31.75,127,0.2224409448818898,33,200,158.25,633,0.19786729857819907
18,306.0,17124.0,5474.25,21897.0,0.61861213864913,4,58,26.25,105,0.4547619047619048,32,200,120.75,483,0.337991718426501
19,36.0,9294.0,3888.75,15555.0,0.5445998071359691,0,47,22.5,90,0.5055555555555555,9,200,106.0,424,0.44693396226415094
20,153.0,11046.0,4671.0,18684.0,0.530427103403982,3,48,24.75,99,0.43686868686868685,27,200,116.5,466,0.36480686695278974
21,42.0,8778.0,4963.5,19854.0,0.41032033847083715,0,43,28.5,114,0.3114035087719298,9,200,146.25,585,0.2551282051282051
22,36.0,10956.0,4352.75,17411.0,0.5200304405261041,0,48,27.5,110,0.3727272727272727,9,200,134.5,538,0.2992565055762082
23,75.0,5472.0,1740.5,6962.0,0.6202240735420856,1,41,14.5,58,0.5517241379310345,15,200,79.0,316,0.4857594936708861
24,47.0,9726.0,5255.75,21023.0,0.4088736146125672,1,46,29.5,118,0.31779661016949157,9,200,146.25,585,0.2551282051282051
25,477.0,8754.0,3532.5,14130.0,0.5059447983014862,9,45,26.5,106,0.32547169811320753,62,200,134.25,537,0.2509310986964618
26,164.0,10116.0,3922.75,15691.0,0.5250302721305207,4,47,27.75,111,0.33108108108108103,27,200,139.0,556,0.2652877697841727
27,36.0,10128.0,2618.75,10475.0,0.7228878281622911,0,49,13.5,54,0.6851851851851852,9,200,62.5,250,0.574
28,75.0,9186.0,2692.5,10770.0,0.6483286908077994,1,45,17.25,69,0.5036231884057971,15,200,92.5,370,0.4027027027027027
29,36.0,12240.0,5075.25,20301.0,0.5417836559775381,0,48,25.5,102,0.4509803921568627,9,200,115.0,460,0.3923913043478261
30,42.0,11532.0,7284.0,29136.0,0.3078665568369028,0,50,33.5,134,0.2873134328358209,9,200,152.25,609,0.2352216748768472
31,36.0,8982.0,2609.0,10436.0,0.6713300114986585,0,48,20.5,82,0.5182926829268293,9,200,106.25,425,0.4323529411764706
32,113.0,10242.0,4377.25,17509.0,0.4948455080244446,4,48,29.25,117,0.3226495726495726,21,200,139.0,556,0.27068345323741005
33,195.0,6252.0,3516.75,14067.0,0.3798784388995522,5,41,30.25,121,0.23347107438016534,39,200,159.75,639,0.18896713615023475
34,225.0,11652.0,4564.5,18258.0,0.5443641143608281,5,54,25.0,100,0.42500000000000004,39,200,122.5,490,0.310204081632653
35,63.0,13674.0,4522.5,18090.0,0.6218905472636815,1,55,23.75,95,0.5236842105263158,15,200,107.5,430,0.43023255813953487
36,369.0,14874.0,5882.25,23529.0,0.5405775851077393,7,48,27.5,110,0.36818181818181817,51,200,127.0,508,0.29035433070866146
37,147.0,8904.0,4632.75,18531.0,0.3592763477416221,3,42,30.0,120,0.25416666666666665,27,200,156.75,627,0.2069377990430623
38,41.0,9522.0,4688.0,18752.0,0.49986668088737196,1,51,24.25,97,0.49742268041237114,9,200,106.0,424,0.44693396226415094
39,69.0,11664.0,4132.5,16530.0,0.5958257713248639,1,53,22.75,91,0.5247252747252747,15,200,107.5,430,0.43023255813953487
40,81.0,14352.0,5490.75,21963.0,0.5682625324409234,1,51,24.75,99,0.4772727272727273,15,200,112.0,448,0.4029017857142857
41,81.0,11058.0,4930.5,19722.0,0.509735320961363,1,47,25.25,101,0.41831683168316836,15,200,122.5,490,0.34693877551020413
42,476.0,11874.0,5234.0,20936.0,0.4950802445548338,12,45,27.25,109,0.29128440366972475,75,200,138.75,555,0.22297297297297303
43,1554.0,8880.0,5130.0,20520.0,0.33187134502923976,33,42,37.75,151,0.057947019867549576,200,200,200.0,800,0.0
44,36.0,12648.0,6357.0,25428.0,0.47982538933459173,0,45,25.5,102,0.4117647058823529,9,200,122.5,490,0.35306122448979593
45,42.0,7986.0,2048.0,8192.0,0.729736328125,0,39,10.5,42,0.7142857142857143,9,200,58.25,233,0.621244635193133
46,267.0,9624.0,4265.25,17061.0,0.496175487954985,5,57,27.75,111,0.3986486486486487,39,200,133.0,532,0.2772556390977443
47,47.0,14646.0,5680.25,22721.0,0.5621781611724836,1,48,25.75,103,0.43446601941747576,9,200,116.5,466,0.38412017167381973
48,71.0,9486.0,5306.75,21227.0,0.3956164319027653,1,45,31.0,124,0.282258064516129,9,200,152.25,609,0.2352216748768472
49,330.0,7662.0,4110.0,16440.0,0.36861313868613144,6,42,30.75,123,0.22560975609756095,45,200,161.25,645,0.18023255813953498
50,143.0,7314.0,4579.25,18317.0,0.3321095157503958,5,42,31.25,125,0.22999999999999998,33,200,158.25,633,0.19786729857819907
51,93.0,8988.0,4962.75,19851.0,0.3971966147801118,1,41,29.0,116,0.27155172413793105,15,200,153.75,615,0.22560975609756095
52,356.0,7620.0,3941.0,15764.0,0.37547576757168233,10,39,30.75,123,0.18089430894308944,63,200,165.75,663,0.15497737556561075
53,57.0,9864.0,4550.0,18200.0,0.5139285714285714,1,45,23.25,93,0.46505376344086025,15,200,109.0,436,0.42087155963302747
54,114.0,9402.0,4624.5,18498.0,0.4704022056438534,2,46,27.0,108,0.37962962962962965,21,200,128.25,513,0.314327485380117
55,41.0,7152.0,2315.0,9260.0,0.6270518358531317,1,44,16.25,65,0.5653846153846154,9,200,85.0,340,0.49558823529411766
56,36.0,17850.0,5141.25,20565.0,0.6742159008023341,0,56,19.75,79,0.5664556962025317,9,200,88.0,352,0.4446022727272727
57,63.0,12000.0,4926.75,19707.0,0.46418785203227275,1,54,28.75,115,0.3804347826086957,15,200,138.75,555,0.277027027027027
58,135.0,8154.0,4698.75,18795.0,0.3492817238627295,3,45,30.5,122,0.26639344262295084,27,200,156.75,627,0.2069377990430623
59,126.0,14058.0,5347.5,21390.0,0.5693548387096774,2,48,24.5,98,0.4642857142857143,21,200,110.5,442,0.40497737556561086
60,132.0,8538.0,4915.5,19662.0,0.3580256332010986,2,45,31.5,126,0.2658730158730159,21,200,155.25,621,0.21618357487922713
61,356.0,6384.0,3323.75,13295.0,0.35342233922527266,8,38,29.0,116,0.19827586206896552,51,200,161.25,645,0.1755813953488372
62,132.0,10524.0,4432.5,17730.0,0.5214043993231811,2,47,23.75,95,0.4236842105263158,21,200,122.25,489,0.34202453987730064
63,330.0,11826.0,4848.0,19392.0,0.5278465346534653,6,48,26.25,105,0.3833333333333333,45,200,125.5,502,0.3027888446215139
64,144.0,12216.0,3233.75,12935.0,0.7008697332817936,2,51,16.75,67,0.5559701492537313,21,200,77.75,311,0.43167202572347263
65,182.0,13632.0,6815.0,27260.0,0.43998532648569333,4,51,34.0,136,0.2757352941176471,27,200,156.75,627,0.2069377990430623
66,36.0,9546.0,4701.0,18804.0,0.40076579451180605,0,47,30.0,120,0.3041666666666667,9,200,152.25,609,0.2352216748768472
67,516.0,13662.0,6338.25,25353.0,0.41122352384333216,12,51,34.25,137,0.23540145985401462,81,200,168.75,675,0.13444444444444437
68,36.0,9216.0,2543.0,10172.0,0.6974537947306331,0,45,15.75,63,0.5992063492063492,9,200,82.0,328,0.5137195121951219
69,47.0,10722.0,6035.75,24143.0,0.3531769042786729,1,55,33.0,132,0.321969696969697,9,200,152.25,609,0.2352216748768472
70,81.0,13770.0,6087.5,24350.0,0.5268583162217659,1,53,26.25,105,0.47857142857142854,15,200,109.0,436,0.42087155963302747
71,81.0,10236.0,2657.75,10631.0,0.7184413507666259,1,47,13.5,54,0.6481481481481481,15,200,65.75,263,0.5332699619771863
72,219.0,12570.0,5266.5,21066.0,0.5314725149530048,5,46,25.0,100,0.405,39,200,119.5,478,0.33682008368200833
73,69.0,12066.0,6219.0,24876.0,0.4570067534973469,1,49,29.75,119,0.35924369747899154,15,200,137.5,550,0.28181818181818186
74,81.0,9444.0,4045.25,16181.0,0.5334188245473086,1,42,21.5,86,0.4709302325581395,15,200,107.5,430,0.43023255813953487
75,450.0,9084.0,5094.75,20379.0,0.3868320329751215,10,45,32.25,129,0.2267441860465116,69,200,165.75,663,0.15045248868778272
76,80.0,9978.0,6329.0,25316.0,0.33666455996207933,2,47,33.5,134,0.2574626865671642,15,200,153.75,615,0.22560975609756095
77,69.0,7260.0,4178.25,16713.0,0.3246724106982588,1,43,30.25,121,0.26652892561983466,15,200,153.75,615,0.22560975609756095
78,41.0,8352.0,4783.25,19133.0,0.365141378769665,1,44,30.75,123,0.2703252032520326,9,200,152.25,609,0.2352216748768472
79,206.0,6978.0,3321.5,13286.0,0.4067815745897938,4,43,29.75,119,0.25,27,200,156.75,627,0.2069377990430623
80,42.0,10416.0,5694.0,22776.0,0.4211011591148578,0,43,29.0,116,0.30603448275862066,9,200,149.25,597,0.24497487437185939
81,93.0,8346.0,4751.25,19005.0,0.37722967640094707,1,45,30.0,120,0.3041666666666667,15,200,150.75,603,0.2350746268656716
82,197.0,10686.0,5281.25,21125.0,0.45553846153846156,5,47,28.5,114,0.33333333333333337,33,200,137.25,549,0.26639344262295084
83,41.0,13602.0,4316.75,17267.0,0.6378496554120577,1,54,23.25,93,0.5188172043010753,9,200,107.5,430,0.4372093023255814
84,36.0,12306.0,6486.0,25944.0,0.4335106382978723,0,47,32.0,128,0.30078125,9,200,152.25,609,0.2352216748768472
85,81.0,10446.0,3581.75,14327.0,0.6052732602777972,1,50,22.0,88,0.5113636363636364,15,200,107.5,430,0.43023255813953487
86,132.0,9270.0,5253.75,21015.0,0.40695931477516056,2,45,30.0,120,0.2958333333333333,21,200,150.75,603,0.23009950248756228
87,36.0,4998.0,2146.25,8585.0,0.5289167152009319,0,40,16.75,67,0.5261194029850746,9,200,95.5,382,0.46073298429319376
88,47.0,9942.0,4313.0,17252.0,0.5094191977741711,1,43,24.25,97,0.39948453608247425,9,200,120.75,483,0.36180124223602483
89,92.0,13956.0,3633.25,14533.0,0.7165244615702195,2,50,15.75,63,0.5753968253968254,15,200,73.25,293,0.4735494880546075
90,246.0,7914.0,3492.0,13968.0,0.5055841924398625,4,46,24.5,98,0.41326530612244894,33,200,119.5,478,0.34309623430962344
