episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,273.0,11520.0,7478.25,29913.0,0.28299568749373183,5,47,34.0,136,0.23897058823529416,40,200,160.0,640,0.1875
2,63.0,9768.0,4256.25,17025.0,0.4276211453744493,1,45,30.0,120,0.2833333333333333,15,200,153.75,615,0.22560975609756095
3,93.0,10326.0,3297.0,13188.0,0.627729754322111,1,48,19.5,78,0.5256410256410257,15,200,101.5,406,0.42610837438423643
4,285.0,9888.0,6779.25,27117.0,0.2727901316517314,5,51,34.75,139,0.25359712230215825,39,200,159.75,639,0.18896713615023475
5,90.0,9114.0,3279.0,13116.0,0.5857731015553522,2,44,21.0,84,0.47619047619047616,21,200,110.5,442,0.40497737556561086
6,141.0,10710.0,4932.0,19728.0,0.47407238442822386,3,47,29.25,117,0.32692307692307687,27,200,143.25,573,0.25
7,47.0,11388.0,5451.5,21806.0,0.5039438686600018,1,49,25.75,103,0.4538834951456311,9,200,112.0,448,0.4095982142857143
8,117.0,14502.0,5855.0,23420.0,0.5459222886421862,3,50,26.25,105,0.41666666666666663,27,200,118.0,472,0.3569915254237288
9,153.0,12630.0,6923.25,27693.0,0.34998916693749327,3,49,33.75,135,0.26481481481481484,27,200,156.75,627,0.2069377990430623
10,98.0,12942.0,6256.25,25025.0,0.49777222777222774,2,52,27.75,111,0.4346846846846847,15,200,116.5,466,0.37768240343347637
11,126.0,10722.0,6048.0,24192.0,0.4108382936507936,2,44,31.0,124,0.2701612903225806,21,200,155.25,621,0.21618357487922713
12,366.0,16974.0,4698.75,18795.0,0.664365522745411,8,53,21.5,86,0.39534883720930236,57,200,106.25,425,0.25588235294117645
13,41.0,12540.0,5631.5,22526.0,0.5180680102992098,1,50,26.0,104,0.4567307692307693,9,200,111.75,447,0.4110738255033557
14,77.0,653.0,276.25,1105.0,0.40384615384615385,1,9,4.25,17,0.36764705882352944,9,33,25.5,102,0.19117647058823528
15,141.0,13260.0,6090.75,24363.0,0.453915773919468,3,53,33.5,134,0.2947761194029851,27,200,156.75,627,0.2069377990430623
16,159.0,11376.0,7533.75,30135.0,0.28872573419611747,3,53,34.0,136,0.30514705882352944,27,200,156.75,627,0.2069377990430623
17,75.0,9852.0,6000.0,24000.0,0.34206250000000005,1,49,31.0,124,0.3306451612903226,15,200,146.5,586,0.24914675767918082
18,366.0,15030.0,4841.25,19365.0,0.6077846630518977,7,50,26.0,104,0.3846153846153846,51,200,127.0,508,0.29035433070866146
19,98.0,10098.0,7397.0,29588.0,0.25358253345951065,2,52,33.75,135,0.29814814814814816,15,200,153.75,615,0.22560975609756095
20,288.0,17958.0,5452.5,21810.0,0.6410591471801925,6,56,26.25,105,0.430952380952381,45,200,122.5,490,0.3163265306122449
21,372.0,11670.0,7749.0,30996.0,0.2763259775454897,8,53,35.75,143,0.2430069930069929,57,200,164.25,657,0.16324200913242004
22,180.0,14928.0,7050.75,28203.0,0.5031113711307308,4,54,28.5,114,0.4298245614035088,33,200,118.0,472,0.350635593220339
23,195.0,4764.0,1568.0,6272.0,0.5628985969387755,3,42,16.5,66,0.4696969696969697,27,200,79.0,316,0.4113924050632911
24,474.0,17334.0,5979.0,23916.0,0.5632212744606121,12,57,32.0,128,0.29296875,81,200,155.5,622,0.167202572347267
25,98.0,12762.0,7191.5,28766.0,0.35307307237711183,2,50,35.0,140,0.2678571428571429,15,200,153.75,615,0.22560975609756095
26,42.0,15006.0,6897.0,27588.0,0.5182688125271857,0,54,26.5,106,0.4952830188679245,9,200,107.5,430,0.4372093023255814
27,126.0,14448.0,7203.75,28815.0,0.4881572097865695,2,55,29.0,116,0.43103448275862066,21,200,121.0,484,0.34814049586776863
28,47.0,10038.0,4068.5,16274.0,0.5093400516160748,1,46,24.25,97,0.4097938144329897,9,200,123.75,495,0.34696969696969693
29,183.0,11550.0,5230.5,20922.0,0.511901347863493,3,49,25.0,100,0.43999999999999995,27,200,116.5,466,0.36480686695278974
30,312.0,19980.0,6504.0,26016.0,0.6029750922509225,6,58,29.5,118,0.3771186440677966,45,200,137.5,550,0.2545454545454545
31,36.0,13656.0,3551.25,14205.0,0.7255015839493136,0,49,14.0,56,0.6785714285714286,9,200,67.0,268,0.5615671641791045
32,272.0,12186.0,6108.5,24434.0,0.3993410820987149,6,46,34.0,136,0.22058823529411775,39,200,159.75,639,0.18896713615023475
33,534.0,17046.0,5858.25,23433.0,0.5643643579567277,12,59,33.0,132,0.2954545454545454,81,200,157.0,628,0.16321656050955413
34,348.0,14724.0,6321.0,25284.0,0.46879449454200284,8,58,34.0,136,0.27941176470588236,57,200,164.25,657,0.16324200913242004
35,177.0,14352.0,4700.75,18803.0,0.6138781045577834,3,53,25.75,103,0.4441747572815534,27,200,116.5,466,0.36480686695278974
36,165.0,8910.0,3793.5,15174.0,0.5264926848556741,3,46,22.5,90,0.4444444444444444,27,200,116.5,466,0.36480686695278974
