,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,num_norms,count
0,1.0,0.0,0.06406406406406406,0.0,0.0,0.7000000000000001,7.384384384384385,15.384384384384385,0.0,999
1,1.0,1.0,0.02902902902902903,0.0,0.0,0.7000000000000001,7.1741741741741745,15.174174174174174,0.0,999
2,1.0,2.0,0.03803803803803804,0.0,0.0,0.7000000000000001,7.228228228228228,15.228228228228229,0.0,999
3,1.0,3.0,0.037037037037037035,0.0,0.0,0.7000000000000001,7.222222222222222,15.222222222222221,0.0,999
4,2.0,0.0,0.237,0.076,0.003,0.6457,7.879000000000001,23.208,0.0,1000
5,2.0,1.0,0.099,0.035,0.024,0.6211000000000001,6.805000000000001,21.9,0.0,1000
6,2.0,2.0,0.124,0.026,0.012,0.6157,6.901000000000001,22.122,0.0,1000
7,2.0,3.0,0.104,0.03,0.036,0.6181000000000001,6.805000000000001,21.936,0.0,1000
8,3.0,0.0,0.302,0.396,0.005,0.7377,9.189,32.073,0.0,1000
9,3.0,1.0,0.163,0.121,0.104,0.5727000000000002,6.705000000000001,28.425,0.0,1000
10,3.0,2.0,0.229,0.082,0.08,0.5493000000000001,6.867000000000001,28.989,0.0,1000
11,3.0,3.0,0.178,0.123,0.132,0.5739000000000001,6.807000000000001,28.497,0.0,1000
12,4.0,0.0,0.227,0.7,0.007,0.8201,9.563,41.558,0.0,1000
13,4.0,1.0,0.289,0.181,0.115,0.5087,6.821,35.228,0.0,1000
14,4.0,2.0,0.322,0.197,0.081,0.5183000000000001,7.115,36.104,0.0,1000
15,4.0,3.0,0.321,0.137,0.159,0.48230000000000006,6.749,35.21,0.0,1000
16,5.0,0.0,0.181,0.922,0.008,0.8533000000000001,9.619,51.153,0.0,1000
17,5.0,1.0,0.391,0.274,0.123,0.4645000000000001,6.9910000000000005,42.189,0.0,1000
18,5.0,2.0,0.371,0.358,0.084,0.5149000000000001,7.375,43.479,0.0,1000
19,5.0,3.0,0.51,0.152,0.168,0.3913000000000001,6.973000000000001,42.147,0.0,1000
20,6.0,0.0,0.239,1.091,0.008,0.8547,9.981,61.092,0.0,1000
21,6.0,1.0,0.448,0.386,0.133,0.4317000000000001,7.005000000000001,49.164,0.0,1000
22,6.0,2.0,0.35,0.525,0.091,0.5151000000000001,7.251000000000001,50.73,0.0,1000
23,6.0,3.0,0.617,0.185,0.19,0.3111000000000001,6.813000000000001,48.906,0.0,1000
24,7.0,0.0,0.26,1.317,0.013,0.8903,10.463,71.495,0.0,1000
25,7.0,1.0,0.39,0.591,0.153,0.4547000000000001,6.887000000000001,56.003,0.0,1000
