agent_id,agent_type,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days_left_to_live,action,reward,num_norms,total_berries
0,average,1,200,0,42,1,6.10000000000001,61.0000000000001,6156.0,0,1.0,21,42
1,average,1,200,0,38,3,3.699999999999997,36.99999999999997,5436.0,1,1.8,27,38
2,average,1,16,0,1,0,0.0,0.0,81.0,0,-1.0,7,1
3,average,1,200,0,35,0,1.8999999999999877,18.999999999999872,3564.0,0,1.0,33,35
0,average,2,200,1,44,0,7.200000000000025,78.00000000000024,9066.0,0,1.5,42,45
1,average,2,164,0,26,1,0.0,0.0,1500.0,1,-1.1,53,26
2,average,2,170,1,27,1,0.0,5.999999999999913,2487.0,4,-1.1,57,28
3,average,2,116,1,18,3,0.0,5.999999999999998,1002.0,0,-1.0,49,19
0,average,3,200,0,41,0,5.400000000000024,54.00000000000024,7890.0,0,1.0,27,41
1,average,3,200,0,37,1,2.999999999999988,29.99999999999988,4224.0,1,1.8,35,37
2,average,3,200,1,35,1,1.7999999999999856,23.999999999999854,4488.0,0,1.5,46,36
3,average,3,69,0,10,1,0.0,0.0,462.0,0,-1.0,31,10
0,average,4,200,0,46,0,8.400000000000023,84.00000000000023,9000.0,1,1.8,10,46
1,average,4,27,0,3,0,0.0,0.0,129.0,1,-1.1,12,3
2,average,4,15,0,1,0,0.0,0.0,69.0,0,-1.0,5,1
3,average,4,27,0,3,0,0.0,0.0,111.0,1,-1.1,12,3
0,average,5,200,1,44,0,7.200000000000037,78.00000000000036,9894.0,0,1.5,30,45
1,average,5,200,0,39,1,4.19999999999999,41.9999999999999,5094.0,1,1.8,26,39
2,average,5,200,0,37,0,2.999999999999988,29.99999999999988,4248.0,0,1.0,31,37
3,average,5,9,0,0,0,0.0,0.0,36.0,0,-1.0,6,0
0,average,6,200,0,42,0,6.000000000000011,60.00000000000011,7080.0,0,1.0,16,42
1,average,6,200,0,37,0,2.9999999999999885,29.999999999999883,4140.0,0,1.0,18,37
2,average,6,15,1,1,0,0.0,5.000000000000002,86.0,0,-1.0,9,2
3,average,6,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
0,average,7,200,0,45,0,7.800000000000024,78.00000000000023,8694.0,0,1.0,27,45
1,average,7,69,0,10,1,0.0,0.0,540.0,3,-1.1,25,10
2,average,7,104,1,16,0,0.0,5.9999999999999485,1362.0,2,-1.1,25,17
3,average,7,26,0,3,1,0.0,0.0,207.0,0,-1.0,13,3
0,average,8,200,0,42,0,6.000000000000016,60.00000000000016,6918.0,0,1.0,24,42
1,average,8,200,0,37,1,2.999999999999988,29.99999999999988,4254.0,0,1.0,33,37
2,average,8,200,0,35,1,1.799999999999986,17.999999999999858,4470.0,0,1.0,33,35
3,average,8,27,0,3,0,0.0,0.0,141.0,2,-1.1,16,3
0,average,9,200,0,45,0,7.800000000000024,78.00000000000023,9198.0,0,1.0,27,45
1,average,9,200,0,37,0,2.999999999999988,29.99999999999988,3600.0,0,1.0,29,37
2,average,9,110,1,17,0,0.0,5.999999999999966,1227.0,0,-1.0,26,18
3,average,9,27,0,3,0,0.0,0.0,111.0,3,-1.1,15,3
0,average,10,200,0,45,0,7.800000000000022,78.00000000000021,8964.0,0,1.0,16,45
1,average,10,21,0,2,0,0.0,0.0,102.0,3,-1.1,10,2
2,average,10,38,1,5,0,0.0,5.999999999999995,375.0,0,-1.0,15,6
3,average,10,9,0,0,0,0.0,0.0,36.0,1,-1.1,4,0
0,average,11,200,0,46,0,8.400000000000029,84.00000000000028,10044.0,1,1.8,15,46
1,average,11,200,1,39,0,4.199999999999997,47.99999999999996,4200.0,0,1.5,23,40
2,average,11,21,1,2,0,0.0,5.000000000000001,149.0,0,-1.0,12,3
3,average,11,21,0,2,0,0.0,0.0,126.0,1,-1.1,17,2
0,average,12,200,0,42,1,6.000000000000014,60.00000000000014,6444.0,0,1.0,28,42
1,average,12,200,0,36,0,2.3999999999999893,23.99999999999989,3372.0,0,1.0,41,36
2,average,12,200,0,34,1,1.1999999999999944,11.999999999999943,2154.0,1,1.8,33,34
3,average,12,57,0,8,2,0.0,0.0,348.0,3,-1.1,25,8
0,average,13,200,0,45,1,7.800000000000022,78.00000000000021,8688.0,0,1.0,27,45
1,average,13,200,0,37,2,2.9999999999999885,29.999999999999883,4392.0,1,1.8,38,37
2,average,13,27,0,3,2,0.0,0.0,183.0,2,-1.1,15,3
3,average,13,200,0,33,1,0.5999999999999912,5.999999999999912,2742.0,0,1.0,44,33
0,average,14,200,0,42,0,6.000000000000005,60.00000000000005,6378.0,0,1.0,26,42
1,average,14,200,0,34,1,1.1999999999999995,11.999999999999996,1644.0,0,1.0,33,34
2,average,14,15,1,1,0,0.0,5.000000000000002,74.0,0,-0.5,9,2
3,average,14,200,0,38,0,3.5999999999999908,35.99999999999991,4938.0,1,1.8,42,38
0,average,15,200,0,44,0,7.200000000000008,72.00000000000007,7038.0,0,1.0,41,44
1,average,15,200,1,38,1,3.5999999999999885,41.999999999999886,4140.0,0,1.5,53,39
2,average,15,200,1,34,1,1.1999999999999875,17.999999999999876,3468.0,4,0.9,61,35
3,average,15,176,0,28,3,0.0,0.0,1572.0,0,-1.0,43,28
0,average,16,200,0,44,0,7.200000000000015,72.00000000000014,7134.0,0,1.0,34,44
1,average,16,200,0,37,2,2.9999999999999893,29.999999999999893,4140.0,0,1.0,48,37
2,average,16,200,1,36,2,2.3999999999999875,29.999999999999876,4014.0,1,1.8,54,37
3,average,16,129,0,20,4,0.0,0.0,984.0,1,-1.1,32,20
0,average,17,200,0,43,0,6.600000000000019,66.00000000000018,7506.0,0,1.0,41,43
1,average,17,200,0,35,0,1.7999999999999954,17.999999999999954,2256.0,0,1.0,42,35
2,average,17,200,0,37,0,2.999999999999986,29.999999999999854,4530.0,0,1.0,48,37
3,average,17,99,0,15,1,0.0,0.0,651.0,3,-1.1,35,15
0,average,18,200,1,42,0,6.00000000000002,66.0000000000002,7500.0,0,1.5,23,43
1,average,18,75,0,11,3,0.0,0.0,597.0,3,-1.1,27,11
2,average,18,27,0,3,0,0.0,0.0,129.0,2,-1.1,18,3
3,average,18,200,0,37,1,2.9999999999999885,29.999999999999883,3858.0,0,1.0,32,37
0,average,19,200,0,47,0,9.000000000000028,90.00000000000028,9582.0,1,1.8,30,47
1,average,19,200,0,38,0,3.5999999999999894,35.99999999999989,4194.0,0,1.0,28,38
2,average,19,62,1,9,0,0.0,5.999999999999989,585.0,0,-0.5,16,10
3,average,19,15,0,1,0,0.0,0.0,75.0,1,-1.1,9,1
0,average,20,200,0,44,0,7.200000000000011,72.0000000000001,7254.0,0,1.0,19,44
1,average,20,188,0,30,0,0.0,0.0,2274.0,3,-1.1,22,30
2,average,20,27,0,3,0,0.0,0.0,153.0,3,-1.1,13,3
3,average,20,21,0,2,0,0.0,0.0,108.0,2,-1.1,11,2
0,average,21,200,0,44,0,7.20000000000002,72.0000000000002,8454.0,0,1.0,19,44
1,average,21,200,0,38,0,3.6000000000000063,36.000000000000064,5820.0,0,1.0,24,38
2,average,21,21,1,2,0,0.0,5.000000000000003,131.0,0,-1.0,10,3
3,average,21,27,0,3,0,0.0,0.0,153.0,2,-1.1,16,3
0,average,22,21,0,2,0,0.0,0.0,90.0,4,-1.1,10,2
1,average,22,39,0,5,0,0.0,0.0,225.0,1,-1.1,16,5
2,average,22,39,0,5,0,0.0,0.0,273.0,1,-1.1,10,5
3,average,22,15,0,1,0,0.0,0.0,57.0,1,-1.1,6,1
0,average,23,200,0,42,0,6.000000000000022,60.00000000000022,7410.0,0,1.0,24,42
1,average,23,200,0,34,0,1.199999999999989,11.99999999999989,2700.0,1,1.8,32,34
2,average,23,200,0,35,0,1.7999999999999954,17.999999999999954,2196.0,0,1.0,29,35
3,average,23,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.5,4,1
0,average,24,200,1,43,0,6.600000000000018,72.00000000000017,7620.0,0,1.5,15,44
1,average,24,200,0,35,0,1.7999999999999865,17.999999999999865,3438.0,0,1.0,19,35
2,average,24,21,0,2,0,0.0,0.0,114.0,3,-1.1,11,2
3,average,24,21,0,2,0,0.0,0.0,96.0,1,-1.1,15,2
0,average,25,200,1,44,0,7.200000000000032,78.00000000000031,9690.0,0,1.5,25,45
1,average,25,15,0,1,1,0.0,0.0,63.0,3,-1.1,10,1
2,average,25,122,1,19,0,0.0,5.999999999999936,1851.0,2,-1.1,29,20
3,average,25,51,0,7,1,0.0,0.0,345.0,0,-1.0,21,7
0,average,26,200,0,42,1,6.000000000000006,60.00000000000006,6696.0,0,1.0,32,42
1,average,26,200,0,35,1,1.7999999999999927,17.999999999999925,2640.0,0,1.0,36,35
2,average,26,200,0,34,0,1.1999999999999875,11.999999999999876,3612.0,2,0.9,45,34
3,average,26,39,1,5,2,0.0,5.000000000000001,278.0,0,-0.5,20,6
0,average,27,200,1,43,0,6.6000000000000165,72.00000000000016,7002.0,0,1.5,17,44
1,average,27,200,0,35,0,1.7999999999999932,17.99999999999993,2376.0,3,0.9,18,35
2,average,27,15,0,1,0,0.0,0.0,63.0,0,-1.0,6,1
3,average,27,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.5,3,1
0,average,28,200,0,43,0,6.6000000000000165,66.00000000000016,7680.0,0,1.0,24,43
1,average,28,200,1,36,0,2.39999999999999,29.9999999999999,3318.0,0,1.5,40,37
2,average,28,176,0,28,1,0.0,0.0,1524.0,2,-1.1,30,28
3,average,28,27,1,3,0,0.0,5.000000000000004,140.0,0,-0.5,11,4
0,average,29,200,0,42,0,6.000000000000008,60.00000000000008,6096.0,1,1.8,19,42
1,average,29,200,0,34,2,1.1999999999999955,11.999999999999956,2220.0,0,1.0,30,34
2,average,29,15,0,1,0,0.0,0.0,75.0,0,-1.0,9,1
3,average,29,200,0,36,0,2.39999999999999,23.9999999999999,3504.0,0,1.0,45,36
0,average,30,200,0,44,0,7.200000000000029,72.00000000000028,8844.0,1,1.8,18,44
1,average,30,51,0,7,0,0.0,0.0,231.0,3,-1.1,21,7
2,average,30,200,1,35,0,1.7999999999999865,23.999999999999865,4236.0,0,1.0,22,36
3,average,30,15,1,1,1,0.0,5.000000000000002,92.0,0,-1.0,12,2
