Metric,Test Name,Value,Type
gini_days_mean,egalitarian,0.27177250290541966,Minimum
gini_days_median,egalitarian,0.25847272259392695,Minimum
gini_days_stdev,egalitarian,0.12092507298623331,Minimum
gini_days_summary,egalitarian,0.40932015251311327,Minimum
gini_berries_mean,egalitarian,0.328103919575517,Minimum
gini_berries_median,egalitarian,0.3236965240641711,Minimum
gini_berries_stdev,egalitarian,0.12739120755639585,Minimum
gini_berries_summary,egalitarian,0.5244092360832922,Minimum
min_days_mean,egalitarian,37.952,Maximum
min_days_median,baseline,21.0,Maximum
min_days_stdev,utilitarian,30.676993365092383,Minimum
min_days_summary,egalitarian,15.04273309972347,Maximum
min_berries_mean,egalitarian,5.392,Maximum
min_berries_median,egalitarian,3.0,Maximum
min_berries_stdev,utilitarian,5.579986760938797,Minimum
min_berries_summary,egalitarian,0.7127222144717722,Maximum
max_days_mean,average,198.985,Maximum
max_days_median,baseline,200.0,Maximum
max_days_stdev,average,12.41212454964241,Minimum
max_days_summary,average,386.5728754503576,Maximum
max_berries_mean,average,43.178,Maximum
max_berries_median,maximin,43.0,Maximum
max_berries_stdev,average,3.6556366996297216,Minimum
max_berries_summary,average,82.52236330037027,Maximum
total_days_mean,egalitarian,527.508,Maximum
total_days_median,egalitarian,543.0,Maximum
total_days_stdev,average,144.86175937192095,Minimum
total_days_summary,egalitarian,919.1833189493034,Maximum
total_berries_mean,egalitarian,98.863,Maximum
total_berries_median,egalitarian,101.0,Maximum
total_berries_stdev,average,27.553254269157044,Minimum
total_berries_summary,egalitarian,170.02583378925726,Maximum
episode_length_mean,egalitarian,131.877,Maximum
episode_length_median,egalitarian,200.0,Maximum
episode_length_stdev,egalitarian,80.5337897644427,Minimum
most_common,egalitarian,22.0,
most_common_summary,egalitarian,6.0,
