episode,total_norms,cooperative_norms,proportion,reward,numerosity,fitness
1,10,0,0.0,8218.499999999993,43450,2396640.6000000015
2,44,2,4.545454545454546,4345.000000000001,25886,201204.15000000002
3,13,0,0.0,4062.6999999999985,27463,1045327.2599999997
4,6,0,0.0,142.59999999999997,942,1225.3800000000006
5,12,0,0.0,5416.000000000001,28615,1350105.5999999999
6,13,0,0.0,5848.799999999999,31674,4371213.659999999
7,17,0,0.0,1648.2999999999995,10265,69945.83999999997
8,19,0,0.0,9817.5,50281,2125842.3600000003
9,23,0,0.0,4404.5,27708,476411.6999999998
10,9,0,0.0,253.59999999999997,1534,927.63
11,17,0,0.0,4394.999999999999,21364,437100.24000000005
12,18,0,0.0,8139.999999999996,44307,812199.3300000011
13,12,0,0.0,5152.500000000004,29573,3047950.2900000005
14,6,0,0.0,3197.7999999999975,20694,388033.88999999926
15,25,0,0.0,4618.5,31855,779789.1299999991
16,16,0,0.0,5605.6,37166,657828.5399999998
17,11,0,0.0,3622.4000000000015,28365,389410.2600000004
18,29,1,3.4482758620689653,6865.699999999995,41095,1829839.0199999996
19,20,0,0.0,6326.199999999996,32272,790434.3899999999
20,13,0,0.0,4482.100000000004,23812,872653.8899999984
21,19,1,5.263157894736842,9997.400000000001,42848,3858355.8900000006
22,10,0,0.0,283.5,1996,1988.8200000000004
23,9,0,0.0,3414.0999999999985,25025,328373.91000000015
24,14,0,0.0,6644.999999999999,32863,3965489.399999999
25,14,0,0.0,1541.9000000000003,9380,36444.90000000001
26,10,0,0.0,2216.5,18383,51727.649999999994
27,11,0,0.0,4226.499999999993,25269,1223957.4299999974
28,22,0,0.0,6170.600000000005,31680,457184.63999999966
29,9,0,0.0,4839.2999999999965,28572,683827.1399999993
30,13,0,0.0,1819.4999999999989,11264,52505.24999999999
31,16,0,0.0,6814.699999999997,29709,1442215.1999999993
32,13,0,0.0,8228.900000000005,44626,3795293.8200000026
33,13,0,0.0,4792.5999999999985,24427,2391699.3
34,15,0,0.0,3271.799999999999,22316,464152.68000000005
35,16,2,12.5,4506.833333333329,22026,1122006.6
36,23,1,4.3478260869565215,3528.7333333333313,16427,42603.45000000004
37,15,0,0.0,6811.700000000003,33953,1165871.8199999998
38,12,0,0.0,7707.400000000003,33121,7646126.699999999
39,8,0,0.0,200.8,1411,1180.7399999999998
40,19,2,10.526315789473683,2967.0000000000005,15049,128581.92000000003
41,14,0,0.0,3452.6000000000004,15835,70496.34000000011
42,18,0,0.0,7793.299999999997,41774,1110738.8400000015
43,7,0,0.0,6108.899999999992,28005,2316714.720000005
44,25,0,0.0,7474.600000000001,33707,1084447.0500000003
45,27,0,0.0,4372.899999999999,26231,714312.0000000005
46,17,0,0.0,4142.500000000001,24954,211765.83000000002
47,5,0,0.0,3510.4999999999955,20812,774836.7900000012
48,17,0,0.0,5161.800000000002,26211,2640959.429999999
49,23,0,0.0,4783.100000000002,25474,342625.02
50,14,0,0.0,9150.800000000001,47687,3915937.4700000044
51,20,0,0.0,10341.800000000007,48855,2463990.659999999
52,8,0,0.0,27.0,480,710.4
53,19,0,0.0,7878.400000000001,36207,6304745.670000001
54,18,0,0.0,11214.6,53531,4730054.9399999995
55,11,0,0.0,8672.60000000001,39700,1869736.1699999992
56,7,0,0.0,3661.9,14579,515770.559999999
57,10,0,0.0,4114.3,21858,343391.4
58,24,0,0.0,5295.5,31816,243091.62000000017
59,16,0,0.0,6388.5000000000055,33070,259825.76999999996
60,13,0,0.0,125.80000000000001,1401,1719.06
61,11,0,0.0,5531.700000000003,34051,554607.7799999999
62,15,1,6.666666666666667,5067.600000000002,28461,677449.4099999989
63,21,0,0.0,8289.599999999999,39632,1711235.4900000007
64,21,0,0.0,5012.2000000000035,25194,339174.8400000001
65,11,0,0.0,8616.7,40234,3817633.7099999995
66,18,0,0.0,5909.900000000001,30359,3655809.5699999994
67,12,0,0.0,7298.299999999992,39326,4321271.159999998
68,7,0,0.0,11.5,264,64.95
69,33,1,3.0303030303030303,5683.899999999999,36604,384778.3499999997
70,2,0,0.0,31.5,370,723.45
71,11,0,0.0,1976.5,22260,291469.1999999999
72,30,0,0.0,5194.0,33749,216269.76000000007
73,10,0,0.0,7055.999999999991,33520,3051995.879999997
