norm,reward,numerosity,fitness,num_instances_across_episodes
"IF,medium berries,medium health,low days,low days,low days,THEN,throw",41522.400000000016,64176,174133.53000000026,219
"IF,medium berries,medium health,low days,low days,medium days,THEN,throw",4015.200000000001,6328,7415.4000000000015,45
"IF,medium berries,medium health,low days,medium days,low days,THEN,throw",2527.300000000003,4221,4389.1199999999935,21
"IF,medium berries,medium health,medium days,low days,low days,THEN,throw",1310.9000000000024,1957,758.3100000000019,12
"IF,medium berries,high health,medium days,medium days,high days,THEN,throw",37.5,75,375.0,1
"IF,medium berries,medium health,medium days,high days,THEN,throw",5.399999999999998,54,30.24,1
"IF,medium berries,high health,high days,low days,THEN,throw",36.0,72,0.0,2
"IF,medium berries,medium health,low days,medium days,medium days,THEN,throw",464.20000000000067,618,0.0,4
"IF,medium berries,low health,low days,medium days,low days,THEN,throw",-145.19999999999982,1452,0.0,10
"IF,medium berries,medium health,high days,low days,THEN,throw",7.200000000000002,36,0.0,1
"IF,medium berries,medium health,high days,medium days,THEN,throw",18.2,26,0.0,1
"IF,medium berries,medium health,medium days,medium days,medium days,THEN,throw",58.200000000000095,194,0.0,1
"IF,medium berries,medium health,low days,low days,THEN,throw",226.60000000000053,358,0.0,2
"IF,medium berries,medium health,medium days,low days,medium days,THEN,throw",6.0,12,0.0,1
"IF,medium berries,low health,low days,low days,THEN,throw",-6.600000000000001,66,-0.72,3
"IF,medium berries,low health,medium days,low days,low days,THEN,throw",-80.59999999999987,806,-2.8800000000000017,7
"IF,medium berries,low health,medium days,low days,medium days,THEN,throw",-73.69999999999989,737,-17.87999999999997,4
"IF,medium berries,low health,low days,medium days,medium days,THEN,throw",-247.49999999999955,2475,-171.24000000000038,9
"IF,medium berries,low health,low days,low days,medium days,THEN,throw",-151.19999999999987,1512,-281.51999999999947,8
"IF,medium berries,low health,low days,low days,low days,THEN,throw",-12321.400000000005,79194,-58491.50999999999,255
