episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived
1,41.0,8208.0,3001.0,12004.0,1,43,20.25,81,10,200,105.0,420
2,36.0,3918.0,1393.5,5574.0,0,37,18.0,72,9,200,107.5,430
3,81.0,1170.0,407.0,1628.0,1,18,6.75,27,15,116,46.25,185
4,104.0,8100.0,3150.5,12602.0,3,44,24.5,98,15,200,124.0,496
5,71.0,1110.0,336.5,1346.0,1,14,4.5,18,9,92,34.25,137
6,120.0,4020.0,1114.0,4456.0,2,35,11.0,44,21,200,65.75,263
7,41.0,3612.0,959.0,3836.0,1,37,10.25,41,9,200,61.25,245
8,98.0,6774.0,3471.5,13886.0,2,43,29.25,117,15,200,153.75,615
9,65.0,960.0,335.0,1340.0,1,20,7.0,28,9,129,49.5,198
10,74.0,4104.0,1114.0,4456.0,2,36,11.75,47,9,200,68.75,275
11,221.0,6582.0,2864.75,11459.0,7,43,25.75,103,45,200,137.5,550
12,69.0,7014.0,1898.5,7594.0,1,38,13.0,52,15,200,74.75,299
13,77.0,2322.0,729.25,2917.0,1,35,12.5,50,9,200,76.25,305
14,41.0,572.0,184.25,737.0,1,12,4.0,16,9,75,25.5,102
15,168.0,5250.0,2427.0,9708.0,4,42,26.5,106,33,200,149.25,597
16,294.0,9828.0,3693.75,14775.0,8,45,26.25,105,57,200,139.0,556
17,59.0,5760.0,2213.75,8855.0,2,42,21.0,84,9,200,107.5,430
18,104.0,2334.0,702.25,2809.0,2,34,11.25,45,15,200,70.25,281
19,99.0,4500.0,1213.0,4852.0,1,36,10.75,43,15,200,62.75,251
20,138.0,504.0,289.5,1158.0,2,8,5.5,22,21,57,41.75,167
21,75.0,1272.0,408.25,1633.0,1,22,7.25,29,9,141,49.5,198
22,53.0,4716.0,2396.75,9587.0,1,40,21.0,84,9,200,110.5,442
23,122.0,1455.0,765.5,3062.0,3,21,13.25,53,15,134,85.0,340
24,47.0,6402.0,2430.5,9722.0,1,41,20.5,82,9,200,109.0,436
25,71.0,4044.0,1183.0,4732.0,1,37,12.75,51,9,200,74.75,299
26,131.0,3270.0,945.0,3780.0,3,35,11.75,47,21,200,70.25,281
27,174.0,2592.0,865.0,3460.0,4,35,13.25,53,27,200,80.75,323
28,110.0,6576.0,3272.0,13088.0,2,44,29.75,119,15,200,153.75,615
29,77.0,4092.0,1305.5,5222.0,1,38,16.0,64,9,200,94.25,377
30,77.0,5064.0,2065.25,8261.0,1,39,20.0,80,9,200,110.5,442
31,83.0,207.0,156.0,624.0,2,5,4.25,17,9,39,28.5,114
32,87.0,951.0,370.75,1483.0,1,15,6.25,25,15,98,43.25,173
33,63.0,108.0,79.25,317.0,1,2,1.25,5,9,21,15.0,60
34,216.0,3984.0,1248.25,4993.0,4,34,13.5,54,33,200,82.25,329
