day,baseline,egalitarian,maximin,utilitarian,all_principles,multiobjective_mp
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.009,0.001,0.004,0.003,0.001,0.016
3.0,0.024,0.003,0.043,0.009,0.009,0.079
4.0,0.037,0.011,0.097,0.01,0.031,0.12
5.0,0.088,0.041,0.143,0.124,0.202,0.225
6.0,0.195,0.267,0.257,0.453,0.509,0.462
7.0,0.325,0.482,0.448,0.654,0.674,0.665
8.0,0.539,0.648,0.778,0.808,0.812,0.85
9.0,0.741,0.894,0.918,0.889,0.9,0.968
10.0,1.0615384615384615,1.0770128354725788,1.0850340136054422,1.0248306997742664,1.0634920634920635,1.1243063263041067
11.0,1.1316526610644257,1.192532088681447,1.1462585034013606,1.1399548532731376,1.2108843537414966,1.237513873473918
12.0,1.2591036414565826,1.411901983663944,1.2619047619047619,1.4108352144469527,1.465986394557823,1.4495005549389568
13.0,1.4075630252100841,1.631271878646441,1.4478458049886622,1.608352144469526,1.6587301587301588,1.6470588235294117
14.0,1.6624649859943978,1.7981330221703618,1.6791383219954648,1.752821670428894,1.7857142857142858,1.827968923418424
15.0,1.8557422969187676,1.9789964994165694,1.844671201814059,1.8803611738148984,1.8934240362811792,1.955604883462819
16.0,2.1033274956217163,2.181462140992167,2.1141226818830243,2.0471821756225426,2.0978552278820377,2.169250645994832
17.0,2.178633975481611,2.327676240208877,2.1914285714285713,2.187418086500655,2.2496644295302013,2.2816537467700257
18.0,2.297723292469352,2.5417754569190603,2.3114285714285714,2.419397116644823,2.457718120805369,2.4728682170542635
19.0,2.455341506129597,2.7284595300261096,2.49,2.581913499344692,2.636241610738255,2.661498708010336
20.0,2.6532399299474605,2.881201044386423,2.7014285714285715,2.739187418086501,2.7825503355704697,2.8268733850129197
21.0,2.8473684210526318,3.0679738562091505,2.855714285714286,2.875491480996068,2.895302013422819,2.956072351421189
22.0,3.1176470588235294,3.275320970042796,3.165745856353591,3.067901234567901,3.1423948220064726,3.1993817619783615
23.0,3.183257918552036,3.4379457917261056,3.248618784530387,3.175925925925926,3.2605177993527508,3.3421052631578947
24.0,3.3076923076923075,3.6319543509272467,3.3609576427255985,3.390432098765432,3.5064724919093853,3.5526315789473686
