,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,num_norms,count
0,1.0,0.0,0.06306306306306306,0.0,0.0,0.7000000000000001,7.378378378378378,15.378378378378379,0.0,999
1,1.0,1.0,0.03403403403403404,0.0,0.0,0.7000000000000001,7.2042042042042045,15.204204204204204,0.0,999
2,1.0,2.0,0.04104104104104104,0.0,0.0,0.7000000000000001,7.246246246246246,15.246246246246246,0.0,999
3,1.0,3.0,0.037037037037037035,0.0,0.0,0.7000000000000001,7.222222222222222,15.222222222222221,0.0,999
4,2.0,0.0,0.213,0.027,0.062,0.6163000000000001,7.441000000000001,22.734,0.0,1000
5,2.0,1.0,0.094,0.001,0.034,0.6007,6.571000000000001,21.762,0.0,1000
6,2.0,2.0,0.17,0.069,0.001,0.6415000000000001,7.4350000000000005,22.554,0.0,1000
7,2.0,3.0,0.088,0.07,0.036,0.6421000000000001,6.949000000000001,21.972,0.0,1000
8,3.0,0.0,0.3,0.093,0.26,0.5559000000000001,7.359000000000001,29.871,0.0,1000
9,3.0,1.0,0.161,0.009,0.122,0.5055000000000001,6.021000000000001,27.777,0.0,1000
10,3.0,2.0,0.24,0.278,0.002,0.6669,8.109,30.435,0.0,1000
11,3.0,3.0,0.176,0.299,0.113,0.6795000000000001,7.851,29.205,0.0,1000
12,4.0,0.0,0.555,0.096,0.278,0.45770000000000005,7.907,37.766,0.0,1000
13,4.0,1.0,0.317,0.031,0.124,0.4187000000000001,6.089000000000001,33.866,0.0,1000
14,4.0,2.0,0.278,0.508,0.002,0.7049000000000001,8.717,39.086,0.0,1000
15,4.0,3.0,0.268,0.377,0.149,0.6263000000000001,7.871,37.004,0.0,1000
16,5.0,0.0,0.617,0.202,0.31,0.42130000000000006,7.915,45.681,0.0,1000
17,5.0,1.0,0.308,0.214,0.125,0.42850000000000005,6.133000000000001,39.999,0.0,1000
18,5.0,2.0,0.23,0.799,0.002,0.7795,9.175,48.129,0.0,1000
19,5.0,3.0,0.287,0.514,0.2,0.6085000000000002,7.807,44.673,0.0,1000
20,6.0,0.0,0.337,0.607,0.329,0.5643,7.665000000000001,53.34,0.0,1000
21,6.0,1.0,0.181,0.509,0.126,0.5055000000000001,6.141000000000001,46.14,0.0,1000
22,6.0,2.0,0.18,1.068,0.003,0.8409000000000001,9.489,57.438,0.0,1000
23,6.0,3.0,0.298,0.638,0.257,0.5829000000000001,7.617000000000001,52.23,0.0,1000
24,7.0,0.0,0.232,0.847,0.354,0.6083000000000002,7.4750000000000005,60.797,0.0,1000
25,7.0,1.0,0.169,0.674,0.134,0.5045000000000001,6.059000000000001,52.199,0.0,1000
26,7.0,2.0,0.194,1.25,0.003,0.8501000000000001,9.665,66.989,0.0,1000
27,7.0,3.0,0.286,0.789,0.3,0.5735000000000001,7.4510000000000005,59.573,0.0,1000
28,8.0,0.0,0.276,0.958,0.433,0.5749000000000002,7.405000000000002,68.16,0.0,1000
29,8.0,1.0,0.154,0.812,0.16,0.4873000000000002,5.7970000000000015,57.984,0.0,1000
30,8.0,2.0,0.254,1.432,0.004,0.8593,10.117,76.914,0.0,1000
31,8.0,3.0,0.213,1.038,0.352,0.6229000000000001,7.507000000000001,66.828,0.0,1000
32,9.0,0.0,0.27,1.045,0.588,0.5298000000000002,6.901000000000001,74.935,0.0,1000
