episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries
1,110.0,6210.0,3561.5,14246.0,2,38,28.25,113
2,102.0,4734.0,1377.5,5510.0,2,36,12.25,49
3,108.0,2976.0,1041.5,4166.0,2,33,13.25,53
4,83.0,5538.0,3151.25,12605.0,1,39,28.0,112
5,36.0,3030.0,1347.0,5388.0,0,36,17.25,69
6,77.0,2142.0,725.0,2900.0,1,34,11.5,46
7,41.0,10320.0,4494.5,17978.0,1,43,25.75,103
8,71.0,6612.0,3850.25,15401.0,2,40,29.0,116
9,92.0,7536.0,3107.5,12430.0,2,44,23.75,95
10,57.0,5976.0,2097.0,8388.0,1,42,20.75,83
11,36.0,9588.0,2447.25,9789.0,0,47,12.5,50
12,84.0,7176.0,3270.75,13083.0,2,46,28.5,114
13,80.0,4590.0,2669.0,10676.0,2,38,28.25,113
14,87.0,3408.0,1533.5,6134.0,1,36,18.5,74
15,447.0,4392.0,1555.5,6222.0,11,37,18.25,73
16,57.0,6900.0,2182.5,8730.0,1,44,19.0,76
17,110.0,4362.0,1370.0,5480.0,2,39,15.25,61
18,81.0,2544.0,791.0,3164.0,1,34,11.5,46
19,59.0,3762.0,2390.75,9563.0,1,40,28.25,113
20,71.0,7326.0,2995.25,11981.0,1,43,21.75,87
21,59.0,8982.0,3386.75,13547.0,1,46,22.25,89
22,69.0,3078.0,1491.5,5966.0,1,35,17.75,71
23,36.0,7368.0,3086.0,12344.0,0,44,24.5,98
24,143.0,9102.0,3473.0,13892.0,3,45,22.75,91
25,141.0,8790.0,3039.5,12158.0,3,43,21.5,86
26,102.0,9360.0,3494.0,13976.0,2,45,22.0,88
27,197.0,3768.0,1284.5,5138.0,3,36,15.0,60
28,80.0,5190.0,2119.0,8476.0,2,37,20.5,82
29,53.0,8742.0,3628.25,14513.0,1,44,23.0,92
30,104.0,4230.0,1217.75,4871.0,2,38,12.0,48
31,47.0,9948.0,3213.5,12854.0,1,45,22.0,88
32,147.0,2706.0,832.25,3329.0,3,33,11.0,44
33,71.0,3660.0,1166.75,4667.0,1,36,12.75,51
34,194.0,5838.0,2212.25,8849.0,4,40,21.0,84
35,36.0,8796.0,2328.0,9312.0,0,47,14.25,57
36,480.0,2934.0,1232.25,4929.0,8,35,16.25,65
37,164.0,1923.0,685.75,2743.0,4,25,10.75,43
38,135.0,8442.0,3488.0,13952.0,3,44,22.5,90
39,504.0,6300.0,2619.0,10476.0,9,42,24.75,99
40,77.0,3462.0,1038.5,4154.0,2,34,11.75,47
41,371.0,5004.0,2761.25,11045.0,7,39,27.0,108
42,104.0,5244.0,2910.5,11642.0,2,40,28.0,112
43,83.0,5316.0,2810.75,11243.0,1,38,27.5,110
44,41.0,8802.0,3769.75,15079.0,1,45,23.0,92
45,36.0,8034.0,3114.0,12456.0,0,42,21.75,87
46,411.0,4488.0,1724.75,6899.0,7,37,16.75,67
47,104.0,2196.0,679.25,2717.0,2,35,11.0,44
48,74.0,7512.0,3749.0,14996.0,2,42,29.25,117
49,41.0,6378.0,1658.0,6632.0,1,42,11.5,46
50,47.0,9948.0,3833.0,15332.0,1,44,22.0,88
51,138.0,4434.0,1305.75,5223.0,2,36,12.75,51
52,155.0,6306.0,3865.25,15461.0,3,40,29.5,118
53,36.0,4674.0,2974.5,11898.0,0,39,28.0,112
54,84.0,4356.0,1330.25,5321.0,2,39,14.5,58
55,519.0,9774.0,4218.75,16875.0,9,46,26.0,104
56,47.0,10326.0,3666.25,14665.0,1,46,22.0,88
57,65.0,3150.0,956.75,3827.0,1,33,11.0,44
58,278.0,4200.0,1928.0,7712.0,4,36,20.75,83
59,90.0,7776.0,2415.75,9663.0,2,43,17.0,68
60,147.0,4992.0,1447.25,5789.0,3,38,12.75,51
61,129.0,5454.0,3152.25,12609.0,3,39,28.75,115
62,255.0,1782.0,697.5,2790.0,5,33,12.75,51
63,195.0,4896.0,1764.0,7056.0,3,40,17.0,68
64,77.0,6828.0,2647.25,10589.0,2,43,23.5,94
65,83.0,6366.0,3256.25,13025.0,1,40,28.5,114
66,90.0,9540.0,3327.0,13308.0,2,47,22.75,91
67,47.0,5988.0,2252.75,9011.0,1,39,19.5,78
68,99.0,8718.0,3879.75,15519.0,1,45,24.25,97
69,42.0,7770.0,2965.25,11861.0,0,42,20.75,83
70,98.0,2358.0,737.75,2951.0,2,35,11.5,46
71,141.0,4698.0,2028.0,8112.0,3,38,22.75,91
72,71.0,10212.0,4211.75,16847.0,2,46,22.75,91
73,59.0,6270.0,3224.75,12899.0,1,41,26.0,104
74,80.0,4146.0,1295.5,5182.0,2,35,12.75,51
75,87.0,7080.0,1866.75,7467.0,1,41,12.0,48
76,83.0,6120.0,2942.0,11768.0,2,42,25.0,100
77,41.0,474.0,256.75,1027.0,1,10,5.25,21
78,53.0,6744.0,3356.0,13424.0,1,43,27.0,108
79,65.0,9222.0,3264.5,13058.0,1,45,22.0,88
80,93.0,5076.0,1371.5,5486.0,1,38,11.0,44
81,81.0,7704.0,2951.25,11805.0,1,42,21.25,85
82,41.0,528.0,219.5,878.0,1,8,4.0,16
83,134.0,7524.0,3269.0,13076.0,2,43,24.0,96
84,57.0,5376.0,2184.5,8738.0,1,40,22.0,88
85,534.0,4506.0,2124.5,8498.0,9,36,22.5,90
86,77.0,5856.0,2992.25,11969.0,2,39,27.75,111
87,41.0,7824.0,2003.75,8015.0,1,42,11.25,45
88,83.0,7800.0,3994.25,15977.0,2,44,29.25,117
89,59.0,5034.0,2923.25,11693.0,2,38,27.75,111
90,311.0,11334.0,4730.0,18920.0,5,47,24.25,97
91,135.0,6048.0,1823.5,7294.0,3,40,15.5,62
92,69.0,4746.0,2628.75,10515.0,1,38,27.5,110
93,36.0,5784.0,2867.25,11469.0,0,41,25.75,103
94,68.0,8220.0,2176.25,8705.0,2,44,13.25,53
95,92.0,3702.0,1213.0,4852.0,2,36,14.75,59
96,77.0,8778.0,3259.25,13037.0,2,44,22.0,88
97,108.0,7368.0,2708.25,10833.0,2,43,21.75,87
98,113.0,2124.0,727.25,2909.0,3,28,10.75,43
99,41.0,6522.0,2927.75,11711.0,1,42,21.75,87
100,542.0,6372.0,3236.0,12944.0,7,43,28.5,114
101,86.0,3360.0,936.25,3745.0,2,35,10.75,43
102,68.0,8412.0,3160.25,12641.0,2,44,22.25,89
103,110.0,4662.0,2900.0,11600.0,2,38,28.25,113
104,36.0,9582.0,3414.5,13658.0,0,45,22.0,88
105,53.0,5358.0,2986.25,11945.0,1,38,28.0,112
106,141.0,4176.0,1911.75,7647.0,3,35,20.75,83
107,242.0,7866.0,3728.75,14915.0,5,44,25.5,102
108,119.0,4632.0,1603.75,6415.0,3,40,15.25,61
109,42.0,6198.0,1602.5,6410.0,0,39,10.25,41
110,71.0,5394.0,2975.75,11903.0,1,39,28.25,113
111,47.0,8262.0,3031.0,12124.0,1,44,22.75,91
112,71.0,6204.0,2591.75,10367.0,1,42,23.75,95
113,36.0,1764.0,501.75,2007.0,0,23,6.5,26
114,203.0,5298.0,1793.0,7172.0,5,40,18.0,72
115,65.0,3078.0,894.5,3578.0,1,34,10.5,42
116,47.0,10188.0,3855.5,15422.0,1,46,22.75,91
117,206.0,7104.0,3754.25,15017.0,4,42,29.25,117
118,47.0,4788.0,3160.25,12641.0,1,38,27.5,110
119,110.0,1650.0,734.0,2936.0,2,25,11.25,45
120,975.0,7020.0,3878.25,15513.0,10,42,29.5,118
121,245.0,6462.0,3604.25,14417.0,3,40,29.0,116
122,65.0,5826.0,2807.75,11231.0,1,43,25.5,102
123,71.0,9720.0,3682.25,14729.0,1,46,23.0,92
124,110.0,4422.0,1466.75,5867.0,2,36,15.25,61
125,71.0,4962.0,3128.75,12515.0,1,39,27.5,110
126,41.0,3924.0,1596.5,6386.0,1,39,18.0,72
127,41.0,1140.0,417.5,1670.0,1,20,7.5,30
128,137.0,6570.0,1847.0,7388.0,3,41,14.25,57
129,71.0,4830.0,2735.75,10943.0,1,40,28.0,112
130,47.0,3720.0,1384.75,5539.0,1,36,16.75,67
131,47.0,5382.0,2419.25,9677.0,1,38,19.75,79
132,65.0,5280.0,2903.75,11615.0,1,39,28.0,112
133,75.0,4872.0,1352.0,5408.0,1,42,12.75,51
134,134.0,3354.0,1049.75,4199.0,2,36,11.75,47
135,53.0,4716.0,2755.25,11021.0,1,39,27.75,111
136,185.0,3078.0,1126.25,4505.0,4,34,15.0,60
137,47.0,4224.0,2437.25,9749.0,1,38,26.5,106
138,164.0,4998.0,2414.0,9656.0,4,37,23.5,94
139,245.0,4110.0,2804.75,11219.0,4,39,28.75,115
140,36.0,7398.0,2853.75,11415.0,0,42,20.75,83
141,102.0,5520.0,3123.0,12492.0,2,38,28.75,115
142,209.0,6588.0,3097.25,12389.0,4,42,26.0,104
143,98.0,9510.0,4001.0,16004.0,2,46,23.0,92
144,110.0,5934.0,3318.5,13274.0,2,39,28.25,113
145,195.0,4416.0,1293.75,5175.0,3,37,12.0,48
146,75.0,9630.0,3596.0,14384.0,1,46,22.0,88
147,87.0,2598.0,1428.75,5715.0,1,35,19.5,78
148,170.0,2031.0,813.5,3254.0,4,29,13.0,52
149,75.0,1329.0,439.5,1758.0,1,21,7.0,28
150,47.0,279.0,144.5,578.0,1,7,3.0,12
151,131.0,2442.0,789.5,3158.0,3,34,12.0,48
