episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived
1,257.0,6594.0,1890.25,7561.0,7,43,16.0,64,46,200,85.75,343
2,138.0,8412.0,2258.25,9033.0,2,44,13.75,55,21,200,73.25,293
3,92.0,10800.0,3860.75,15443.0,2,46,22.0,88,15,200,110.5,442
4,138.0,9522.0,3384.75,13539.0,4,47,22.75,91,26,200,114.75,459
5,36.0,5328.0,1513.25,6053.0,0,39,12.5,50,9,200,71.75,287
6,108.0,354.0,257.0,1028.0,2,8,5.0,20,21,57,37.25,149
7,36.0,9276.0,3432.0,13728.0,0,46,22.0,88,9,200,113.5,454
8,42.0,6600.0,1878.5,7514.0,0,43,14.5,58,9,200,76.0,304
9,137.0,8934.0,3614.0,14456.0,3,47,22.5,90,21,200,112.0,448
10,36.0,7338.0,2610.0,10440.0,0,40,19.0,76,9,200,107.5,430
11,36.0,6894.0,2725.25,10901.0,0,43,21.5,86,9,200,116.5,466
12,195.0,7680.0,2105.0,8420.0,3,44,15.25,61,27,200,79.25,317
13,36.0,9174.0,2362.75,9451.0,0,48,13.5,54,9,200,61.25,245
14,63.0,7770.0,2109.25,8437.0,1,43,14.25,57,15,200,73.25,293
15,68.0,7692.0,2303.75,9215.0,2,43,15.5,62,15,200,83.5,334
16,113.0,10512.0,2892.25,11569.0,3,49,16.0,64,21,200,76.0,304
17,224.0,6732.0,3756.5,15026.0,6,41,30.25,121,39,200,159.75,639
18,246.0,10464.0,2991.5,11966.0,6,46,18.5,74,45,200,94.0,376
19,42.0,8028.0,2067.75,8271.0,0,44,11.75,47,9,200,61.25,245
20,80.0,5046.0,2137.0,8548.0,2,40,20.25,81,15,200,110.5,442
21,120.0,7086.0,2792.0,11168.0,2,43,21.25,85,21,200,112.0,448
22,81.0,8976.0,3154.5,12618.0,1,43,22.0,88,15,200,116.5,466
23,81.0,9222.0,3227.25,12909.0,1,44,21.5,86,15,200,112.0,448
24,41.0,8208.0,2112.75,8451.0,1,45,12.5,50,9,200,59.75,239
25,42.0,8772.0,2490.5,9962.0,0,45,14.75,59,9,200,76.0,304
26,75.0,8736.0,2568.5,10274.0,1,38,16.0,64,15,200,91.0,364
27,41.0,7362.0,3509.0,14036.0,1,43,28.0,112,9,200,147.75,591
28,36.0,8238.0,2955.75,11823.0,0,44,22.5,90,9,200,121.0,484
29,132.0,8730.0,2316.0,9264.0,2,45,13.75,55,21,200,71.75,287
30,47.0,7752.0,3141.25,12565.0,1,43,21.0,84,9,200,109.0,436
31,63.0,6690.0,1931.75,7727.0,1,42,15.25,61,15,200,80.5,322
32,126.0,10332.0,4079.25,16317.0,2,48,26.25,105,21,200,129.75,519
33,114.0,8100.0,3025.5,12102.0,2,43,24.0,96,21,200,128.5,514
34,81.0,9606.0,3483.75,13935.0,1,46,21.25,85,15,200,109.0,436
35,36.0,6342.0,2370.0,9480.0,0,42,20.75,83,9,200,113.5,454
36,92.0,7050.0,2599.75,10399.0,2,43,23.5,94,15,200,127.0,508
37,36.0,7740.0,2879.25,11517.0,0,41,20.25,81,9,200,109.0,436
38,92.0,7734.0,2033.5,8134.0,2,44,13.25,53,15,200,65.75,263
39,155.0,8100.0,3359.5,13438.0,3,42,24.0,96,21,200,119.5,478
40,36.0,9888.0,4494.0,17976.0,0,46,30.25,121,9,200,152.25,609
41,96.0,7644.0,2410.25,9641.0,2,44,17.25,69,15,200,92.5,370
42,41.0,8232.0,3503.0,14012.0,1,44,25.0,100,9,200,129.75,519
43,87.0,5796.0,2172.0,8688.0,1,41,19.75,79,15,200,110.25,441
44,41.0,8724.0,3402.25,13609.0,1,45,22.25,89,9,200,109.0,436
45,68.0,6972.0,2467.25,9869.0,2,41,20.75,83,15,200,110.5,442
46,126.0,7896.0,3153.0,12612.0,2,44,22.75,91,21,200,119.5,478
47,36.0,10254.0,3593.0,14372.0,0,44,21.0,84,9,200,106.0,424
48,107.0,8238.0,2177.0,8708.0,3,42,13.0,52,21,200,70.25,281
49,36.0,10542.0,3751.5,15006.0,0,46,22.25,89,9,200,113.5,454
50,69.0,10836.0,4050.0,16200.0,1,47,22.0,88,15,200,107.5,430
51,75.0,6090.0,1795.25,7181.0,1,42,16.25,65,15,200,89.75,359
52,36.0,11808.0,3980.25,15921.0,0,49,26.0,104,9,200,130.0,520
53,189.0,9216.0,3252.0,13008.0,3,44,22.75,91,27,200,119.5,478
54,36.0,7968.0,2864.0,11456.0,0,40,19.5,78,9,200,106.0,424
55,75.0,8664.0,4094.25,16377.0,1,44,29.5,118,15,200,153.75,615
56,222.0,11016.0,4719.0,18876.0,6,47,25.5,102,45,200,125.25,501
57,41.0,9132.0,2355.0,9420.0,1,47,13.25,53,9,200,61.25,245
58,102.0,8460.0,2345.75,9383.0,2,45,16.5,66,21,200,86.75,347
59,87.0,5784.0,1628.75,6515.0,1,40,14.0,56,15,200,77.75,311
60,36.0,10704.0,4081.5,16326.0,0,46,22.75,91,9,200,113.5,454
61,152.0,6258.0,2748.25,10993.0,4,42,23.0,92,27,200,121.0,484
62,69.0,6894.0,1814.75,7259.0,1,42,12.5,50,15,200,65.75,263
63,81.0,9204.0,4057.5,16230.0,1,45,22.25,89,15,200,110.5,442
64,63.0,3882.0,1069.0,4276.0,1,35,11.25,45,15,200,68.75,275
65,41.0,6642.0,1789.25,7157.0,1,41,13.0,52,9,200,71.75,287
66,36.0,4050.0,1091.5,4366.0,0,37,10.75,43,9,200,62.75,251
67,87.0,8220.0,2993.25,11973.0,1,42,21.0,84,15,200,109.0,436
68,108.0,9342.0,3035.25,12141.0,2,45,23.5,94,21,200,127.0,508
