,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,num_norms,count
0,1.0,0.0,0.06406406406406406,0.0,0.0,0.7000000000000001,7.384384384384385,15.384384384384385,1.0,999
1,1.0,1.0,0.025025025025025027,0.0,0.0,0.7000000000000001,7.15015015015015,15.15015015015015,1.0,999
2,1.0,2.0,0.03303303303303303,0.0,0.0,0.7000000000000001,7.198198198198198,15.198198198198199,1.0,999
3,1.0,3.0,0.03303303303303303,0.0,0.0,0.7000000000000001,7.198198198198198,15.198198198198199,1.0,999
4,2.0,0.0,0.208,0.067,0.002,0.6403000000000001,7.651000000000001,23.004,1.241,1000
5,2.0,1.0,0.094,0.053,0.004,0.6319000000000001,6.883000000000001,21.948,1.288,1000
6,2.0,2.0,0.109,0.032,0.003,0.6193000000000001,6.847000000000001,22.038,1.493,1000
7,2.0,3.0,0.074,0.003,0.033,0.6019000000000001,6.463000000000001,21.648,1.451,1000
8,3.0,0.0,0.312,0.308,0.005,0.6849000000000001,8.721,31.599,1.759,1000
9,3.0,1.0,0.178,0.19,0.016,0.6141000000000001,7.2090000000000005,29.007,1.772,1000
10,3.0,2.0,0.233,0.122,0.022,0.5733,7.131000000000001,29.127,1.988,1000
11,3.0,3.0,0.154,0.009,0.106,0.5055000000000001,5.979000000000001,27.627,1.954,1000
12,4.0,0.0,0.246,0.612,0.005,0.7673000000000001,9.149,40.748,2.662,1000
13,4.0,1.0,0.215,0.357,0.018,0.6143000000000001,7.433,36.44,2.707,1000
14,4.0,2.0,0.286,0.275,0.022,0.5651,7.367,36.482,2.954,1000
15,4.0,3.0,0.323,0.01,0.106,0.40610000000000007,5.9990000000000006,33.626,2.953,1000
16,5.0,0.0,0.186,0.858,0.005,0.8149,9.265,50.013,3.156,1000
17,5.0,1.0,0.167,0.57,0.02,0.6421,7.423,43.863,3.319,1000
18,5.0,2.0,0.35,0.426,0.022,0.5557000000000001,7.657,44.133,3.568,1000
19,5.0,3.0,0.38,0.124,0.106,0.3745000000000001,6.025000000000001,39.651,3.649,1000
20,6.0,0.0,0.194,1.044,0.005,0.8265,9.429,59.442,3.372,1000
21,6.0,1.0,0.119,0.734,0.023,0.6405000000000001,7.119000000000001,50.982,3.73,1000
22,6.0,2.0,0.372,0.576,0.022,0.5457000000000001,7.689000000000001,51.822,4.058,1000
23,6.0,3.0,0.226,0.453,0.106,0.4719000000000001,6.075000000000002,45.726,4.309,1000
24,7.0,0.0,0.224,1.24,0.005,0.8441000000000001,9.785,69.209,3.588,1000
25,7.0,1.0,0.107,0.85,0.029,0.6101,6.743000000000001,57.713,4.052,1000
26,7.0,2.0,0.35,0.746,0.027,0.5477000000000001,7.577000000000001,59.393,4.404,1000
27,7.0,3.0,0.182,0.654,0.107,0.4925000000000001,6.017000000000002,51.743,4.68,1000
28,8.0,0.0,0.22,1.479,0.007,0.8875,10.195,79.356,3.89,1000
29,8.0,1.0,0.136,0.951,0.042,0.5707000000000001,6.523000000000001,64.224,4.347,1000
30,8.0,2.0,0.226,1.048,0.031,0.6289000000000001,7.645000000000001,67.002,4.871,1000
31,8.0,3.0,0.141,0.808,0.128,0.48490000000000016,5.695000000000002,57.432,5.085,1000
32,9.0,0.0,0.213,1.74,0.011,0.9451999999999999,10.723999999999998,89.918,4.391,1000
33,9.0,1.0,0.18,1.094,0.057,0.5778000000000001,6.826,70.99,4.761,1000
34,9.0,2.0,0.229,1.193,0.048,0.6240000000000001,7.553,74.519,5.413,1000
35,9.0,3.0,0.182,0.889,0.182,0.44490000000000013,5.485000000000001,62.917,5.612,1000
36,10.0,0.0,0.22649140546006066,1.9635995955510617,0.011122345803842264,0.9782608695652173,11.141557128412536,101.61071789686552,5.064711830131446,989
37,10.0,1.0,0.17026683608640406,1.5628970775095299,0.06734434561626429,0.7378653113087675,8.400254129606099,88.59593392630241,5.3189326556543834,787
38,10.0,2.0,0.2513601741022851,1.4189336235038086,0.04787812840043525,0.6514689880304679,8.022850924918389,84.76278563656147,6.191512513601741,919
39,10.0,3.0,0.27200902934537247,1.0248306997742664,0.17945823927765236,0.4150112866817158,5.782167042889392,71.66365688487585,6.504514672686231,886
40,11.0,0.0,0.1911021233569262,2.19211324570273,0.011122345803842264,1.0153690596562184,11.30030333670374,112.89888776541962,5.457027300303337,989
41,11.0,1.0,0.14993646759847523,1.7204574332909783,0.07369758576874205,0.7324015247776365,8.223634053367217,96.81194409148665,5.773824650571791,787
42,11.0,2.0,0.2578890097932535,1.5854189336235038,0.05005440696409141,0.6513601741022851,8.060935799782373,92.82372143634385,6.671381936887921,919
