,reward,numerosity,fitness
0,38.0,76,11.399999999999997
1,435.0,870,2818.799999999995
2,34.5,69,69.0
3,18.0,36,93.59999999999998
4,95.99999999999979,360,1728.0000000000032
5,216.0,432,950.4000000000023
6,252.0,504,756.0
7,75.0,150,936.0000000000005
8,116.99999999999983,360,5589.000000000005
9,70.5,141,141.0
10,204.0,408,6609.600000000011
11,14.400000000000004,54,64.80000000000001
12,178.5,357,357.0
13,36.0,72,461.6999999999998
14,252.0,504,302.40000000000094
15,261.0,522,1148.4000000000008
16,18.0,36,36.0
17,17.5,35,957.5999999999999
18,28.0,56,4424.7
19,55.5,111,44.40000000000002
20,74.0,148,1148.8499999999992
21,74.0,148,749.25
22,225.0,450,450.0
