day,baseline,egalitarian,maximin,utilitarian,all_principles
1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.009,0.005,0.0,0.01,0.005
3.0,0.024,0.065,0.006,0.066,0.047
4.0,0.037,0.121,0.016,0.091,0.221
5.0,0.088,0.174,0.055,0.181,0.355
6.0,0.195,0.225,0.143,0.28,0.581
7.0,0.325,0.32,0.39,0.427,0.803
8.0,0.539,0.507,0.7,0.725,0.967
9.0,0.741,0.752,0.834,0.963,1.105
10.0,1.0615384615384615,1.28343949044586,1.0498891352549888,1.1774580335731415,1.3130890052356021
11.0,1.1316526610644257,1.3668261562998405,1.106430155210643,1.23621103117506,1.4446902654867257
12.0,1.2591036414565826,1.4354066985645932,1.2250554323725056,1.3057553956834533,1.5995575221238938
13.0,1.4075630252100841,1.558213716108453,1.4290465631929046,1.4496402877697843,1.7809734513274336
14.0,1.6624649859943978,1.6858054226475279,1.7490297542043984,1.6726618705035972,1.9856194690265487
15.0,1.8557422969187676,1.8644338118022328,1.8900388098318242,1.8237410071942446,2.1581858407079646
16.0,2.1033274956217163,2.37122969837587,2.104849279161206,2.302367941712204,2.399336283185841
17.0,2.178633975481611,2.4385150812064964,2.199213630406291,2.3697632058287796,2.55297157622739
18.0,2.297723292469352,2.5452436194895594,2.342070773263434,2.4571948998178508,2.693798449612403
19.0,2.455341506129597,2.651972157772622,2.5255570117955437,2.599271402550091,2.9031007751937983
20.0,2.6532399299474605,2.7819025522041763,2.8163606010016693,2.806921675774135,3.111111111111111
21.0,2.8473684210526318,2.9624413145539905,2.94991652754591,2.992660550458716,3.25810635538262
22.0,3.1176470588235294,3.3863636363636362,3.194704049844237,3.455012853470437,3.4787735849056602
23.0,3.183257918552036,3.470779220779221,3.311526479750779,3.5347043701799485,3.6037735849056602
24.0,3.3076923076923075,3.5974025974025974,3.4766355140186915,3.6812339331619537,3.7464622641509435
25.0,3.4705882352941178,3.720779220779221,3.643302180685358,3.853470437017995,3.94811320754717
26.0,3.728506787330317,3.853896103896104,3.8956386292834893,4.051413881748072,4.165094339622642
27.0,3.8800904977375565,4.067114093959732,4.0359375,4.207792207792208,4.317102137767221
28.0,4.16056338028169,4.471861471861472,4.292279411764706,4.55663430420712,4.540983606557377
29.0,4.247887323943662,4.554112554112554,4.413602941176471,4.6688311688311686,4.684741488020177
