,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
509,0,1,200,2,42,0,6.1000000000000245,73.00000000000024,9060.0,1,1.8,23,44
307,1,1,99,0,15,0,0.0,0.0,1269.0,3,-1.1,20,15
510,2,1,200,2,35,0,1.89999999999999,30.999999999999897,4704.0,0,1.0,27,37
59,3,1,16,0,1,0,0.0,0.0,75.0,1,-1.1,6,1
939,0,2,200,2,39,0,4.199999999999996,53.99999999999996,5838.0,0,1.0,23,41
544,1,2,9,0,0,0,0.0,0.0,36.0,1,-1.1,5,0
940,2,2,200,4,34,0,1.1999999999999955,35.99999999999996,4614.0,0,1.0,28,38
582,3,2,21,1,2,0,0.0,5.000000000000002,131.0,0,-0.1999999999999999,11,3
1369,0,3,200,1,37,6,2.9999999999999885,35.999999999999886,5298.0,0,1.0,30,38
1370,1,3,200,1,37,0,2.999999999999988,35.99999999999987,4932.0,0,1.0,30,38
1012,2,3,21,0,2,1,0.0,0.0,126.0,4,-1.1,13,2
976,3,3,9,0,0,0,0.0,0.0,36.0,3,-1.1,3,0
1977,0,4,200,2,38,5,3.5999999999999863,47.999999999999865,5640.0,0,1.0,27,40
1978,1,4,200,1,37,1,2.9999999999999902,35.9999999999999,3750.0,0,1.8,22,38
1979,2,4,200,1,37,2,2.999999999999987,35.99999999999987,4230.0,0,1.8,25,38
1406,3,4,9,0,0,1,0.0,0.0,42.0,1,-1.1,7,0
2776,0,5,200,0,38,21,3.5999999999999863,35.99999999999986,4836.0,0,1.0,37,38
2777,1,5,200,0,38,21,3.599999999999988,35.99999999999987,4350.0,1,1.8,39,38
2778,2,5,200,0,37,18,2.999999999999988,29.99999999999988,4038.0,0,1.0,38,37
2779,3,5,200,1,38,26,3.599999999999987,41.999999999999865,4398.0,0,1.8,32,39
3232,0,6,200,2,41,0,5.40000000000001,66.0000000000001,7200.0,1,1.8,19,43
2885,1,6,27,1,3,0,0.0,5.000000000000003,164.0,0,-1.0,7,4
3233,2,6,200,2,38,0,3.599999999999993,47.99999999999992,6252.0,0,1.0,28,40
2887,3,6,27,0,3,0,0.0,0.0,129.0,1,-1.1,12,3
4030,0,7,200,0,37,24,2.999999999999988,29.99999999999988,3786.0,0,1.0,38,37
4031,1,7,200,0,36,14,2.3999999999999915,23.999999999999915,3078.0,0,1.0,30,36
4032,2,7,200,0,36,11,2.399999999999992,23.99999999999992,3042.0,0,1.0,28,36
4033,3,7,200,1,36,15,2.399999999999991,29.99999999999991,3162.0,0,1.8,36,37
4085,0,8,15,0,1,0,0.0,0.0,75.0,4,-1.1,6,1
4067,1,8,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,3,1
4171,2,8,99,0,15,0,0.0,0.0,699.0,1,-1.1,12,15
4087,3,8,15,0,1,0,0.0,0.0,81.0,1,-1.1,8,1
