,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
414,0,1,200,0,42,15,6.100000000000015,61.00000000000014,6816.0,0,1.0,18,42
33,1,1,10,0,0,0,0.0,0.0,36.0,1,-1.1,6,0
415,2,1,200,1,40,14,4.900000000000009,55.000000000000085,7206.0,2,1.1,17,41
35,3,1,10,0,0,1,0.0,0.0,42.0,0,-1.0,5,0
448,0,2,9,1,0,0,0.0,5.000000000000001,65.0,0,-1.0,5,1
474,1,2,21,0,2,0,0.0,0.0,102.0,1,-1.1,9,2
450,2,2,9,2,0,0,0.0,11.0,71.0,0,-0.1999999999999999,3,2
553,3,2,99,0,15,0,0.0,0.0,573.0,4,-1.1,13,15
1160,0,3,200,1,38,16,3.599999999999988,41.99999999999987,4170.0,0,1.8,31,39
1161,1,3,200,1,38,21,3.5999999999999885,41.999999999999886,4566.0,0,1.8,26,39
1162,2,3,200,0,39,18,4.199999999999989,41.999999999999886,4554.0,0,1.0,27,39
589,3,3,9,1,0,1,0.0,5.000000000000001,47.0,0,-0.1999999999999999,5,1
1503,0,4,200,0,45,0,7.80000000000002,78.0000000000002,8904.0,0,1.0,20,45
1426,1,4,123,0,19,0,0.0,0.0,891.0,1,-1.1,19,19
1197,2,4,9,2,0,0,0.0,11.0,89.0,2,-1.1,5,2
1198,3,4,9,1,0,0,0.0,5.000000000000001,59.0,0,-1.0,6,1
1825,0,5,200,1,43,0,6.600000000000015,72.00000000000014,7662.0,0,1.8,14,44
1729,1,5,104,0,16,1,0.0,0.0,1158.0,1,-1.1,14,16
1538,2,5,9,1,0,0,0.0,5.000000000000001,71.0,3,-1.1,6,1
1539,3,5,9,1,0,0,0.0,5.000000000000001,53.0,0,-1.0,7,1
1858,0,6,9,1,0,1,0.0,5.000000000000001,47.0,0,-0.1999999999999999,5,1
1877,1,6,15,0,1,1,0.0,0.0,93.0,4,-1.1,8,1
1908,2,6,44,1,6,0,0.0,5.999999999999984,522.0,2,-1.1,13,7
1879,3,6,15,0,1,1,0.0,0.0,63.0,4,-1.1,8,1
2438,0,7,200,0,39,8,4.199999999999987,41.999999999999865,6126.0,0,1.0,31,39
2086,1,7,45,1,6,1,0.0,5.000000000000005,251.0,0,-0.1999999999999999,12,7
2439,2,7,200,1,39,4,4.19999999999999,47.9999999999999,5586.0,1,1.8,38,40
2211,3,7,86,2,13,3,0.0,11.999999999999991,1035.0,0,-0.1999999999999999,25,15
3046,0,8,200,1,37,19,2.999999999999987,35.99999999999987,4920.0,0,1.0,30,38
3047,1,8,200,0,38,13,3.599999999999987,35.99999999999987,5052.0,3,1.9,27,38
3048,2,8,200,1,38,12,3.5999999999999868,41.999999999999865,5478.0,0,1.0,30,39
2475,3,8,9,1,0,1,0.0,5.000000000000001,59.0,0,-1.0,7,1
3317,0,9,200,0,46,0,8.400000000000023,84.00000000000023,8712.0,0,1.0,19,46
3125,1,9,21,0,2,0,0.0,0.0,120.0,4,-1.1,11,2
3107,2,9,15,1,1,1,0.0,5.0,104.0,0,-0.1999999999999999,7,2
3150,3,9,33,1,4,1,0.0,5.000000000000001,317.0,0,-1.0,14,5
3740,0,10,200,3,38,0,3.599999999999991,53.99999999999992,6144.0,0,1.0,22,41
3741,1,10,200,1,34,0,1.1999999999999933,17.99999999999993,2328.0,0,1.8,16,35
3352,2,10,9,1,0,0,0.0,5.000000000000001,59.0,0,-1.0,4,1
3371,3,10,15,1,1,0,0.0,5.000000000000001,98.0,0,-1.0,7,2
3798,0,11,15,1,1,0,0.0,5.000000000000002,104.0,0,-1.0,7,2
3812,1,11,21,0,2,0,0.0,0.0,102.0,1,-1.1,9,2
3800,2,11,15,2,1,0,0.0,11.0,116.0,0,-0.1999999999999999,7,3
3819,3,11,27,0,3,0,0.0,0.0,135.0,4,-1.1,11,3
4254,0,12,200,1,37,3,2.9999999999999867,35.999999999999865,5310.0,0,1.0,22,38
3853,1,12,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
4255,2,12,200,1,36,2,2.399999999999987,29.99999999999987,5250.0,0,1.0,23,37
3909,3,12,27,1,3,0,0.0,5.000000000000001,134.0,0,-1.0,12,4
4288,0,13,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,5,1
4302,1,13,15,0,1,0,0.0,0.0,57.0,1,-1.1,10,1
4290,2,13,9,1,0,0,0.0,5.000000000000001,53.0,0,-1.0,6,1
4356,3,13,68,0,10,0,0.0,0.0,558.0,0,-1.0,13,10
4975,0,14,200,0,37,15,2.9999999999999902,29.9999999999999,3438.0,0,1.0,38,37
4976,1,14,200,0,37,17,2.999999999999988,29.99999999999988,3726.0,0,1.0,28,37
4977,2,14,200,0,37,16,2.99999999999999,29.999999999999897,3780.0,0,1.0,34,37
4440,3,14,21,1,2,1,0.0,5.000000000000002,137.0,0,-1.0,12,3
5590,0,15,200,2,37,20,2.9999999999999862,41.99999999999986,3900.0,0,1.8,27,39
5591,1,15,200,0,38,22,3.5999999999999863,35.99999999999986,3984.0,0,1.0,26,38
5592,2,15,200,0,38,18,3.5999999999999868,35.999999999999865,3942.0,1,1.8,24,38
5037,3,15,15,0,1,1,0.0,0.0,75.0,0,-1.0,8,1
6199,0,16,200,1,40,17,4.799999999999998,53.99999999999997,5724.0,1,1.8,35,41
6200,1,16,200,0,41,15,5.400000000000001,54.00000000000001,5844.0,0,1.0,26,41
6201,2,16,200,1,40,14,4.799999999999999,53.99999999999999,6216.0,0,1.0,32,41
5628,3,16,9,1,0,1,0.0,5.000000000000001,47.0,0,-0.1999999999999999,5,1
6301,0,17,27,2,3,1,0.0,11.0,194.0,0,-0.1999999999999999,14,5
6357,1,17,69,0,10,1,0.0,0.0,408.0,1,-1.1,23,10
6284,2,17,21,2,2,0,0.0,11.0,179.0,2,-1.1,10,4
6327,3,17,39,0,5,1,0.0,0.0,237.0,4,-1.1,20,5
6427,0,18,21,0,2,1,0.0,0.0,144.0,2,-1.1,9,2
6529,1,18,98,0,15,2,0.0,0.0,885.0,4,-1.1,26,15
6475,2,18,44,0,6,5,0.0,0.0,432.0,0,-1.0,16,6
6393,3,18,9,1,0,0,0.0,5.000000000000001,47.0,0,-1.0,5,1
7142,0,19,200,2,37,14,2.9999999999999867,41.999999999999865,5394.0,0,1.8,26,39
7143,1,19,200,0,39,14,4.199999999999988,41.99999999999987,5586.0,0,1.0,26,39
7144,2,19,200,1,38,16,3.599999999999988,41.99999999999987,5808.0,0,1.0,26,39
6589,3,19,15,1,1,1,0.0,5.000000000000002,80.0,0,-1.0,9,2
7177,0,20,9,2,0,0,0.0,11.0,83.0,0,-0.1999999999999999,7,2
7233,1,20,44,0,6,0,0.0,0.0,354.0,4,-1.1,17,6
7179,2,20,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,5,1
7216,3,20,27,0,3,0,0.0,0.0,165.0,0,-1.0,15,3
7650,0,21,200,0,41,15,5.400000000000005,54.00000000000004,6666.0,0,1.0,17,41
7267,1,21,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,6,1
7651,2,21,200,1,41,12,5.400000000000004,60.00000000000004,6750.0,0,1.0,14,42
7269,3,21,9,2,0,1,0.0,11.0,77.0,0,-0.1999999999999999,7,2
7684,0,22,9,1,0,0,0.0,5.000000000000001,53.0,0,-1.0,5,1
7685,1,22,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,4,1
7711,2,22,33,0,4,0,0.0,0.0,138.0,4,-1.1,8,4
7687,3,22,9,1,0,0,0.0,5.000000000000001,71.0,4,-1.1,5,1
7744,0,23,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,3,1
7765,1,23,21,0,2,0,0.0,0.0,114.0,1,-1.1,12,2
7746,2,23,9,1,0,0,0.0,5.000000000000001,65.0,0,-1.0,6,1
7759,3,23,15,0,1,0,0.0,0.0,69.0,4,-1.1,9,1
7798,0,24,9,1,0,1,0.0,5.000000000000001,59.0,0,-1.0,7,1
7843,1,24,33,0,4,0,0.0,0.0,240.0,4,-1.1,13,4
7800,2,24,9,1,0,0,0.0,5.000000000000001,59.0,0,-1.0,8,1
7837,3,24,27,0,3,0,0.0,0.0,135.0,4,-1.1,14,3
7876,0,25,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,5,1
7950,1,25,45,0,6,0,0.0,0.0,252.0,1,-1.1,14,6
7949,2,25,44,2,6,0,0.0,11.999999999999996,594.0,2,-1.1,8,8
7879,3,25,9,2,0,1,0.0,11.0,83.0,0,-0.1999999999999999,5,2
8026,0,26,21,2,2,1,0.0,11.0,197.0,0,-1.0,10,4
8039,1,26,27,0,3,0,0.0,0.0,123.0,1,-1.1,17,3
8009,2,26,15,1,1,1,0.0,5.000000000000001,98.0,0,-1.0,6,2
8070,3,26,57,0,8,1,0.0,0.0,348.0,4,-1.1,16,8
8103,0,27,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,4,1
8136,1,27,27,0,3,0,0.0,0.0,153.0,1,-1.1,12,3
8105,2,27,9,1,0,0,0.0,5.000000000000001,59.0,0,-1.0,6,1
8130,3,27,21,0,2,0,0.0,0.0,120.0,4,-1.1,11,2
