,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
420,0,1,200,0,41,1,5.500000000000023,55.00000000000023,7008.0,0,[1 0 0 0],,41
52,1,1,16,0,1,0,0.0,0.0,81.0,0,[-1  0  0  0],,1
421,2,1,200,1,39,1,4.299999999999993,48.99999999999992,5304.0,0,[1 0 0 0],,40
35,3,1,10,1,0,0,0.0,5.000000000000001,71.0,0,[-1  0  0  0],,1
563,0,2,45,2,6,0,0.0,11.000000000000009,341.0,0,[-0.2  0.   0.   0. ],,8
874,1,2,200,1,34,0,1.1999999999999886,17.999999999999886,2910.0,0,[1.8 0.  0.  0. ],,35
875,2,2,200,1,40,0,4.800000000000017,54.00000000000016,6354.0,1,[1.8 0.  0.  0. ],,41
457,3,2,9,1,0,0,0.0,5.000000000000001,65.0,0,[-1  0  0  0],,1
1263,0,3,200,0,37,3,2.9999999999999964,29.999999999999964,3006.0,0,[1 0 0 0],,37
909,1,3,9,1,0,0,0.0,5.000000000000001,41.0,0,[-0.2  0.   0.   0. ],,1
946,2,3,21,1,2,0,0.0,5.000000000000002,101.0,0,[-0.2  0.   0.   0. ],,3
1221,3,3,158,4,25,0,0.0,23.99999999999992,2799.0,0,[-1  0  0  0],,29
1296,0,4,9,1,0,0,0.0,5.000000000000001,71.0,0,[-1  0  0  0],,1
1315,1,4,15,1,1,0,0.0,5.000000000000002,92.0,0,[-1  0  0  0],,2
1502,2,4,200,0,36,0,2.399999999999987,23.99999999999987,4164.0,0,[1 0 0 0],,36
1317,3,4,15,0,1,0,0.0,0.0,81.0,0,[-1  0  0  0],,1
2051,0,5,200,1,41,4,5.400000000000002,60.000000000000014,5670.0,1,[1.8 0.  0.  0. ],,42
2052,1,5,200,0,37,2,2.9999999999999867,29.999999999999865,4602.0,1,[1.8 0.  0.  0. ],,37
1814,2,5,81,1,12,1,0.0,5.000000000000006,575.0,0,[-1  0  0  0],,13
1778,3,5,69,0,10,2,0.0,0.0,390.0,0,[-1  0  0  0],,10
2606,0,6,200,0,44,2,7.200000000000019,72.00000000000018,7638.0,0,[1 0 0 0],,44
2498,1,6,146,0,23,1,0.0,0.0,1755.0,4,[-1.1  0.   0.   0. ],,23
