episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries
1,42.0,9872.0,4706.25,18825.0,0,70,35.5,142
2,122.0,11376.0,7778.0,31112.0,2,76,56.0,224
3,101.0,7680.0,2675.75,10703.0,3,67,27.25,109
4,1527.0,15090.0,10152.75,40611.0,26,74,60.75,243
5,305.0,10116.0,6388.25,25553.0,7,71,54.0,216
6,41.0,2085.0,591.5,2366.0,1,32,9.25,37
7,102.0,3045.0,1047.0,4188.0,2,27,11.5,46
8,63.0,654.0,246.5,986.0,1,10,4.5,18
9,234.0,11568.0,5693.25,22773.0,4,73,39.0,156
10,36.0,1575.0,479.5,1918.0,0,17,5.5,22
11,42.0,5304.0,1483.5,5934.0,0,26,9.0,36
12,219.0,14286.0,8169.75,32679.0,5,75,56.25,225
13,699.0,20352.0,12495.75,49983.0,12,79,58.0,232
14,90.0,9774.0,3510.5,14042.0,2,72,34.25,137
15,90.0,18570.0,10888.5,43554.0,2,78,57.75,231
16,179.0,13386.0,9728.75,38915.0,4,75,56.5,226
17,41.0,5733.0,1549.0,6196.0,1,31,10.0,40
18,57.0,22758.0,12834.75,51339.0,1,78,55.25,221
19,36.0,16446.0,7989.0,31956.0,0,77,41.25,165
20,57.0,4386.0,1159.25,4637.0,1,38,11.0,44
21,152.0,558.0,287.75,1151.0,4,8,5.25,21
22,107.0,5811.0,1536.25,6145.0,2,66,18.0,72
23,36.0,6756.0,3150.5,12602.0,0,70,35.25,141
24,144.0,13668.0,6583.5,26334.0,2,73,38.75,155
25,36.0,2643.0,1084.5,4338.0,0,32,15.0,60
26,77.0,9630.0,4750.75,19003.0,2,70,36.0,144
27,245.0,9348.0,4845.5,19382.0,5,71,41.0,164
28,90.0,1089.0,347.5,1390.0,2,19,6.75,27
29,69.0,1101.0,449.25,1797.0,1,21,8.25,33
30,41.0,5751.0,1574.5,6298.0,1,31,10.5,42
31,90.0,20682.0,11600.25,46401.0,2,82,54.5,218
32,303.0,18720.0,10836.75,43347.0,7,82,56.5,226
33,95.0,25488.0,12406.25,49625.0,3,81,47.75,191
34,53.0,975.0,528.5,2114.0,1,21,10.5,42
35,36.0,18060.0,9867.0,39468.0,0,80,52.25,209
36,93.0,1671.0,573.5,2294.0,1,15,7.25,29
37,36.0,3120.0,999.25,3997.0,0,24,9.75,39
38,59.0,1182.0,438.5,1754.0,1,24,8.75,35
39,59.0,5310.0,1406.5,5626.0,1,68,18.5,74
40,1566.0,19350.0,10840.5,43362.0,22,80,58.5,234
41,86.0,1233.0,416.75,1667.0,2,25,8.25,33
42,42.0,23346.0,12978.0,51912.0,0,81,56.75,227
43,41.0,1830.0,552.25,2209.0,1,14,5.5,22
44,63.0,19188.0,11211.75,44847.0,1,80,57.25,229
45,1953.0,18150.0,11270.25,45081.0,29,78,64.25,257
46,87.0,18336.0,11087.25,44349.0,1,77,55.75,223
47,120.0,17178.0,9955.5,39822.0,2,77,56.5,226
48,240.0,21048.0,12840.0,51360.0,6,79,59.75,239
49,102.0,2811.0,921.0,3684.0,2,25,11.5,46
50,65.0,8748.0,2321.75,9287.0,1,68,19.25,77
51,302.0,12444.0,6289.25,25157.0,6,72,40.5,162
52,75.0,1785.0,573.5,2294.0,1,17,7.5,30
53,96.0,3033.0,961.25,3845.0,2,21,9.0,36
54,41.0,11967.0,3318.5,13274.0,1,57,18.5,74
55,192.0,2586.0,902.75,3611.0,4,26,11.25,45
56,87.0,19620.0,12374.25,49497.0,1,81,58.75,235
57,186.0,20958.0,12127.5,48510.0,4,83,58.75,235
58,90.0,10524.0,2756.0,11024.0,2,44,14.0,56
59,684.0,15342.0,7353.0,29412.0,14,76,46.25,185
60,36.0,174.0,98.0,392.0,0,4,2.0,8
61,399.0,11862.0,7413.75,29655.0,7,73,56.0,224
62,36.0,6051.0,1943.25,7773.0,0,43,17.75,71
63,41.0,19101.0,4911.0,19644.0,1,59,17.0,68
64,77.0,501.0,216.25,865.0,1,8,4.0,16
65,132.0,18420.0,10375.5,41502.0,4,80,55.25,221
