,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,num_norms,count
0,2.0,0.0,1.0,0.0,0.0,0.7000000000000001,13.0,21.0,0.0,1
1,2.0,1.0,0.0,0.0,0.0,0.7000000000000001,7.0,15.0,0.0,1
2,2.0,2.0,0.0,0.0,0.0,0.7000000000000001,7.0,15.0,0.0,1
3,2.0,3.0,0.0,0.0,0.0,0.7000000000000001,7.0,15.0,0.0,1
4,3.0,0.0,0.0,0.0,1.0,0.6000000000000001,6.000000000000001,27.0,0.0,1
5,3.0,1.0,0.0,1.0,0.0,1.2000000000000002,12.000000000000002,21.0,0.0,1
6,3.0,2.0,1.0,0.0,0.0,0.6000000000000001,12.000000000000002,27.0,0.0,1
7,3.0,3.0,0.0,0.0,0.0,0.6000000000000001,6.000000000000001,21.0,0.0,1
8,4.0,0.0,0.0,0.0,1.0,0.5000000000000001,5.000000000000001,32.0,0.0,1
9,4.0,1.0,0.0,1.0,0.0,1.1,11.0,32.0,0.0,1
10,4.0,2.0,0.0,0.0,1.0,0.5000000000000001,5.000000000000001,32.0,0.0,1
11,4.0,3.0,1.0,1.0,0.0,1.1,17.0,32.0,0.0,1
12,5.0,0.0,0.0,1.0,1.0,1.0,10.0,42.0,0.0,1
13,5.0,1.0,0.0,1.0,0.0,1.0,10.0,42.0,0.0,1
14,5.0,2.0,0.0,0.0,1.0,0.4000000000000001,4.000000000000001,36.0,0.0,1
15,5.0,3.0,0.0,1.0,1.0,1.0,10.0,42.0,0.0,1
16,6.0,0.0,0.0,1.0,1.0,0.9,9.0,51.0,0.0,1
17,6.0,1.0,0.0,1.0,0.0,0.9,9.0,51.0,0.0,1
18,6.0,2.0,0.0,0.0,1.0,0.3000000000000001,3.0000000000000013,39.0,0.0,1
19,6.0,3.0,0.0,1.0,1.0,0.9,9.0,51.0,0.0,1
20,7.0,0.0,0.0,1.0,1.0,0.8,8.0,59.0,0.0,1
21,7.0,1.0,1.0,1.0,0.0,0.8,13.999999999999998,65.0,0.0,1
22,7.0,2.0,0.0,0.0,1.0,0.2000000000000001,2.0000000000000013,41.0,0.0,1
23,7.0,3.0,1.0,1.0,1.0,0.8,13.999999999999998,65.0,0.0,1
24,8.0,0.0,0.0,1.0,1.0,0.7000000000000001,7.0,66.0,0.0,1
25,8.0,1.0,1.0,2.0,0.0,1.2999999999999998,19.0,84.0,0.0,1
26,8.0,2.0,0.0,0.0,1.0,0.1000000000000001,1.000000000000001,42.0,0.0,1
27,8.0,3.0,0.0,1.0,2.0,0.7000000000000001,7.0,72.0,0.0,1
28,9.0,0.0,1.0,1.0,1.0,0.6000000000000001,12.000000000000002,78.0,0.0,1
