,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
32,0,1,10,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,,1
69,1,1,22,0,2,0,0.0,0.0,90.0,0,-1.0,,2
70,2,1,22,0,2,0,0.0,0.0,126.0,1,-1.2,,2
131,3,1,82,0,12,0,0.0,0.0,630.0,0,-1.0,,12
164,0,2,9,1,0,0,0.0,5.000000000000001,65.0,0,-1.0,,1
972,1,2,400,0,71,0,3.3999999999999773,33.99999999999977,9552.0,0,1.0,,71
973,2,2,400,0,78,0,7.600000000000034,76.00000000000034,16506.0,0,1.0,,78
239,3,2,33,1,4,0,0.0,5.000000000000002,215.0,0,-1.0,,5
1814,0,3,400,2,85,0,11.80000000000005,130.00000000000048,24624.0,0,1.0,,87
1080,1,3,33,1,4,0,0.0,5.000000000000002,155.0,0,0.0,,5
1815,2,3,400,0,76,0,6.400000000000039,64.00000000000038,14382.0,0,1.0,,76
1009,3,3,9,2,0,0,0.0,11.0,83.0,0,0.0,,2
1848,0,4,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,,1
1898,1,4,27,1,3,0,0.0,5.000000000000002,176.0,0,-1.0,,4
2272,2,4,400,9,69,0,2.199999999999973,75.99999999999973,18378.0,1,2.0,,78
1887,3,4,21,1,2,0,0.0,5.000000000000002,119.0,0,-1.0,,3
3485,0,5,400,2,83,1,10.60000000000007,118.0000000000007,22902.0,0,1.0,,85
3486,1,5,400,1,67,0,0.9999999999999806,15.999999999999805,5388.0,0,2.0,,68
3487,2,5,400,0,76,0,6.400000000000011,64.0000000000001,13410.0,0,1.0,,76
2332,3,5,15,1,1,0,0.0,5.000000000000002,86.0,0,-1.0,,2
3575,0,6,27,1,3,0,0.0,5.000000000000004,176.0,3,-1.2,,4
3600,1,6,39,1,5,0,0.0,5.000000000000004,206.0,0,-1.0,,6
3962,2,6,400,7,68,0,1.5999999999999788,57.999999999999794,10620.0,0,1.0,,75
3523,3,6,9,1,0,0,0.0,5.000000000000001,47.0,0,-1.0,,1
4797,0,7,400,3,81,0,9.400000000000087,112.00000000000088,32166.0,0,1.0,,84
4798,1,7,400,0,69,0,2.199999999999976,21.999999999999755,6984.0,0,1.0,,69
4040,2,7,21,1,2,1,0.0,5.000000000000003,125.0,0,0.0,,3
4022,3,7,15,0,1,0,0.0,0.0,57.0,0,-1.0,,1
4850,0,8,15,1,1,0,0.0,5.000000000000001,110.0,0,-1.0,,2
4947,1,8,63,1,9,0,0.0,5.000000000000006,380.0,0,-1.0,,10
5285,2,8,400,8,68,0,1.5999999999999712,63.99999999999971,12378.0,0,1.0,,76
4834,3,8,9,1,0,0,0.0,5.000000000000001,65.0,0,-1.0,,1
5390,0,9,27,1,3,3,0.0,5.000000000000003,194.0,0,-1.0,,4
5772,1,9,400,0,72,0,4.00000000000004,40.0000000000004,15930.0,0,1.0,,72
5392,2,9,27,0,3,1,0.0,0.0,159.0,0,-1.0,,3
5405,3,9,33,1,4,0,0.0,5.000000000000003,191.0,0,-1.0,,5
5805,0,10,9,1,0,0,0.0,5.000000000000001,65.0,0,-1.0,,1
5824,1,10,15,1,1,0,0.0,5.000000000000002,80.0,0,0.0,,2
6223,2,10,400,8,68,0,1.5999999999999743,63.99999999999974,14286.0,0,1.0,,76
5850,3,10,27,1,3,0,0.0,5.000000000000003,164.0,0,-1.0,,4
6256,0,11,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,,1
6383,1,11,51,1,7,0,0.0,5.000000000000004,308.0,0,0.0,,8
6841,2,11,400,8,68,0,1.5999999999999726,63.99999999999972,15198.0,0,1.0,,76
6599,3,11,158,2,25,1,0.0,11.999999999999996,1863.0,0,-1.0,,27
7138,0,12,110,0,17,0,0.0,0.0,1455.0,0,-1.0,,17
7044,1,12,63,1,9,0,0.0,5.0,476.0,0,0.0,,10
7429,2,12,400,7,68,0,1.5999999999999797,57.999999999999794,8856.0,0,2.0,,75
6901,3,12,15,0,1,0,0.0,0.0,57.0,0,-1.0,,1
7462,0,13,9,1,0,0,0.0,5.000000000000001,65.0,0,-1.0,,1
7513,1,13,33,0,4,0,0.0,0.0,180.0,0,-1.0,,4
7507,2,13,27,0,3,0,0.0,0.0,129.0,0,-1.0,,3
7483,3,13,15,0,1,0,0.0,0.0,75.0,2,-1.2,,1
7546,0,14,9,1,0,0,0.0,5.000000000000001,65.0,0,-1.0,,1
7567,1,14,21,1,2,0,0.0,5.000000000000002,113.0,0,0.0,,3
7548,2,14,9,0,0,0,0.0,0.0,36.0,1,-1.2,,0
7561,3,14,15,1,1,0,0.0,5.000000000000001,74.0,0,0.0,,2
7624,0,15,15,1,1,2,0.0,5.000000000000001,140.0,0,-1.0,,2
8042,1,15,400,0,69,0,2.1999999999999718,21.999999999999712,8448.0,0,1.0,,69
7644,2,15,21,2,2,1,0.0,11.0,113.0,0,0.0,,4
7681,3,15,39,2,5,0,0.0,11.000000000000004,422.0,0,-1.0,,7
8930,0,16,400,2,84,0,11.200000000000069,124.00000000000064,25788.0,0,1.0,,86
8278,1,16,74,0,11,0,0.0,0.0,687.0,0,-1.0,,11
8931,2,16,400,1,70,0,2.7999999999999785,33.99999999999979,9624.0,0,1.0,,71
8102,3,16,15,0,1,0,0.0,0.0,63.0,0,-1.0,,1
10138,0,17,400,3,81,2,9.40000000000005,112.00000000000048,23976.0,0,1.0,,84
10139,1,17,400,0,70,0,2.7999999999999767,27.99999999999977,9558.0,0,1.0,,70
10140,2,17,400,0,80,1,8.800000000000054,88.00000000000054,19188.0,0,1.0,,80
8967,3,17,9,1,0,0,0.0,5.000000000000001,65.0,0,-1.0,,1
10173,0,18,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,,1
10579,1,18,400,1,69,0,2.199999999999978,27.99999999999978,6792.0,0,2.0,,70
10200,2,18,21,1,2,0,0.0,5.000000000000002,125.0,0,-1.0,,3
10176,3,18,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,,1
11480,0,19,400,1,70,9,2.799999999999989,33.99999999999989,6774.0,0,1.0,,71
11481,1,19,400,0,80,0,8.800000000000049,88.00000000000048,19176.0,0,1.0,,80
10782,2,19,51,1,7,1,0.0,5.000000000000007,302.0,0,0.0,,8
10783,3,19,51,1,7,0,0.0,5.000000000000007,344.0,0,-1.0,,8
12423,0,20,400,1,81,8,9.400000000000054,100.00000000000053,19920.0,0,1.0,,82
11515,1,20,9,0,0,0,0.0,0.0,36.0,0,-1.0,,0
12424,2,20,400,0,82,1,10.000000000000057,100.00000000000055,21642.0,0,1.0,,82
11892,3,20,134,1,21,8,0.0,5.99999999999994,2157.0,0,-1.0,,22
13504,0,21,400,2,86,2,12.400000000000077,136.00000000000074,26304.0,1,2.0,,88
13212,1,21,254,1,41,0,0.0,5.999999999999824,5655.0,0,0.0,,42
