,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
120,0,1,50,0,9,0,1.2999999999999998,12.999999999999998,411.0,0,1.0,16,9
52,1,1,16,0,1,0,0.0,0.0,69.0,0,-1.0,10,1
34,2,1,10,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,6,1
121,3,1,50,1,8,0,0.6999999999999984,12.999999999999984,537.0,0,2.0,9,9
278,0,2,50,0,9,1,1.1999999999999993,11.999999999999991,687.0,1,2.0,15,9
155,1,2,9,0,0,1,0.0,0.0,42.0,0,-1.0,5,0
279,2,2,50,0,9,0,1.2000000000000004,12.000000000000004,543.0,1,2.0,15,9
280,3,2,50,0,13,0,3.599999999999997,35.999999999999964,1035.0,0,1.0,17,13
409,0,3,50,0,10,0,1.7999999999999976,17.999999999999975,705.0,0,1.0,14,10
351,1,3,21,0,2,0,0.0,0.0,102.0,0,-1.0,10,2
315,2,3,9,2,0,0,0.0,11.0,59.0,0,0.0,4,2
410,3,3,50,1,8,0,0.599999999999998,11.99999999999998,621.0,0,2.0,9,9
527,0,4,50,1,11,0,2.399999999999997,29.99999999999997,903.0,0,1.0,12,12
444,1,4,9,1,0,0,0.0,5.000000000000001,41.0,0,0.0,4,1
445,2,4,9,1,0,0,0.0,5.000000000000001,47.0,0,-1.0,4,1
528,3,4,50,0,9,0,1.1999999999999988,11.999999999999988,561.0,0,1.0,11,9
645,0,5,50,0,11,0,2.399999999999997,23.99999999999997,873.0,1,2.0,12,11
562,1,5,9,1,0,0,0.0,5.000000000000001,41.0,0,0.0,7,1
563,2,5,9,1,0,0,0.0,5.000000000000001,65.0,0,-1.0,4,1
646,3,5,50,0,7,0,3.6082248300317592e-16,3.608224830031759e-15,369.0,0,1.0,7,7
781,0,6,50,0,11,0,2.399999999999997,23.999999999999968,861.0,0,1.0,14,11
735,1,6,27,0,3,1,0.0,0.0,129.0,2,-1.2,11,3
681,2,6,9,1,0,0,0.0,5.000000000000001,59.0,0,-1.0,8,1
782,3,6,50,0,8,0,0.5999999999999996,5.9999999999999964,465.0,0,1.0,10,8
871,0,7,50,1,10,0,1.7999999999999967,23.999999999999968,963.0,0,2.0,11,11
816,1,7,9,1,0,1,0.0,5.000000000000001,47.0,0,0.0,3,1
817,2,7,9,1,0,0,0.0,5.000000000000001,65.0,0,-1.0,5,1
842,3,7,21,1,2,0,0.0,5.000000000000003,119.0,0,0.0,9,3
1028,0,8,50,0,12,0,2.9999999999999973,29.99999999999997,897.0,2,0.8,12,12
1029,1,8,50,0,8,0,0.6000000000000006,6.000000000000006,351.0,0,1.0,12,8
906,2,8,9,1,0,0,0.0,5.000000000000001,53.0,0,-1.0,5,1
1030,3,8,50,0,8,0,0.6000000000000009,6.000000000000008,285.0,0,1.0,13,8
1147,0,9,50,1,10,0,1.7999999999999976,23.99999999999997,741.0,0,2.0,9,11
1064,1,9,9,1,0,0,0.0,5.000000000000001,41.0,0,0.0,4,1
1065,2,9,9,1,0,0,0.0,5.000000000000001,65.0,0,-1.0,6,1
1148,3,9,50,1,8,0,0.5999999999999986,11.999999999999986,549.0,0,2.0,9,9
1243,0,10,50,0,11,0,2.399999999999997,23.99999999999997,807.0,1,2.0,11,11
1214,1,10,21,0,2,0,0.0,0.0,102.0,0,-1.0,11,2
1183,2,10,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,5,1
1202,3,10,15,0,1,0,0.0,0.0,69.0,0,-1.0,6,1
1350,0,11,50,0,10,0,1.799999999999999,17.99999999999999,555.0,0,1.0,14,10
1296,1,11,15,0,1,0,0.0,0.0,63.0,0,-1.0,6,1
1278,2,11,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,3,1
1333,3,11,33,1,4,0,0.0,5.000000000000005,173.0,0,0.0,13,5
1507,0,12,50,2,8,0,0.5999999999999989,17.99999999999999,771.0,2,0.8,15,10
1384,1,12,9,1,0,1,0.0,5.000000000000001,47.0,0,0.0,5,1
1508,2,12,50,1,8,0,0.6000000000000006,12.000000000000004,585.0,0,1.0,10,9
1509,3,12,50,0,10,0,1.7999999999999967,17.999999999999964,903.0,0,1.0,13,10
1668,0,13,50,1,8,1,0.6000000000000001,12.000000000000002,429.0,0,2.0,13,9
1634,1,13,33,1,4,1,0.0,5.000000000000002,155.0,0,0.0,14,5
1616,2,13,27,2,3,1,0.0,11.0,212.0,0,0.0,12,5
1669,3,13,50,1,9,0,1.1999999999999966,17.999999999999964,867.0,0,2.0,15,10
1832,0,14,50,1,9,0,1.199999999999997,17.99999999999997,651.0,0,2.0,13,10
