day,baseline,egalitarian,maximin,utilitarian
1.0,0.0,0.0,0.0,0.0
2.0,0.001,0.0,0.0055,0.007
3.0,0.0125,0.0065,0.0445,0.042
4.0,0.0125,0.028,0.106,0.1185
5.0,0.0155,0.0745,0.169,0.217
6.0,0.0315,0.1385,0.2555,0.2985
7.0,0.1025,0.2215,0.5375,0.4165
8.0,0.208,0.31,0.751,0.5735
9.0,0.238,0.5065,0.919,0.75
10.0,1.0214132762312633,1.0904311251314407,1.1591320072332731,1.1610486891385767
11.0,1.0364025695931478,1.1430073606729758,1.2326702833031946,1.2568218298555378
12.0,1.0985010706638116,1.2176656151419558,1.3562386980108498,1.3987086359967715
13.0,1.2012847965738758,1.3080967402733965,1.5822784810126582,1.549636803874092
14.0,1.2740899357601714,1.459516298633018,1.7685352622061483,1.7223567393058918
15.0,1.3254817987152034,1.615141955835962,1.9409282700421941,1.8821630347054077
16.0,2.0476190476190474,2.1275415896487986,2.184076433121019,2.2327044025157234
17.0,2.108843537414966,2.198148148148148,2.2987261146496816,2.3090507726269314
18.0,2.2448979591836733,2.2888888888888888,2.4780342516753535,2.491194968553459
19.0,2.3877551020408165,2.414814814814815,2.685778108711839,2.679874213836478
20.0,2.4693877551020407,2.6185185185185187,2.840127388535032,2.8679245283018866
21.0,2.5714285714285716,2.7869158878504674,2.968091895341417,3.0302457466918713
22.0,3.037037037037037,3.2185792349726774,3.2181540808543097,3.3042836041358936
23.0,3.125,3.2950819672131146,3.356216628527841,3.409896602658789
24.0,3.3125,3.3825136612021858,3.536231884057971,3.567208271787297
25.0,3.5125,3.5956284153005464,3.7093821510297484,3.759231905465288
26.0,3.675,3.8224043715846996,3.874141876430206,3.9394387001477105
27.0,3.7875,3.9724517906336088,4.008461538461538,4.105654761904762
28.0,4.083333333333333,4.326388888888889,4.2740604949587535,4.364181662382176
29.0,4.166666666666667,4.420138888888889,4.424381301558204,4.477292202227935
30.0,4.3,4.534722222222222,4.568285976168653,4.638389031705227
31.0,4.533333333333333,4.767361111111111,4.718606782768103,4.855184233076264
32.0,4.666666666666667,4.965277777777778,4.907424381301558,5.011996572407884
33.0,4.766666666666667,5.098245614035088,5.051756007393715,5.155709342560554
34.0,5.066666666666666,5.430962343096234,5.29637526652452,5.434955312810327
35.0,5.133333333333334,5.531380753138075,5.424307036247335,5.574975173783516
36.0,5.266666666666667,5.656903765690377,5.587420042643923,5.7398212512413105
37.0,5.488888888888889,5.920972644376899,5.7398720682302775,5.930486593843098
38.0,5.6,6.079027355623101,5.975479744136461,6.092353525322741
39.0,5.795454545454546,6.244877049180328,6.118025751072961,6.258097165991903
40.0,6.1875,6.5,6.402912621359223,6.530424799081516
41.0,6.28125,6.62037037037037,6.549757281553398,6.664753157290471
42.0,6.5,6.703703703703703,6.669902912621359,6.842709529276694
43.0,6.59375,7.011848341232228,6.811893203883495,7.020665901262916
44.0,6.8125,7.151658767772512,7.018203883495145,7.164179104477612
45.0,7.1046676096181045,7.334951456310679,7.186961869618696,7.336046511627907
46.0,7.321428571428571,7.597989949748744,7.42972972972973,7.625
47.0,7.428571428571429,7.733668341708543,7.568918918918919,7.770833333333333
48.0,7.535714285714286,7.844221105527638,7.706756756756757,7.96484375
49.0,7.75,8.061307901907357,7.8364864864864865,8.153645833333334
50.0,7.928571428571429,8.205722070844686,8.102702702702702,8.283854166666666
