episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,74.0,8394.0,4190.0,16760.0,0.38251789976133654,2,46,29.75,119,0.28361344537815125,16,200,154.0,616,0.22402597402597402
2,65.0,1923.0,812.75,3251.0,0.515149184866195,1,30,12.0,48,0.53125,9,170,74.5,298,0.47986577181208057
3,636.0,7590.0,3772.5,15090.0,0.42514910536779327,13,43,28.25,113,0.25442477876106195,80,200,146.0,584,0.1952054794520548
4,132.0,9834.0,2601.75,10407.0,0.7027241279907754,2,45,14.0,56,0.5892857142857143,21,200,73.25,293,0.4735494880546075
5,119.0,7692.0,2645.75,10583.0,0.5879948974770859,3,42,21.25,85,0.42647058823529416,21,200,116.5,466,0.371244635193133
6,93.0,501.0,244.5,978.0,0.3358895705521472,1,8,4.75,19,0.32894736842105265,15,51,35.75,143,0.22902097902097895
7,120.0,6438.0,2586.75,10347.0,0.5389243258915628,2,40,21.5,86,0.43023255813953487,21,200,115.0,460,0.3793478260869565
8,270.0,8076.0,3651.75,14607.0,0.48444239063462724,6,44,26.0,104,0.34615384615384615,45,200,129.75,519,0.2846820809248555
9,47.0,7296.0,2962.25,11849.0,0.5352983374124398,1,43,21.5,86,0.42441860465116277,9,200,119.5,478,0.36192468619246865
10,89.0,7992.0,2140.0,8560.0,0.6961448598130842,3,45,14.75,59,0.5466101694915254,21,200,74.75,299,0.46906354515050164
11,141.0,11244.0,3834.0,15336.0,0.5602503912363067,3,50,24.0,96,0.36979166666666663,27,200,125.25,501,0.2619760479041916
12,231.0,5136.0,2202.0,8808.0,0.48961171662125336,5,38,21.75,87,0.36494252873563215,39,200,122.25,489,0.3236196319018405
13,90.0,7830.0,2513.25,10053.0,0.6195911668158759,2,42,19.25,77,0.4642857142857143,21,200,109.0,436,0.38646788990825687
14,71.0,194.0,114.25,457.0,0.21498905908096289,1,6,2.75,11,0.34090909090909094,9,27,19.5,78,0.17307692307692313
15,159.0,4098.0,1348.5,5394.0,0.5820355951056729,3,39,14.25,57,0.5043859649122807,27,200,80.5,322,0.42546583850931674
16,71.0,7800.0,2796.5,11186.0,0.5862685499731808,1,44,21.0,84,0.4821428571428571,9,200,109.0,436,0.4277522935779816
17,101.0,7164.0,3332.0,13328.0,0.5070153061224489,3,43,21.75,87,0.4454022988505747,21,200,112.0,448,0.3962053571428571
18,53.0,1812.0,671.5,2686.0,0.5292256142963514,1,20,9.5,38,0.4078947368421053,9,104,56.5,226,0.35398230088495575
19,36.0,2478.0,677.75,2711.0,0.6806528956104758,0,34,9.25,37,0.6959459459459459,9,200,59.75,239,0.6119246861924686
20,36.0,2136.0,629.0,2516.0,0.6267885532591415,0,33,10.25,41,0.6036585365853658,9,200,67.25,269,0.5381040892193308
21,69.0,10644.0,2727.75,10911.0,0.7270415177343965,1,48,13.25,53,0.6650943396226415,15,200,64.25,257,0.5398832684824902
22,104.0,9756.0,3162.5,12650.0,0.6055731225296442,2,44,22.5,90,0.41666666666666663,15,200,121.0,484,0.35433884297520657
23,1146.0,7752.0,4110.0,16440.0,0.35273722627737225,20,46,33.75,135,0.14629629629629637,128,200,182.0,728,0.07417582417582413
24,405.0,5742.0,3167.25,12669.0,0.37573999526403035,9,43,30.75,123,0.217479674796748,63,200,165.75,663,0.15497737556561075
25,68.0,6204.0,3161.0,12644.0,0.4254191711483708,2,40,27.0,108,0.29166666666666663,15,200,144.75,579,0.2551813471502591
26,63.0,7704.0,1981.25,7925.0,0.724006309148265,1,43,11.5,46,0.6847826086956522,9,200,59.75,239,0.5993723849372385
27,36.0,389.0,137.25,549.0,0.49590163934426235,0,9,2.75,11,0.6136363636363636,9,57,21.0,84,0.4285714285714286
28,41.0,6234.0,3197.75,12791.0,0.3809514502384489,1,42,28.25,113,0.2765486725663717,9,200,152.25,609,0.2352216748768472
29,206.0,3978.0,1925.75,7703.0,0.46569518369466445,5,40,22.25,89,0.3848314606741573,39,200,119.5,478,0.33682008368200833
30,71.0,2898.0,852.25,3409.0,0.6300234672924612,1,35,11.5,46,0.5760869565217391,9,200,70.25,281,0.5258007117437722
31,53.0,533.0,292.5,1170.0,0.40213675213675215,1,13,6.5,26,0.4423076923076923,9,81,43.5,174,0.4051724137931034
32,164.0,6426.0,1877.0,7508.0,0.6289291422482686,4,42,16.0,64,0.453125,27,200,88.0,352,0.37784090909090906
33,42.0,11304.0,4053.75,16215.0,0.5396392229417206,0,47,25.75,103,0.366504854368932,9,200,138.75,555,0.28243243243243243
34,63.0,6576.0,1722.0,6888.0,0.7131968641114983,1,42,11.5,46,0.6739130434782609,15,200,62.5,250,0.56
35,57.0,10146.0,2650.5,10602.0,0.715195246179966,1,48,14.5,58,0.6120689655172413,15,200,71.75,287,0.48867595818815335
36,53.0,99.0,78.25,313.0,0.1190095846645367,1,3,1.75,7,0.25,9,27,16.5,66,0.20454545454545459
37,3204.0,11616.0,5445.0,21780.0,0.28994490358126723,34,48,38.0,152,0.07236842105263164,200,200,200.0,800,0.0
38,59.0,854.0,270.0,1080.0,0.5578703703703703,1,18,5.75,23,0.5543478260869565,9,99,34.5,138,0.5108695652173914
39,36.0,119.0,88.0,352.0,0.1946022727272727,0,3,2.0,8,0.3125,9,27,18.0,72,0.20833333333333326
40,150.0,10182.0,3781.5,15126.0,0.5281634272114241,2,48,24.5,98,0.3571428571428571,21,200,131.25,525,0.26142857142857145
41,41.0,5754.0,2232.5,8930.0,0.5381858902575588,1,42,22.0,88,0.4204545454545454,9,200,117.75,471,0.3773885350318471
42,42.0,6936.0,1850.75,7403.0,0.6990746994461705,0,43,13.0,52,0.625,9,200,68.75,275,0.5209090909090909
43,261.0,10674.0,3177.75,12711.0,0.6147628038706632,5,47,19.5,78,0.40384615384615385,39,200,102.75,411,0.29379562043795615
44,219.0,5508.0,3572.25,14289.0,0.2953495695989923,5,42,30.75,123,0.22967479674796754,39,200,159.75,639,0.18896713615023475
45,75.0,7392.0,2085.75,8343.0,0.6588457389428263,1,43,16.5,66,0.48484848484848486,15,200,91.25,365,0.3883561643835617
46,198.0,10476.0,2786.25,11145.0,0.6925302826379542,4,47,15.0,60,0.5416666666666666,33,200,76.25,305,0.41557377049180333
47,831.0,9054.0,3147.75,12591.0,0.5089945198951632,15,45,25.5,102,0.22549019607843146,98,200,141.75,567,0.13977072310405636
48,191.0,5820.0,2818.25,11273.0,0.4462210591679233,5,41,25.75,103,0.308252427184466,33,200,137.25,549,0.26639344262295084
49,36.0,6240.0,2729.25,10917.0,0.5265869744435284,0,42,20.75,83,0.4849397590361446,9,200,109.0,436,0.4277522935779816
50,126.0,9828.0,2952.0,11808.0,0.6478658536585366,2,45,18.25,73,0.5034246575342466,21,200,98.5,394,0.40862944162436543
51,150.0,7698.0,2639.25,10557.0,0.5590366581415175,2,45,21.0,84,0.38690476190476186,21,200,115.0,460,0.29565217391304344
52,150.0,7116.0,3411.75,13647.0,0.4213563420531985,4,47,28.75,115,0.2934782608695652,33,200,153.75,615,0.21097560975609753
53,36.0,6786.0,2321.25,9285.0,0.5944264943457189,0,46,20.75,83,0.47891566265060237,9,200,112.0,448,0.3895089285714286
54,65.0,2664.0,737.75,2951.0,0.6610471026770586,1,36,10.25,41,0.6402439024390244,9,200,62.75,251,0.5707171314741036
55,71.0,7722.0,2072.0,8288.0,0.7025820463320464,1,43,13.5,54,0.6111111111111112,9,200,70.0,280,0.5375
56,71.0,1065.0,371.0,1484.0,0.5043800539083558,1,18,6.75,27,0.4722222222222222,9,110,46.25,185,0.4094594594594595
57,63.0,555.0,266.75,1067.0,0.41776007497656986,1,11,5.25,21,0.44047619047619047,9,62,35.75,143,0.35139860139860135
58,42.0,9546.0,2493.75,9975.0,0.7203759398496241,0,44,13.25,53,0.6462264150943396,9,200,70.25,281,0.5364768683274022
59,147.0,8274.0,2294.25,9177.0,0.6672932330827067,3,43,15.5,62,0.49193548387096775,27,200,85.25,341,0.38929618768328444
60,122.0,831.0,346.75,1387.0,0.4089762076423936,2,14,6.5,26,0.3653846153846154,15,86,43.25,173,0.3338150289017341
61,57.0,3099.0,847.5,3390.0,0.6783185840707965,1,26,7.75,31,0.6209677419354839,15,158,53.75,215,0.5127906976744186
62,131.0,3966.0,1648.0,6592.0,0.5178246359223301,3,38,19.75,79,0.43354430379746833,21,200,110.5,442,0.40497737556561086
63,372.0,10062.0,4353.0,17412.0,0.4216057891109579,8,47,31.0,124,0.24193548387096775,57,200,164.25,657,0.16324200913242004
