episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,65.0,3300.0,888.75,3555.0,0.6867088607594937,1,35,10.0,40,0.65,10,200,60.5,242,0.6012396694214877
2,92.0,6744.0,2823.5,11294.0,0.5295289534265982,2,42,21.0,84,0.45238095238095233,15,200,112.0,448,0.4029017857142857
3,71.0,8616.0,2218.75,8875.0,0.7225070422535211,1,45,12.5,50,0.67,9,200,61.25,245,0.5908163265306122
4,65.0,1632.0,628.0,2512.0,0.5336385350318471,1,32,12.0,48,0.5416666666666666,9,200,74.5,298,0.540268456375839
5,278.0,5574.0,2399.75,9599.0,0.49497343473278466,6,44,22.75,91,0.3873626373626373,39,200,122.5,490,0.3224489795918367
6,65.0,609.0,226.0,904.0,0.47898230088495575,1,11,4.0,16,0.5,9,75,30.0,120,0.44999999999999996
7,80.0,7188.0,2346.5,9386.0,0.619593010867249,2,43,19.0,76,0.493421052631579,15,200,103.0,412,0.4308252427184466
8,47.0,369.0,162.75,651.0,0.4158986175115207,1,9,4.25,17,0.42647058823529416,9,63,30.0,120,0.4
9,53.0,2490.0,1162.0,4648.0,0.5001075731497419,1,35,18.0,72,0.4652777777777778,9,200,104.5,418,0.4569377990430622
10,41.0,4926.0,1826.5,7306.0,0.5778811935395566,1,39,19.0,76,0.48684210526315785,9,200,104.5,418,0.4569377990430622
11,36.0,6000.0,3415.5,13662.0,0.33410188844971456,0,39,28.5,114,0.25877192982456143,9,200,152.25,609,0.2352216748768472
12,68.0,5994.0,1601.25,6405.0,0.699648711943794,2,38,11.75,47,0.5904255319148937,15,200,65.75,263,0.5446768060836502
13,231.0,8460.0,4257.75,17031.0,0.3715430685221067,5,47,31.75,127,0.25393700787401574,39,200,159.75,639,0.18896713615023475
14,42.0,5820.0,3315.0,13260.0,0.34660633484162895,0,39,28.0,112,0.2633928571428571,9,200,152.25,609,0.2352216748768472
