,episode,end_day,epsilon,mean_reward,mean_loss,max_berries,mean_berries,max_berries_consumed,mean_berries_consumed,gini_berries_consumed,mean_berries_thrown,max_health,mean_health,median_health,variance_health,deceased,num_emerged_norms
0,1,200,0,21.574999999999964,0,2.0,0.84765625,49.0,18.94140625,0.6666666666666666,0.0,10.500000000000028,4.165234375000006,3.599999999999996,11.013963082107896,3,0
0,2,200,0,49.199999999999925,0,1.0,0.23963963963963963,52.0,20.53153153153153,0.362,0.35855855855855856,12.000000000000021,4.075855855855858,2.799999999999997,10.633459329365518,2,2
0,3,200,0,41.099999999999966,0,5.0,1.0345423143350605,43.0,17.882556131260795,0.3130630630630631,7.227979274611399,6.599999999999995,2.377374784110535,1.7999999999999998,2.992999324691788,2,1
0,4,200,0,48.87499999999993,0,2.0,0.22009569377990432,45.0,18.732057416267942,0.27459016393442626,0.02073365231259968,7.900000000000011,2.3618819776714477,2.0999999999999943,3.0047587528216417,1,0
0,5,200,0,23.124999999999957,0,2.0,0.9007633587786259,52.0,19.53435114503817,0.6724137931034483,0.0,12.200000000000028,4.556488549618327,3.849999999999996,14.301317890673047,3,0
0,6,200,0,43.624999999999936,0,2.0,0.34980988593155893,48.0,21.53802281368821,0.38636363636363635,1.3098859315589353,11.100000000000028,4.759695817490505,4.800000000000001,11.533572478725404,2,1
0,7,200,0,47.84999999999994,0,2.0,0.23963963963963963,52.0,21.131531531531532,0.35330578512396693,0.012612612612612612,12.300000000000034,4.782882882882889,3.999999999999997,13.553731746186688,2,2
0,8,200,0,50.37499999999993,0,3.0,0.39408866995073893,49.0,20.00985221674877,0.30426356589147285,2.671592775041051,10.50000000000003,3.408538587848936,2.399999999999997,8.64979539365659,2,1
0,9,200,0,40.32499999999994,0,1.0,0.23605150214592274,48.0,20.680257510729614,0.43500000000000005,0.015021459227467811,10.000000000000037,4.3334763948497965,4.750000000000013,6.513156490839498,2,1
0,10,200,0,50.27499999999992,0,2.0,0.23902439024390243,44.0,20.28292682926829,0.266,0.0,7.30000000000002,3.1455284552845524,2.9999999999999933,3.612451471094529,1,2
0,11,200,0,30.274999999999977,0,4.0,1.3212669683257918,43.0,18.199095022624434,0.4709302325581395,12.628959276018099,7.00000000000001,2.512217194570134,2.4999999999999933,3.030462646597102,2,1
0,12,200,0,41.12499999999993,0,1.0,0.24267782426778242,48.0,20.173640167364017,0.4150485436893204,0.3702928870292887,9.600000000000037,4.160669456066954,5.05000000000001,6.894256993237071,2,2
