episode,end_day,epsilon,mean_reward,mean_loss,max_berries,mean_berries,max_berries_consumed,mean_berries_consumed,gini_berries_consumed,mean_berries_thrown,max_health,mean_health,median_health,variance_health,deceased,num_emerged_norms
1,200,0,58.14999999999994,0,0.0,0.0,0.0,0.0,0.23888888888888893,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,1,6
2,200,0,42.62499999999997,0,0.0,0.0,0.0,0.0,0.4078947368421053,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2351209741709617e-32,2,13
3,200,0,22.674999999999972,0,0.0,0.0,0.0,0.0,0.5745614035087719,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,3
4,200,0,40.89999999999995,0,0.0,0.0,0.0,0.0,0.43041237113402064,0.0,0.7000000000000001,0.7,0.7000000000000001,1.235179221356275e-32,2,5
5,200,0,17.12499999999997,0,0.0,0.0,0.0,0.0,0.5217391304347826,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,2
6,200,0,27.424999999999997,0,0.0,0.0,0.0,0.0,0.5518867924528302,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,6
7,200,0,36.62499999999995,0,0.0,0.0,0.0,0.0,0.4410112359550562,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2352864202253152e-32,2,3
8,200,0,39.17499999999993,0,0.0,0.0,0.0,0.0,0.484375,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2354683466092478e-32,2,2
9,200,0,30.449999999999967,0,0.0,0.0,0.0,0.0,0.5208333333333334,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,5
10,200,0,31.950000000000003,0,0.0,0.0,0.0,0.0,0.5357142857142857,0.0,0.7000000000000001,0.7000000000000002,0.7000000000000001,1.2362311383441371e-32,3,8
11,200,0,51.774999999999956,0,0.0,0.0,0.0,0.0,0.23728813559322037,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,1,8
12,200,0,37.89999999999994,0,0.0,0.0,0.0,0.0,0.4447368421052632,0.0,0.7000000000000001,0.6999999999999998,0.7000000000000001,4.941264500142651e-32,2,4
13,200,0,55.074999999999946,0,0.0,0.0,0.0,0.0,0.26574803149606296,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,1,9
14,200,0,32.09999999999999,0,0.0,0.0,0.0,0.0,0.5277777777777778,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,7
15,200,0,35.97499999999995,0,0.0,0.0,0.0,0.0,0.4829545454545454,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2354287165099178e-32,2,1
16,200,0,52.97499999999996,0,0.0,0.0,0.0,0.0,0.2581967213114754,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,1,10
17,200,0,28.200000000000003,0,0.0,0.0,0.0,0.0,0.5590909090909091,0.0,0.7000000000000001,0.7000000000000002,0.7000000000000001,1.2361679040148102e-32,3,10
18,200,0,46.14999999999995,0,0.0,0.0,0.0,0.0,0.277027027027027,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,2,14
19,200,0,30.149999999999935,0,0.0,0.0,0.0,0.0,0.48026315789473684,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2354287165099178e-32,2,3
20,200,0,42.0,0,0.0,0.0,0.0,0.0,0.2443820224719102,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,19
21,200,0,30.45,0,0.0,0.0,0.0,0.0,0.39754098360655743,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,4
22,200,0,57.42499999999994,0,1.0,1.0,0.0,0.0,0.2574626865671642,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,1,3
23,200,0,33.349999999999966,0,0.0,0.0,0.0,0.0,0.5375,0.0,0.7000000000000001,0.7,0.7000000000000001,1.235935530707039e-32,3,4
24,200,0,24.699999999999967,0,1.0,1.0,0.0,0.0,0.5725806451612904,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,5
25,200,0,28.725,0,0.0,0.0,0.0,0.0,0.6354166666666666,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,7
26,200,0,30.95,0,0.0,0.0,0.0,0.0,0.5185185185185185,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,4
27,200,0,35.52499999999996,0,0.0,0.0,0.0,0.0,0.4109195402298851,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2351846500473432e-32,2,5
28,200,0,42.04999999999999,0,0.0,0.0,0.0,0.0,0.4111111111111111,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2351846500473432e-32,3,5
29,200,0,38.74999999999997,0,1.0,1.0,0.0,0.0,0.4666666666666667,0.0,0.7000000000000001,0.6999999999999998,0.7000000000000001,4.941264500142651e-32,2,7
30,200,0,38.67499999999995,0,1.0,1.0,0.0,0.0,0.46808510638297873,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2353901647806377e-32,2,6
31,200,0,34.62499999999996,0,0.0,0.0,0.0,0.0,0.4907407407407407,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,7
32,200,0,39.474999999999994,0,0.0,0.0,0.0,0.0,0.34259259259259256,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2351209741709617e-32,3,5
33,200,0,34.04999999999995,0,1.0,1.0,0.0,0.0,0.45833333333333337,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2353526479971103e-32,2,5
34,200,0,39.24999999999995,0,0.0,0.0,0.0,0.0,0.41315789473684206,0.0,0.7000000000000001,0.7,0.7000000000000001,1.235179221356275e-32,2,7
35,200,0,29.099999999999977,0,0.0,0.0,0.0,0.0,0.5405405405405406,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2355941794063903e-32,3,3
36,200,0,34.574999999999974,0,0.0,0.0,0.0,0.0,0.41666666666666663,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2353965170542123e-32,3,11
37,200,0,34.75000000000001,0,1.0,1.0,0.0,0.0,0.4115384615384615,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2357884161290948e-32,3,8
38,200,0,53.62499999999996,0,0.0,0.0,0.0,0.0,0.242,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,1,9
39,200,0,41.24999999999997,0,1.0,1.0,0.0,0.0,0.40384615384615385,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2351158089158225e-32,2,10
40,200,0,24.95,0,0.0,0.0,0.0,0.0,0.5795454545454546,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,1
41,200,0,26.975,0,0.0,0.0,0.0,0.0,0.601063829787234,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,6
42,200,0,45.69999999999996,0,0.0,0.0,0.0,0.0,0.39761904761904765,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2350311232307713e-32,2,13
43,200,0,31.45,0,0.0,0.0,0.0,0.0,0.42741935483870963,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,7
44,200,0,26.4,0,0.0,0.0,0.0,0.0,0.6802325581395349,0.0,0.7000000000000001,0.7,0.7000000000000001,1.237545345790995e-32,3,3
45,200,0,35.09999999999995,0,0.0,0.0,0.0,0.0,0.4798850574712644,0.0,0.7000000000000001,0.6999999999999998,0.7000000000000001,4.941264500142651e-32,2,4
46,200,0,38.52499999999999,0,1.0,1.0,0.0,0.0,0.3012820512820513,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2351846500473432e-32,3,10
47,200,0,34.949999999999996,0,0.0,0.0,0.0,0.0,0.4609375,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,11
48,200,0,28.92499999999997,0,1.0,1.0,0.0,0.0,0.5073529411764706,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,10
49,200,0,47.92499999999993,0,0.0,0.0,0.0,0.0,0.38596491228070173,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2349746917522477e-32,2,7
50,200,0,29.675,0,0.0,0.0,0.0,0.0,0.5769230769230769,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,7
51,200,0,44.17499999999994,0,0.0,0.0,0.0,0.0,0.29700854700854706,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,1,1
52,200,0,47.049999999999955,0,0.0,0.0,0.0,0.0,0.4423076923076923,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2352121392791852e-32,2,13
53,200,0,23.375,0,0.0,0.0,0.0,0.0,0.7,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2376467839340925e-32,3,2
54,200,0,25.25,0,0.0,0.0,0.0,0.0,0.5862068965517241,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,3
55,200,0,49.24999999999996,0,0.0,0.0,0.0,0.0,0.20217391304347831,0.0,0.7000000000000001,0.7000000000000002,0.7000000000000001,1.234509132054427e-32,1,8
56,200,0,39.62499999999997,0,0.0,0.0,0.0,0.0,0.3091397849462365,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,2,10
57,200,0,57.14999999999994,0,0.0,0.0,0.0,0.0,0.2272727272727273,0.0,0.7000000000000001,0.7000000000000002,0.7000000000000001,1.2345454732122737e-32,1,11
58,200,0,31.575000000000003,0,0.0,0.0,0.0,0.0,0.48684210526315785,0.0,0.7000000000000001,0.7000000000000002,0.7000000000000001,1.2361168648775676e-32,3,9
59,200,0,32.225,0,0.0,0.0,0.0,0.0,0.5570175438596491,0.0,0.7000000000000001,0.7000000000000002,0.7000000000000001,1.2361679040148102e-32,3,7
60,200,0,37.94999999999995,0,0.0,0.0,0.0,0.0,0.42021276595744683,0.0,0.7000000000000001,0.6999999999999998,0.7000000000000001,4.94098362678752e-32,2,8
61,200,0,37.37499999999994,0,0.0,0.0,0.0,0.0,0.4862637362637363,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2354287165099178e-32,2,3
62,200,0,32.69999999999995,0,0.0,0.0,0.0,0.0,0.5,0.0,0.7000000000000001,0.6999999999999998,0.7000000000000001,4.942036403866858e-32,2,0
63,200,0,42.34999999999995,0,0.0,0.0,0.0,0.0,0.32999999999999996,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,2,10
64,200,0,45.89999999999996,0,0.0,0.0,0.0,0.0,0.19957983193277307,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,1,5
65,200,0,32.25,0,0.0,0.0,0.0,0.0,0.5,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,7
66,200,0,18.674999999999972,0,0.0,0.0,0.0,0.0,0.6453488372093024,0.0,0.7000000000000001,0.6999999999999998,0.7000000000000001,4.949715483739682e-32,3,2
67,200,0,20.69999999999996,0,0.0,0.0,0.0,0.0,0.7211538461538461,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,1
68,200,0,27.175,0,0.0,0.0,0.0,0.0,0.6195652173913043,0.0,0.7000000000000001,0.7000000000000002,0.7000000000000001,1.2369972899950018e-32,3,3
69,200,0,40.24999999999993,0,0.0,0.0,0.0,0.0,0.4974747474747475,0.0,0.7000000000000001,0.6999999999999998,0.7000000000000001,4.942036403866858e-32,2,3
70,200,0,19.54999999999997,0,0.0,0.0,0.0,0.0,0.446078431372549,0.0,0.7000000000000001,0.7000000000000002,0.7000000000000001,1.2362966513880347e-32,3,5
71,200,0,54.57499999999995,0,0.0,0.0,0.0,0.0,0.2579365079365079,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,1,6
72,200,0,20.89999999999996,0,0.0,0.0,0.0,0.0,0.7216981132075472,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,1
73,200,0,48.125,0,0.0,0.0,0.0,0.0,0.5126262626262627,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2353526479971103e-32,2,6
74,200,0,30.974999999999998,0,0.0,0.0,0.0,0.0,0.5178571428571429,0.0,0.7000000000000001,0.7000000000000002,0.7000000000000001,1.2361679040148102e-32,3,4
75,200,0,43.049999999999926,0,1.0,1.0,0.0,0.0,0.4738095238095238,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2353526479971103e-32,2,3
76,200,0,22.84999999999996,0,1.0,1.0,0.0,0.0,0.7155172413793104,0.0,0.7000000000000001,0.7,0.7000000000000001,1.237667572491814e-32,3,1
77,200,0,32.425000000000004,0,0.0,0.0,0.0,0.0,0.47881355932203384,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,8
78,200,0,45.625,0,0.0,0.0,0.0,0.0,0.5241935483870968,0.0,0.7000000000000001,0.7,0.7000000000000001,1.235435245431812e-32,2,5
79,200,0,32.77499999999996,0,0.0,0.0,0.0,0.0,0.4817073170731707,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,9
80,200,0,36.34999999999994,0,0.0,0.0,0.0,0.0,0.5084269662921348,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,2,1
