episode,end_day,epsilon,mean_reward,mean_loss,max_berries,mean_berries,max_berries_consumed,mean_berries_consumed,gini_berries_consumed,mean_berries_thrown,max_health,mean_health,median_health,variance_health,deceased,num_emerged_norms
1,16,0.999000499833375,-1.5999999999999999,0,1.0,0.0,1.0,0.30952380952380953,0,0.16666666666666666,1.1,0.38809523809523816,0.40000000000000013,0.09014747589336357,4,
2,15,0.9980019986673331,-1.375,0,1.0,0.0,1.0,0.2619047619047619,0,0.0,0.9,0.3595238095238097,0.40000000000000013,0.06863868406125921,4,
3,9,0.997004495503373,-1.625,1.1393923400227068,1.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.3111111111111112,0.30000000000000016,0.058810810810810805,4,
4,21,0.9960079893439915,-1.0250000000000001,2.4814398186232047,1.0,0.0,2.0,0.8518518518518519,0,0.2777777777777778,1.2000000000000002,0.501851851851852,0.5000000000000001,0.1224459691252144,4,
5,9,0.9950124791926823,-1.475,2.973532198457157,1.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.3111111111111112,0.30000000000000016,0.058810810810810805,4,
6,9,0.9940179640539353,-1.8250000000000002,3.0843493694508517,0.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.3111111111111112,0.30000000000000016,0.058810810810810805,4,
7,15,0.9930244429332351,-1.575,3.058012950959674,1.0,0.0,1.0,0.23809523809523808,0,0.0,0.8000000000000002,0.34523809523809534,0.3500000000000002,0.061559841179807145,4,
8,32,0.9920319148370607,-0.75,2.936060744696234,1.0,0.0,4.0,1.4615384615384615,0,0.7076923076923077,1.4,0.5461538461538461,0.5000000000000002,0.1311316287878787,4,
9,9,0.9910403787728836,-1.625,2.8431474490817044,1.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.3111111111111112,0.30000000000000016,0.058810810810810805,4,
10,9,0.9900498337491681,-1.6749999999999998,2.741489539784448,1.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.3111111111111112,0.30000000000000016,0.058810810810810805,4,
11,21,0.9890602787753687,-0.7250000000000001,2.539719652425997,1.0,0.0,2.0,0.8833333333333333,0,0.4666666666666667,1.1,0.4766666666666668,0.5000000000000001,0.10681856071130869,4,
12,21,0.9880717128619305,-1.2000000000000002,2.4237989651919962,1.0,0.0,2.0,0.5833333333333334,0,0.0,0.9,0.3958333333333334,0.40000000000000013,0.0729309596178897,4,
13,9,0.9870841350202876,-1.7,2.327902165729267,1.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.3111111111111112,0.30000000000000016,0.058810810810810805,4,
14,9,0.9860975442628619,-1.6749999999999998,2.234983077968724,1.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.3111111111111112,0.30000000000000016,0.058810810810810805,4,
15,15,0.9851119396030626,-0.9249999999999999,2.142476004960619,2.0,0.0,1.0,0.2619047619047619,0,0.0,0.9,0.35952380952380963,0.40000000000000013,0.0686386840612592,4,
16,9,0.9841273200552851,-1.4749999999999999,2.068103008709421,2.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.3111111111111112,0.30000000000000016,0.058810810810810805,4,
17,15,0.9831436846349096,-1.3000000000000003,1.9883199719621263,1.0,0.0,1.0,0.4166666666666667,0,0.14583333333333334,1.1,0.3708333333333334,0.35000000000000014,0.08460269214068605,4,
18,15,0.9821610323583008,-0.9750000000000001,1.9142493074462834,1.0,0.0,1.0,0.3541666666666667,0,0.0,0.8000000000000002,0.3333333333333334,0.3000000000000002,0.05849761181068172,4,
19,9,0.981179362242806,-1.65,1.858711576724367,1.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.3111111111111112,0.30000000000000016,0.058810810810810805,4,
20,27,0.9801986733067553,-0.4500000000000005,1.7640091026166114,2.0,0.0,3.0,1.2638888888888888,0,0.375,1.2,0.488888888888889,0.5000000000000001,0.09128304071001347,4,
21,15,0.9792189645694596,-1.4000000000000001,1.7152377267677184,1.0,0.0,1.0,0.21428571428571427,0,0.0,0.7000000000000002,0.33095238095238105,0.3000000000000002,0.05693136698808847,4,
22,15,0.97824023505121,-1.325,1.6604219727909482,1.0,0.0,1.0,0.21428571428571427,0,0.0,0.7000000000000002,0.33095238095238105,0.3000000000000002,0.05693136698808848,4,
23,9,0.9772624837732771,-1.5750000000000002,1.6224124556939996,1.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.3111111111111112,0.30000000000000016,0.058810810810810805,4,
24,9,0.9762857097579093,-1.775,1.587353792585647,0.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.3111111111111112,0.30000000000000016,0.058810810810810805,4,
25,9,0.9753099120283326,-1.525,1.5525818202810346,1.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.3111111111111112,0.30000000000000016,0.058810810810810805,4,
26,15,0.9743350896087494,-1.25,1.5095176936599657,1.0,0.0,1.0,0.19047619047619047,0,0.0,0.7000000000000001,0.31666666666666676,0.30000000000000016,0.05475326148610323,4,
27,9,0.9733612415243368,-1.7750000000000001,1.4787820843620638,0.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.3111111111111112,0.30000000000000016,0.058810810810810805,4,
28,15,0.9723883668012469,-1.2999999999999998,1.4470933762257516,1.0,0.0,1.0,0.30952380952380953,0,0.16666666666666666,1.1,0.3880952380952382,0.40000000000000013,0.09014747589336357,4,
29,33,0.9714164644666048,-0.8250000000000004,1.4044764658603754,1.0,0.0,4.0,1.4333333333333333,0,0.11666666666666667,1.5,0.5066666666666667,0.49999999999999994,0.13932759099749925,4,
30,9,0.9704455335485082,-1.55,1.3807401267307593,1.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.3111111111111112,0.30000000000000016,0.058810810810810805,4,
31,9,0.9694755730760259,-1.625,1.3561483305106732,1.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.3111111111111112,0.30000000000000016,0.058810810810810805,4,
32,38,0.9685065820791976,-0.2500000000000002,1.3002995335917489,2.0,0.0,5.0,1.7230769230769232,0,0.12307692307692308,1.2999999999999998,0.4907692307692308,0.4999999999999998,0.11840435606060601,4,
33,27,0.967538559589032,0.1499999999999997,1.2579485229594827,1.0,0.0,3.0,1.2692307692307692,0,0.16666666666666666,1.1,0.4320512820512822,0.40000000000000024,0.08065263850073975,4,
34,9,0.9665715046375066,-1.6,1.2409630022260207,1.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.3111111111111112,0.30000000000000016,0.058810810810810805,4,
35,15,0.9656054162575665,-1.2,1.2218420480511334,1.0,0.0,1.0,0.19047619047619047,0,0.0,0.7000000000000001,0.31666666666666676,0.30000000000000016,0.05475326148610323,4,
36,21,0.9646402934831231,-1.2750000000000001,1.2022814942250932,1.0,0.0,2.0,0.625,0,0.16666666666666666,1.2000000000000002,0.42083333333333345,0.40000000000000013,0.09752496743378201,4,
37,9,0.9636761353490535,-1.5500000000000003,1.1867685096262772,1.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.3111111111111112,0.30000000000000016,0.058810810810810805,4,
38,15,0.9627129408911995,-1.375,1.1703845159177217,1.0,0.0,1.0,0.16666666666666666,0,0.0,0.7000000000000001,0.3023809523809525,0.30000000000000016,0.055025524673851384,4,
39,9,0.9617507091463667,-1.475,1.1555037878195058,1.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.3111111111111112,0.30000000000000016,0.058810810810810805,4,
40,15,0.9607894391523232,-1.5999999999999999,1.1388722549788157,1.0,0.0,1.0,0.3333333333333333,0,0.19047619047619047,1.2,0.4023809523809525,0.4000000000000001,0.10457742484401585,4,
41,15,0.9598291299477989,-1.075,1.1232042921286176,1.0,0.0,1.0,0.21428571428571427,0,0.0,0.7000000000000002,0.33095238095238105,0.3000000000000002,0.05693136698808848,4,
42,27,0.9588697805724845,-0.12500000000000006,1.0971788419466413,1.0,1.0,3.0,1.2222222222222223,0,1.0,1.2000000000000002,0.463888888888889,0.5000000000000001,0.09510322207215896,4,
43,9,0.9579113900670306,-1.775,1.0852593005488063,0.0,0.0,0.0,0.0,0,0.0,0.7000000000000001,0.3111111111111112,0.30000000000000016,0.058810810810810805,4,
