,episode,end_day,epsilon,mean_reward,mean_loss,max_berries,mean_berries,max_berries_consumed,mean_berries_consumed,gini_berries_consumed,mean_berries_thrown,max_health,mean_health,median_health,variance_health,deceased,num_emerged_norms
0,1,50,0,7.775,0,2.0,0.25471698113207547,11.0,3.0283018867924527,0.53125,0.0660377358490566,2.5999999999999988,0.8471698113207546,0.6000000000000001,0.49108715184186835,3,5
0,2,50,0,14.024999999999999,0,2.0,0.32432432432432434,12.0,4.351351351351352,0.34259259259259256,0.22972972972972974,2.9999999999999982,1.2777027027027021,1.25,0.6516763191763177,2,7
0,3,50,0,15.75,0,2.0,0.24528301886792453,12.0,4.522012578616352,0.31896551724137934,0.2578616352201258,3.399999999999998,1.0798742138364776,0.8999999999999997,0.6264278321789657,1,6
0,4,50,0,9.45,0,2.0,0.25547445255474455,10.0,2.948905109489051,0.30000000000000004,0.0,1.9999999999999978,0.6532846715328466,0.5000000000000003,0.24294869042507455,3,4
0,5,50,0,14.65,0,1.0,0.1949685534591195,12.0,4.088050314465409,0.34259259259259256,0.0,2.9999999999999973,0.8194968553459117,0.6000000000000001,0.5279086060027057,1,2
0,6,50,0,15.05,0,2.0,0.2893081761006289,11.0,4.415094339622642,0.3035714285714286,0.0,2.6999999999999975,1.0157232704402508,0.999999999999999,0.34854868242974213,1,5
0,7,50,0,10.45,0,1.0,0.17692307692307693,11.0,4.223076923076923,0.475,0.0,2.6999999999999975,1.1615384615384607,0.8,0.7082766845557524,2,5
0,8,50,0,14.45,0,1.0,0.2138364779874214,10.0,3.993710691823899,0.2870370370370371,0.0,2.1999999999999984,0.7628930817610063,0.7000000000000001,0.24209537457208768,1,5
0,9,50,0,10.0,0,1.0,0.2153846153846154,11.0,3.4692307692307693,0.475,0.0,2.399999999999998,0.7092307692307691,0.6000000000000002,0.24472033392963577,2,5
0,10,50,0,5.8999999999999995,0,1.0,0.25742574257425743,9.0,2.8415841584158414,0.5576923076923077,0.0,1.6999999999999993,0.7079207920792078,0.6000000000000004,0.19593663366336597,3,1
0,11,50,0,10.875,0,2.0,0.3387096774193548,10.0,4.096774193548387,0.475,0.11290322580645161,2.099999999999998,1.0701612903225797,1.1999999999999973,0.2692650144243371,2,7
0,12,50,0,6.9,0,2.0,0.2616822429906542,10.0,2.850467289719626,0.55,0.0,1.799999999999999,0.6429906542056076,0.5000000000000006,0.2105871980250393,3,5
0,13,50,0,14.7,0,2.0,0.24242424242424243,11.0,4.115151515151515,0.2678571428571429,0.0,2.5999999999999974,0.8787878787878785,0.7000000000000001,0.44021803399852055,1,3
0,14,50,0,10.000000000000002,0,2.0,0.31386861313868614,11.0,3.562043795620438,0.3928571428571429,0.0,2.599999999999997,0.8897810218978098,0.7000000000000001,0.4285712752254173,3,6
0,15,50,0,12.275,0,1.0,0.19718309859154928,11.0,4.147887323943662,0.39583333333333337,0.04929577464788732,2.8999999999999977,1.0676056338028164,0.8999999999999988,0.5229147937268995,2,4
0,16,50,0,10.55,0,1.0,0.23943661971830985,10.0,3.492957746478873,0.3928571428571429,0.0,2.199999999999999,0.6746478873239438,0.6000000000000001,0.22601937868344785,2,9
0,17,50,0,5.9,0,1.0,0.27710843373493976,10.0,3.5301204819277108,0.7045454545454546,0.0,2.399999999999998,1.132530120481927,1.1,0.5783191301792521,3,2
0,18,50,0,9.575,0,1.0,0.22580645161290322,10.0,4.120967741935484,0.48684210526315785,0.10483870967741936,2.1999999999999993,1.0846774193548379,0.9999999999999997,0.3518771308680821,2,4
0,19,50,0,9.75,0,1.0,0.2692307692307692,10.0,3.6538461538461537,0.4605263157894737,0.0,2.3999999999999977,0.8199999999999997,0.6500000000000001,0.3456434108527121,2,3
0,20,50,0,14.149999999999999,0,2.0,0.24528301886792453,10.0,4.40251572327044,0.2870370370370371,0.25157232704402516,2.499999999999999,1.0081761006289303,0.8999999999999997,0.3403757662606473,1,4
0,21,50,0,6.6,0,1.0,0.2336448598130841,9.0,2.691588785046729,0.4285714285714286,0.0,1.6999999999999988,0.6822429906542056,0.6000000000000002,0.17845529888908454,3,3
0,22,50,0,11.100000000000001,0,1.0,0.17567567567567569,10.0,4.033783783783784,0.3586956521739131,0.0,2.4999999999999987,0.9412162162162159,0.7000000000000002,0.4433917080345643,2,6
0,23,50,0,13.65,0,1.0,0.24528301886792453,11.0,4.0251572327044025,0.32692307692307687,0.0,2.699999999999998,0.7817610062893081,0.6000000000000003,0.3707411830268282,1,3
0,24,50,0,10.000000000000002,0,2.0,0.33064516129032256,12.0,3.967741935483871,0.525,0.2903225806451613,3.0999999999999974,0.9927419354838707,0.7000000000000001,0.6936867296092301,2,2
0,25,50,0,18.375,0,1.0,0.23,14.0,4.76,0.15540540540540548,1.24,4.799999999999997,1.1059999999999997,0.7000000000000001,1.1585567839195963,0,1
0,26,50,0,9.1,0,2.0,0.3277310924369748,12.0,4.151260504201681,0.48684210526315785,0.2689075630252101,3.5999999999999988,1.394957983193277,0.7000000000000001,1.5499743626264042,3,6
0,27,50,0,6.75,0,2.0,0.2736842105263158,10.0,3.231578947368421,0.5961538461538461,0.0,2.199999999999998,0.9831578947368415,0.8000000000000003,0.44333034714445546,3,2
0,28,21,0,1.2999999999999998,0,2.0,0.3333333333333333,2.0,0.8,0,0.0,0.8000000000000002,0.3666666666666669,0.40000000000000013,0.0544632768361582,4,3
0,29,50,0,9.55,0,1.0,0.2457627118644068,10.0,3.864406779661017,0.5131578947368421,0.0,1.8999999999999986,0.8830508474576266,0.8999999999999997,0.13953933072577118,2,7
0,30,50,0,12.5,0,1.0,0.24324324324324326,12.0,4.0,0.39,0.18243243243243243,2.999999999999998,0.9209459459459456,0.7999999999999997,0.40221134399705755,2,7
0,31,50,0,7.9,0,1.0,0.21238938053097345,9.0,2.5575221238938055,0.4833333333333333,0.0,1.4000000000000004,0.46814159292035423,0.5000000000000001,0.09201169405815425,3,6
0,32,50,0,10.100000000000001,0,2.0,0.2966101694915254,10.0,4.127118644067797,0.5131578947368421,0.0,2.199999999999997,1.0406779661016943,0.9,0.3188439808778782,2,3
0,33,50,0,7.35,0,2.0,0.2920353982300885,10.0,3.230088495575221,0.53125,0.0,1.8999999999999981,0.7761061946902652,0.6000000000000006,0.2775489886219966,3,2
0,34,50,0,14.450000000000001,0,1.0,0.2389937106918239,10.0,4.226415094339623,0.2678571428571429,0.0,1.8999999999999977,0.9025157232704399,0.8999999999999997,0.20784173234615005,1,5
0,35,50,0,10.4,0,2.0,0.4112903225806452,11.0,4.32258064516129,0.48809523809523814,0.20161290322580644,2.8999999999999977,1.2056451612903218,1.1999999999999997,0.4101304746918427,2,6
0,36,50,0,12.274999999999999,0,1.0,0.24025974025974026,10.0,4.188311688311688,0.31000000000000005,0.487012987012987,2.5999999999999988,1.0740259740259734,0.9,0.48154316271963227,2,7
0,37,50,0,11.85,0,2.0,0.23376623376623376,9.0,3.564935064935065,0.3152173913043478,0.0,1.2999999999999998,0.5831168831168833,0.6000000000000001,0.0964451235039469,2,9
0,38,50,0,15.025,0,1.0,0.22012578616352202,13.0,4.440251572327044,0.3362068965517241,0.0440251572327044,3.6999999999999975,1.0308176100628927,0.8999999999999999,0.4351835044980487,1,6
0,39,50,0,15.4,0,1.0,0.24848484848484848,12.0,4.278787878787878,0.2833333333333333,0.10909090909090909,2.9999999999999982,0.9769696969696966,0.8999999999999997,0.3330029563931998,1,6
0,40,50,0,11.075,0,2.0,0.4846153846153846,12.0,4.592307692307692,0.4545454545454546,0.4153846153846154,3.2999999999999976,1.4107692307692297,1.2999999999999992,0.750580799045914,2,6
0,41,50,0,7.375,0,1.0,0.24,10.0,3.19,0.5714285714285714,0.13,2.299999999999998,0.9249999999999996,0.8499999999999999,0.34795454545454474,3,4
0,42,50,0,10.175,0,2.0,0.26717557251908397,11.0,3.351145038167939,0.42500000000000004,0.05343511450381679,2.5999999999999988,0.7816793893129771,0.6000000000000003,0.36181561949500846,3,7
0,43,50,0,14.125000000000002,0,2.0,0.34415584415584416,14.0,4.5064935064935066,0.3928571428571429,0.2727272727272727,4.399999999999999,1.1480519480519482,0.7000000000000002,1.3308785332314739,2,9
0,44,50,0,11.25,0,2.0,0.19117647058823528,10.0,3.5588235294117645,0.41666666666666663,0.0,1.7999999999999976,0.7507352941176468,0.7000000000000004,0.15629575163398657,2,9
0,45,50,0,10.15,0,2.0,0.23387096774193547,10.0,3.717741935483871,0.475,0.0,1.8999999999999981,0.8427419354838708,0.8,0.1936867296092312,2,7
