episode,end_day,epsilon,mean_reward,mean_loss,max_berries,mean_berries,max_berries_consumed,mean_berries_consumed,gini_berries_consumed,mean_berries_thrown,max_health,mean_health,median_health,variance_health,deceased,num_emerged_norms
1,200,0,35.57499999999999,0,0.0,0.0,0.0,0.0,0.4588607594936709,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2353650411817812e-32,2,5
2,200,0,27.675,0,1.0,1.0,0.0,0.0,0.5227272727272727,0.0,0.7000000000000001,0.7000000000000002,0.7000000000000001,1.2361679040148102e-32,3,13
3,200,0,29.42499999999999,0,0.0,0.0,0.0,0.0,0.5234375,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2356843753461964e-32,3,4
4,200,0,26.55,0,0.0,0.0,0.0,0.0,0.5267857142857143,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,3
5,200,0,19.049999999999976,0,0.0,0.0,0.0,0.0,0.6739130434782609,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,3
6,200,0,33.47499999999998,0,0.0,0.0,0.0,0.0,0.4966666666666667,0.0,0.7000000000000001,0.6999999999999998,0.7000000000000001,4.942036403866858e-32,2,6
7,200,0,40.87499999999998,0,0.0,0.0,0.0,0.0,0.3913043478260869,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2350603547366466e-32,2,13
8,200,0,37.12499999999998,0,0.0,0.0,0.0,0.0,0.4817073170731707,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2354683466092478e-32,2,7
9,200,0,35.07499999999998,0,0.0,0.0,0.0,0.0,0.4772727272727273,0.0,0.7000000000000001,0.7,0.7000000000000001,1.2354287165099178e-32,2,8
10,200,0,21.92499999999998,0,0.0,0.0,0.0,0.0,0.5931372549019608,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,9
11,200,0,20.599999999999998,0,0.0,0.0,0.0,0.0,0.6646341463414634,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,4
12,200,0,24.65,0,1.0,1.0,0.0,0.0,0.5663265306122449,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,3,4
