,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,reward,num_norms,count
0,1,0,0.0735367683841921,0.0,0.0,0.7000000000000001,7.441220610305153,15.441220610305152,0.055777888944472234,1.0,1999
1,1,1,0.030015007503751877,0.0,0.0,0.7000000000000001,7.180090045022511,15.180090045022512,0.019759879939969985,1.0,1999
2,1,2,0.04202101050525263,0.0,0.0,0.7000000000000001,7.252126063031516,15.252126063031517,0.02951475737868935,1.0,1999
3,1,3,0.028514257128564282,0.0,0.0,0.7000000000000001,7.171085542771386,15.171085542771385,0.018109054527263635,1.0,1999
4,2,0,0.2325,0.0855,0.013,0.6513500000000001,7.908500000000001,23.238,0.23155,1.308,2000
5,2,1,0.098,0.026,0.0105,0.6156500000000001,6.744500000000001,21.897,0.08775,1.3745,2000
6,2,2,0.1405,0.0275,0.026,0.61655,7.008500000000001,22.191,0.12475,1.3465,2000
7,2,3,0.0925,0.0295,0.001,0.6177500000000001,6.732500000000001,21.888,0.0885,1.3775,2000
8,3,0,0.2575,0.3135,0.0815,0.68815,8.4265,31.4515,0.34305,1.902,2000
9,3,1,0.16,0.141,0.0545,0.5846500000000001,6.806500000000001,28.5115,0.17665,1.93,2000
10,3,2,0.205,0.13,0.103,0.5780500000000001,7.010500000000001,29.0275,0.21895,1.8925,2000
11,3,3,0.163,0.1305,0.0035,0.5783500000000001,6.761500000000001,28.6315,0.19665000000000002,1.9375,2000
12,4,0,0.3,0.482,0.1015,0.68925,8.6925,40.114,0.3098,2.8635,2000
13,4,1,0.2585,0.225,0.069,0.53505,6.9015,35.344,0.1905,2.913,2000
14,4,2,0.3405,0.223,0.118,0.53385,7.3815,36.346,0.2334,2.881,2000
15,4,3,0.202,0.2795,0.005,0.5677500000000001,6.8895,35.518,0.26555,2.9175,2000
16,5,0,0.282,0.6795,0.124,0.70775,8.7695,48.8265,0.29605000000000004,3.6335,2000
17,5,1,0.344,0.3415,0.0765,0.50495,7.113500000000001,42.4065,0.22315000000000002,3.6655,2000
18,5,2,0.3425,0.407,0.1295,0.5442500000000001,7.4975,43.8105,0.28320000000000006,3.6415,2000
19,5,3,0.1905,0.468,0.005,0.58085,6.951500000000001,42.4575,0.28390000000000004,3.6725,2000
20,6,0,0.266,0.848,0.1525,0.70885,8.6845,57.433,0.24165,4.158,2000
21,6,1,0.315,0.5165,0.0955,0.5099500000000001,6.9895000000000005,49.327,0.2343,4.2885,2000
22,6,2,0.22,0.707,0.146,0.6242500000000001,7.562500000000001,51.31,0.3647,4.2185,2000
23,6,3,0.1855,0.649,0.0055,0.58945,7.007500000000001,49.45,0.27545,4.148,2000
24,7,0,0.2815,1.007,0.179,0.70425,8.7315,66.1045,0.2591,4.486,2000
25,7,1,0.214,0.7735,0.114,0.56415,6.925500000000001,56.1895,0.3108,4.7525,2000
26,7,2,0.1745,0.8925,0.166,0.6355500000000001,7.402500000000001,58.6675,0.2484,4.5885,2000
27,7,3,0.186,0.8085,0.0085,0.5851500000000001,6.967500000000001,56.3995,0.2464,4.492,2000
28,8,0,0.2565,1.2315,0.2355,0.73895,8.9285,74.904,0.32925,4.9215,2000
29,8,1,0.193,0.946,0.15,0.5676500000000001,6.834500000000001,62.871,0.2388,5.1795,2000
30,8,2,0.179,1.041,0.214,0.62465,7.320500000000001,65.868,0.22540000000000002,4.9855,2000
31,8,3,0.212,0.954,0.012,0.57245,6.996500000000001,63.327,0.2243,4.904,2000
32,9,0,0.2255,1.427,0.316,0.7597,8.922,83.6555,0.2636,5.503,2000
33,9,1,0.148,1.1165,0.2025,0.5784500000000001,6.639000000000001,69.3145,0.1095,5.742,2000
34,9,2,0.1945,1.191,0.2775,0.6188,7.346500000000001,73.043,0.1825,5.536,2000
35,9,3,0.184,1.1495,0.0135,0.60155,7.078,70.304,0.11085,5.4875,2000
36,10,0,0.23821853961677888,1.6100466079751423,0.34282755049197305,0.7660797514241325,9.090108751942,93.78404971517348,0.24334541688244435,6.264111859140342,1931
37,10,1,0.20601092896174864,1.284153005464481,0.22404371584699453,0.5705464480874318,6.94153005464481,78.6535519125683,0.1540983606557377,6.549726775956284,1830
38,10,2,0.28169014084507044,1.3338549817423058,0.30203442879499215,0.6003651538862806,7.69379238393323,82.08398539384454,0.21074595722483047,6.337506520605112,1917
39,10,3,0.17233560090702948,1.4234693877551021,0.015306122448979591,0.654138321995465,7.575396825396825,81.66439909297053,0.2211451247165533,6.223922902494331,1764
40,11,0,0.2641118591403418,1.76126359399275,0.36820300362506475,0.7568099430346971,9.152770585189021,102.89953392024857,0.2618850336613154,4.944070429829104,1931
41,11,1,0.2726775956284153,1.392896174863388,0.2355191256830601,0.535792349726776,6.993989071038253,85.60491803278688,0.1898360655737705,4.966120218579235,1830
42,11,2,0.29003651538862807,1.5054773082942097,0.32133541992696923,0.6033385498174231,7.773604590506,89.79186228482003,0.2721439749608764,4.968701095461659,1917
43,11,3,0.1899092970521542,1.5810657596371882,0.015873015873015872,0.6486961451247166,7.626417233560092,89.26700680272108,0.24795918367346942,4.95124716553288,1764
44,12,0,0.2578974624546867,1.9425168306576903,0.39772138788192646,0.7655618850336613,9.203003625064733,112.05282237182807,0.27695494562402906,5.5220093215950286,1931
45,12,1,0.27704918032786885,1.5420765027322405,0.2568306010928962,0.5253005464480875,6.915300546448089,92.45136612021858,0.21792349726775956,5.581967213114754,1830
46,12,2,0.2368283776734481,1.732394366197183,0.3427230046948357,0.6394887845592072,7.81585811163276,97.53573291601461,0.29885237350026084,5.551904016692749,1917
47,12,3,0.18764172335600907,1.7488662131519275,0.01984126984126984,0.6493764172335602,7.619614512471656,96.87301587301587,0.25045351473922906,5.441043083900227,1764
48,13,0,0.260486794407043,2.123770067322631,0.42723977213878817,0.7743138270326256,9.306059036768513,121.26877265665458,0.2688762299326774,5.917141377524598,1931
49,13,1,0.22513661202185792,1.7344262295081967,0.2819672131147541,0.5407103825136613,6.75792349726776,99.124043715847,0.24688524590163935,5.99672131147541,1830
50,13,2,0.2279603547209181,1.9071465832029213,0.3735002608242045,0.6443401147626501,7.811163275952009,105.26551904016692,0.25863328116849243,5.929577464788732,1917
51,13,3,0.1927437641723356,1.905328798185941,0.023809523809523808,0.6432539682539683,7.589002267573696,104.45181405895691,0.23798185941043085,5.815192743764173,1764
52,14,0,0.24857586742620405,2.314862765406525,0.4795442775763853,0.7889694458829623,9.381149663386847,130.5442775763853,0.3029518384256862,6.351631279129984,1931
53,14,1,0.20765027322404372,1.9174863387978143,0.30601092896174864,0.5505464480874318,6.75136612021858,105.70819672131148,0.22797814207650274,6.43879781420765,1830
54,14,2,0.21648408972352634,2.0996348461137195,0.414188836724048,0.6598330725091289,7.897235263432448,113.0469483568075,0.2723526343244653,6.3547209181012,1917
55,14,3,0.213718820861678,2.0493197278911564,0.031746031746031744,0.6296485260770975,7.578798185941043,111.98299319727892,0.2287981859410431,6.243197278911564,1764
56,15,0,0.21232522009321594,2.499223200414293,0.5396167788710513,0.8035732780942516,9.28896944588296,139.7187985499741,0.21791817711030556,6.941481097876748,1931
57,15,1,0.17868852459016393,2.0797814207650274,0.3469945355191257,0.5625683060109291,6.6568306010928975,112.19672131147541,0.03551912568306011,7.011475409836065,1830
58,15,2,0.2039645279081899,2.2665623369848724,0.47209181011997914,0.6656755346896193,7.864893062076161,120.78664580073031,0.184924360980699,6.943140323422013,1917
59,15,3,0.18594104308390022,2.22562358276644,0.04081632653061224,0.6480725623582767,7.54875283446712,119.45408163265306,0.0761904761904762,6.815192743764173,1764
60,16,0,0.2481121898597627,2.685005393743258,0.5647249190938511,0.8110571736785328,9.599244875943903,151.3344120819849,0.2283710895361381,7.674757281553398,1854
61,16,1,0.23367477592829705,2.330345710627401,0.38156209987195905,0.5982714468629963,7.384763124199745,125.36363636363636,0.14379001280409734,7.79449423815621,1562
62,16,2,0.2549778761061947,2.4424778761061945,0.5016592920353983,0.6655420353982302,8.18528761061947,131.33738938053096,0.19430309734513274,7.7234513274336285,1808
63,16,3,0.16417910447761194,2.5256327060350423,0.04218040233614536,0.7155094094743673,8.139519792342634,133.29785853341986,0.20434782608695654,7.54185593770279,1541
64,17,0,0.25620280474649404,2.855447680690399,0.5879180151024811,0.8133225458468176,9.67044228694714,160.92394822006472,0.25544768069039914,8.290183387270766,1854
65,17,1,0.26504481434058896,2.4494238156209986,0.39884763124199746,0.5697183098591551,7.2874519846350845,132.57042253521126,0.17317541613316262,8.371959026888604,1562
66,17,2,0.27599557522123896,2.5719026548672566,0.5276548672566371,0.6431969026548673,8.087942477876107,139.3821902654867,0.21758849557522125,8.311393805309734,1808
67,17,3,0.18376623376623377,2.662987012987013,0.04415584415584416,0.6977922077922077,8.08051948051948,141.38181818181818,0.21525974025974026,8.099350649350649,1540
68,18,0,0.25674217907227614,3.016181229773463,0.6186623516720604,0.8097626752966559,9.638079827400214,170.50053937432577,0.24271844660194175,8.738403451995685,1854
