day,baseline,maximin
1,7.192096048024012,7.171085542771386
2,6.738500000000001,6.7715000000000005
3,6.257500000000001,6.845500000000001
4,6.259500000000001,6.9555
5,6.324500000000001,7.089500000000001
6,6.3595000000000015,7.1785000000000005
7,6.205500000000002,7.111500000000001
8,5.985500000000002,7.035500000000001
9,5.942000000000001,6.903500000000001
10,5.922203293583192,7.340311325818573
11,5.831913685406021,7.3934514224369305
12,5.762067007382171,7.44015029522276
13,5.780806360022717,7.23564143853999
14,5.799545712663262,7.166398282340312
15,5.810902896081773,7.015566290928611
16,5.9993060374739775,7.612038140643625
17,5.886190145732133,7.566746126340883
18,5.739764052741155,7.4892729439809305
19,5.655794587092299,7.486889153754471
20,5.680083275503125,7.366507747318237
21,5.671755725190842,7.275075075075075
22,6.007718696397944,7.935636856368563
23,5.856775300171529,7.854336043360435
24,5.813893653516297,7.7242547425474255
25,5.755574614065182,7.54539295392954
26,5.69210977701544,7.334010840108401
27,5.576856649395512,7.322491349480969
28,5.900105152471086,7.9722882026920034
29,5.8023133543638306,8.003167062549485
30,5.748685594111464,7.829770387965162
31,5.650893796004209,7.7513855898654
32,5.609884332281811,7.634996041171813
33,5.505857294994678,7.510466988727858
34,5.922266139657448,8.262766945218198
35,5.712779973649543,8.070566388115134
36,5.5744400527009255,7.973073351903436
37,5.625823451910412,7.814298978644382
38,5.4163372859025065,7.8282265552460535
39,5.564343163538878,7.81298449612403
40,6.0816666666666706,8.631753031973538
41,5.974958263772959,8.425578831312016
42,5.926544240400672,8.384785005512677
43,5.898163606010021,8.277839029768467
44,5.699499165275464,8.223814773980154
45,5.465076660988079,8.366359447004607
46,5.694845360824747,9.116666666666664
47,5.622680412371139,8.947435897435895
48,5.600000000000005,9.06282051282051
49,5.725773195876293,8.685897435897434
50,5.567010309278356,8.539743589743587
